sample_index,timestamp,source,action,asset,long_venue,short_venue,annualized_edge,net_8h_proxy,net_24h_proxy,liquidity_proxy,friction_proxy,reason
0,2026-06-09T00:39:09.209812+00:00,hl_single_venue,current_funding_monitor,LAYER,HlPerp,cash_or_spot_proxy,11.36614730,,,2164161.75094400,0.00271732,long_perp_receives_funding
0,2026-06-09T00:39:09.209812+00:00,hl_single_venue,current_funding_monitor,STABLE,HlPerp,cash_or_spot_proxy,3.16719727,,,461685.31631000,0.00110619,long_perp_receives_funding
0,2026-06-09T00:39:09.209812+00:00,predicted_cross_venue,current_funding_monitor,STABLE,BybitPerp,HlPerp,2.36928041,,,461685.31631000,0.00067655,Hyperliquid context available
0,2026-06-09T00:39:09.209812+00:00,hl_single_venue,current_funding_monitor,ZEC,HlPerp,cash_or_spot_proxy,1.94101715,,,312687336.33499992,0.00041901,long_perp_receives_funding
0,2026-06-09T00:39:09.209812+00:00,hl_single_venue,current_funding_monitor,MOVE,HlPerp,cash_or_spot_proxy,1.23706092,,,1622112.94386600,0.00253055,long_perp_receives_funding
0,2026-06-09T00:39:09.209812+00:00,predicted_cross_venue,current_funding_monitor,ENA,BybitPerp,HlPerp,1.02732374,,,9680730.23361401,0.00109561,Hyperliquid context available
0,2026-06-09T00:39:09.209812+00:00,predicted_cross_venue,current_funding_monitor,AERO,BybitPerp,HlPerp,0.98624285,,,669215.38530000,0.00280404,Hyperliquid context available
0,2026-06-09T00:39:09.209812+00:00,predicted_cross_venue,current_funding_monitor,NIL,BybitPerp,HlPerp,0.94260754,,,543933.01184200,0.00384065,Hyperliquid context available
0,2026-06-09T00:39:09.209812+00:00,hl_single_venue,current_funding_monitor,AERO,HlPerp,cash_or_spot_proxy,0.90368248,,,669215.38530000,0.00267577,long_perp_receives_funding
0,2026-06-09T00:39:09.209812+00:00,predicted_cross_venue,current_funding_monitor,ME,BybitPerp,HlPerp,0.90359400,,,364832.04987500,0.00468541,Hyperliquid context available
0,2026-06-09T00:39:09.209812+00:00,predicted_cross_venue,current_funding_monitor,ZEC,HlPerp,BinPerp,0.90146050,,,312677184.09989983,0.00031487,Hyperliquid context available
0,2026-06-09T00:39:09.209812+00:00,predicted_cross_venue,current_funding_monitor,ALT,BybitPerp,HlPerp,0.88219770,,,182670.72412200,0.00422684,Hyperliquid context available
0,2026-06-09T00:39:09.209812+00:00,predicted_cross_venue,current_funding_monitor,GMX,BybitPerp,HlPerp,0.85746165,,,182425.99640100,0.00380826,Hyperliquid context available
0,2026-06-09T00:39:09.209812+00:00,hl_single_venue,current_funding_monitor,AVNT,HlPerp,cash_or_spot_proxy,0.83499094,,,482897.35231100,0.00169879,long_perp_receives_funding
0,2026-06-09T00:39:09.209812+00:00,predicted_cross_venue,current_funding_monitor,BABY,BybitPerp,HlPerp,0.83074934,,,831269.99698700,0.00309848,Hyperliquid context available
0,2026-06-09T00:39:09.209812+00:00,predicted_cross_venue,current_funding_monitor,kBONK,BybitPerp,HlPerp,0.78281550,,,759098.59959500,0.00069348,Hyperliquid context available
0,2026-06-09T00:39:09.209812+00:00,predicted_cross_venue,current_funding_monitor,AXS,BybitPerp,HlPerp,0.76038464,,,124875.42990600,0.00372655,Hyperliquid context available
0,2026-06-09T00:39:09.209812+00:00,hl_single_venue,current_funding_monitor,BABY,HlPerp,cash_or_spot_proxy,0.74863661,,,831399.04395700,0.00256289,long_perp_receives_funding
0,2026-06-09T00:39:09.209812+00:00,hl_single_venue,current_funding_monitor,S,HlPerp,cash_or_spot_proxy,0.74368546,,,205843.15111400,0.00242851,long_perp_receives_funding
0,2026-06-09T00:39:09.209812+00:00,predicted_cross_venue,current_funding_monitor,SAGA,HlPerp,BybitPerp,0.65191394,,,180411.91810800,0.00312256,Hyperliquid context available
0,2026-06-09T00:39:09.209812+00:00,predicted_cross_venue,current_funding_monitor,kFLOKI,BybitPerp,HlPerp,0.63712575,,,114058.58752700,0.00138533,Hyperliquid context available
0,2026-06-09T00:39:09.209812+00:00,predicted_cross_venue,current_funding_monitor,LAYER,BinPerp,HlPerp,0.61949756,,,2164031.81654400,0.00281172,mark/oracle dislocation
0,2026-06-09T00:39:09.209812+00:00,predicted_cross_venue,current_funding_monitor,AZTEC,BybitPerp,HlPerp,0.60932370,,,309216.43520700,0.00383665,Hyperliquid context available
0,2026-06-09T00:39:09.209812+00:00,hl_single_venue,current_funding_monitor,IO,HlPerp,cash_or_spot_proxy,0.60398886,,,780317.10320800,0.00197169,long_perp_receives_funding
0,2026-06-09T00:39:09.209812+00:00,predicted_cross_venue,current_funding_monitor,VVV,BybitPerp,HlPerp,0.58909073,,,18727920.40983000,0.00257125,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,hl_single_venue,current_funding_monitor,LAYER,HlPerp,cash_or_spot_proxy,11.36005210,,,2164248.73056000,0.00269596,long_perp_receives_funding
1,2026-06-09T00:39:24.148324+00:00,hl_single_venue,current_funding_monitor,STABLE,HlPerp,cash_or_spot_proxy,3.17861418,,,461685.31631000,0.00110653,long_perp_receives_funding
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,STABLE,BybitPerp,HlPerp,2.36928041,,,461685.31631000,0.00098353,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,hl_single_venue,current_funding_monitor,ZEC,HlPerp,cash_or_spot_proxy,1.93875006,,,312698755.90819985,0.00043638,long_perp_receives_funding
1,2026-06-09T00:39:24.148324+00:00,hl_single_venue,current_funding_monitor,MOVE,HlPerp,cash_or_spot_proxy,1.24834818,,,1622147.38182200,0.00260228,long_perp_receives_funding
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,ENA,BybitPerp,HlPerp,1.02732374,,,9680853.04393301,0.00090935,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,okx_hl_current,paper_24h_monitor,LAYER,OkxSwap,HlPerp,1.02529837,-0.00186320,0.00000949,21642.48730560,0.00279954,OKX and Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,AERO,BybitPerp,HlPerp,0.98624285,,,669215.38530000,0.00256173,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,NIL,BybitPerp,HlPerp,0.94260754,,,543933.01184200,0.00332849,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,hl_single_venue,current_funding_monitor,AERO,HlPerp,cash_or_spot_proxy,0.90413887,,,669215.38530000,0.00258303,long_perp_receives_funding
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,ZEC,HlPerp,BinPerp,0.90146050,,,312690795.58169991,0.00036901,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,ALT,BybitPerp,HlPerp,0.88219770,,,182670.72412200,0.00387119,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,GMX,BybitPerp,HlPerp,0.85746165,,,182425.99640100,0.00365817,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,hl_single_venue,current_funding_monitor,AVNT,HlPerp,cash_or_spot_proxy,0.83293847,,,482897.35231100,0.00161860,long_perp_receives_funding
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,BABY,BybitPerp,HlPerp,0.83074934,,,831445.69340200,0.00256410,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,kBONK,BybitPerp,HlPerp,0.78281550,,,759098.59959500,0.00092400,Hyperliquid context available
