source,action,asset,long_venue,short_venue,observations,mean_annualized_edge,min_annualized_edge,mean_net_8h_proxy,mean_net_24h_proxy,positive_net_24h_rate,mean_liquidity_proxy,mean_friction_proxy
hl_single_venue,current_funding_monitor,LAYER,HlPerp,cash_or_spot_proxy,3,11.35802766,11.34788358,,,,2165013.10151467,0.00273626
hl_single_venue,current_funding_monitor,STABLE,HlPerp,cash_or_spot_proxy,3,3.17898414,3.16719727,,,,461685.31631000,0.00112666
predicted_cross_venue,current_funding_monitor,STABLE,BybitPerp,HlPerp,3,2.39706625,2.36928041,,,,461685.31631000,0.00090185
hl_single_venue,current_funding_monitor,ZEC,HlPerp,cash_or_spot_proxy,3,1.93858858,1.93599854,,,,312699009.97716659,0.00043433
hl_single_venue,current_funding_monitor,MOVE,HlPerp,cash_or_spot_proxy,3,1.24786258,1.23706092,,,,1622247.39317133,0.00264991
predicted_cross_venue,current_funding_monitor,ENA,BybitPerp,HlPerp,3,1.07460205,1.02732374,,,,9681698.45238701,0.00091441
predicted_cross_venue,current_funding_monitor,AERO,BybitPerp,HlPerp,3,1.01224487,0.98624285,,,,669215.38530000,0.00268936
predicted_cross_venue,current_funding_monitor,NIL,BybitPerp,HlPerp,3,0.98871755,0.94260754,,,,543933.01184200,0.00335873
predicted_cross_venue,current_funding_monitor,ALT,BybitPerp,HlPerp,3,0.93860480,0.88219770,,,,182670.72412200,0.00393217
hl_single_venue,current_funding_monitor,AERO,HlPerp,cash_or_spot_proxy,3,0.90433831,0.90368248,,,,669215.38530000,0.00265370
predicted_cross_venue,current_funding_monitor,ZEC,HlPerp,BinPerp,3,0.89727818,0.88891355,,,,312691542.75493318,0.00045744
predicted_cross_venue,current_funding_monitor,GMX,BybitPerp,HlPerp,3,0.88689160,0.85746165,,,,182425.99640100,0.00385700
predicted_cross_venue,current_funding_monitor,BABY,BybitPerp,HlPerp,3,0.83487705,0.83074934,,,,831387.12793033,0.00292230
hl_single_venue,current_funding_monitor,AVNT,HlPerp,cash_or_spot_proxy,3,0.83350261,0.83257843,,,,482897.35231100,0.00177030
predicted_cross_venue,current_funding_monitor,kBONK,BybitPerp,HlPerp,3,0.79770750,0.78281550,,,,759116.38056100,0.00092443
predicted_cross_venue,current_funding_monitor,AXS,BybitPerp,HlPerp,3,0.78739172,0.76038464,,,,124942.88395000,0.00333228
hl_single_venue,current_funding_monitor,BABY,HlPerp,cash_or_spot_proxy,3,0.75288609,0.74863661,,,,831436.04162033,0.00251827
hl_single_venue,current_funding_monitor,S,HlPerp,cash_or_spot_proxy,3,0.74086941,0.73835324,,,,205843.15111400,0.00217817
predicted_cross_venue,current_funding_monitor,AZTEC,BybitPerp,HlPerp,3,0.66855590,0.60932370,,,,309425.81570700,0.00366285
predicted_cross_venue,current_funding_monitor,kFLOKI,BybitPerp,HlPerp,3,0.66453360,0.63712575,,,,114058.58752700,0.00114688
predicted_cross_venue,current_funding_monitor,SAGA,HlPerp,BybitPerp,3,0.65186751,0.65177466,,,,182494.01284867,0.00286316
predicted_cross_venue,current_funding_monitor,LAYER,BinPerp,HlPerp,3,0.63191603,0.61949756,,,,2164536.82824533,0.00275384
hl_single_venue,current_funding_monitor,IO,HlPerp,cash_or_spot_proxy,2,0.60415836,0.60398886,,,,780317.10320800,0.00218269
okx_hl_current,paper_24h_monitor,LAYER,OkxSwap,HlPerp,1,1.02529837,1.02529837,-0.00186320,0.00000949,1.00000000,21642.48730560,0.00279954
predicted_cross_venue,current_funding_monitor,ME,BybitPerp,HlPerp,1,0.90359400,0.90359400,,,,364832.04987500,0.00468541
predicted_cross_venue,current_funding_monitor,PENGU,BybitPerp,HlPerp,1,0.71455320,0.71455320,,,,1596237.48192100,0.00091324
predicted_cross_venue,current_funding_monitor,GOAT,BinPerp,HlPerp,1,0.66687690,0.66687690,,,,198450.07165800,0.00487695
predicted_cross_venue,current_funding_monitor,NEO,BybitPerp,HlPerp,1,0.65207250,0.65207250,,,,104946.84240200,0.00446680
predicted_cross_venue,current_funding_monitor,POL,BybitPerp,HlPerp,1,0.63327266,0.63327266,,,,458909.13446800,0.00136761
predicted_cross_venue,current_funding_monitor,VVV,BybitPerp,HlPerp,1,0.58909073,0.58909073,,,,18727920.40983000,0.00257125
