source,action,asset,long_venue,short_venue,annualized_edge,net_8h_proxy,net_24h_proxy,liquidity_proxy,friction_proxy,reason
predicted_cross_venue,current_funding_monitor,STABLE,BybitPerp,HlPerp,2.51400524,,,1176450.44925500,0.00298578,Hyperliquid context available
okx_hl_current,paper_24h_monitor,STABLE,OkxSwap,HlPerp,1.98659907,-0.00185625,0.00177225,11763.49079255,0.00367049,OKX and Hyperliquid context available
predicted_cross_venue,current_funding_monitor,SAGA,HlPerp,BybitPerp,1.53537221,,,186383.68708800,0.00219780,Hyperliquid context available
hl_single_venue,current_funding_monitor,SAGA,HlPerp,cash_or_spot_proxy,1.43299672,,,186295.31403600,0.00220426,long_perp_receives_funding
predicted_cross_venue,current_funding_monitor,kNEIRO,HlPerp,BybitPerp,1.23234191,,,298296.38292500,0.00140735,Hyperliquid context available
hl_single_venue,current_funding_monitor,SNX,HlPerp,cash_or_spot_proxy,1.18515529,,,250853.53463300,0.00237658,long_perp_receives_funding
predicted_cross_venue,current_funding_monitor,AIXBT,HlPerp,BinPerp,1.16180288,,,248936.77685900,0.00240953,Hyperliquid context available
predicted_cross_venue,current_funding_monitor,SNX,HlPerp,BinPerp,1.14071012,,,250897.16367300,0.00237085,Hyperliquid context available
hl_single_venue,current_funding_monitor,kNEIRO,HlPerp,cash_or_spot_proxy,1.12782898,,,298252.94150500,0.00156666,long_perp_receives_funding
predicted_cross_venue,current_funding_monitor,BSV,HlPerp,BybitPerp,1.07568683,,,205284.92209000,0.00404150,Hyperliquid context available
hl_single_venue,current_funding_monitor,AIXBT,HlPerp,cash_or_spot_proxy,1.06387747,,,248535.63118500,0.00208730,long_perp_receives_funding
predicted_cross_venue,current_funding_monitor,WLD,BinPerp,HlPerp,1.02500147,,,49129460.54499798,0.00081973,Hyperliquid context available
hl_single_venue,current_funding_monitor,BSV,HlPerp,cash_or_spot_proxy,0.96494203,,,205265.38980000,0.00326694,long_perp_receives_funding
hl_single_venue,current_funding_monitor,ZEC,HlPerp,cash_or_spot_proxy,0.92283271,,,328501311.63939953,0.00045963,long_perp_receives_funding
hl_single_venue,current_funding_monitor,MON,HlPerp,cash_or_spot_proxy,0.88159501,,,2415730.54493500,0.00156495,long_perp_receives_funding
hl_single_venue,current_funding_monitor,NIL,HlPerp,cash_or_spot_proxy,0.75575411,,,516017.85346400,0.00277001,long_perp_receives_funding
hl_single_venue,current_funding_monitor,STABLE,HlPerp,cash_or_spot_proxy,0.74564770,,,1176331.44087500,0.00278098,long_perp_receives_funding
hl_single_venue,current_funding_monitor,MORPHO,HlPerp,cash_or_spot_proxy,0.73890425,,,800502.37589000,0.00165416,long_perp_receives_funding
predicted_cross_venue,current_funding_monitor,BABY,BybitPerp,HlPerp,0.72432498,,,1749689.57839800,0.00252558,Hyperliquid context available
hl_single_venue,current_funding_monitor,S,HlPerp,cash_or_spot_proxy,0.70656145,,,149385.69317400,0.00152161,long_perp_receives_funding
predicted_cross_venue,current_funding_monitor,GMT,BybitPerp,HlPerp,0.70094848,,,106584.93286000,0.00395812,Hyperliquid context available
predicted_cross_venue,current_funding_monitor,PROVE,HlPerp,BybitPerp,0.65896837,,,136279.93839000,0.00207014,Hyperliquid context available
hl_single_venue,current_funding_monitor,SEI,HlPerp,cash_or_spot_proxy,0.64944976,,,921192.41109000,0.00131996,long_perp_receives_funding
predicted_cross_venue,current_funding_monitor,0G,HlPerp,BybitPerp,0.63374395,,,162565.14837000,0.00145701,Hyperliquid context available
hl_single_venue,current_funding_monitor,BIO,HlPerp,cash_or_spot_proxy,0.62597383,,,630608.89142900,0.00148788,long_perp_receives_funding
hl_single_venue,current_funding_monitor,POPCAT,HlPerp,cash_or_spot_proxy,0.62241114,,,461852.84729900,0.00162446,long_perp_receives_funding
predicted_cross_venue,current_funding_monitor,S,HlPerp,BinPerp,0.59254304,,,149385.69317400,0.00179054,Hyperliquid context available
hl_single_venue,current_funding_monitor,BABY,HlPerp,cash_or_spot_proxy,0.56702867,,,1749689.57839800,0.00259235,long_perp_receives_funding
hl_single_venue,current_funding_monitor,PROVE,HlPerp,cash_or_spot_proxy,0.55685831,,,136261.26119000,0.00223053,long_perp_receives_funding
predicted_cross_venue,current_funding_monitor,MORPHO,HlPerp,BinPerp,0.55639052,,,801263.91221000,0.00188896,Hyperliquid context available
hl_single_venue,current_funding_monitor,ZORA,HlPerp,cash_or_spot_proxy,0.55289528,,,170914.31916000,0.00283688,long_perp_receives_funding
predicted_cross_venue,current_funding_monitor,ALT,HlPerp,BinPerp,0.54723107,,,151570.91596900,0.00177525,Hyperliquid context available
predicted_cross_venue,current_funding_monitor,GMX,BybitPerp,HlPerp,0.54214545,,,223523.83689700,0.00185894,Hyperliquid context available
predicted_cross_venue,current_funding_monitor,HYPER,HlPerp,BinPerp,0.53829236,,,203389.68054100,0.00214318,Hyperliquid context available
hl_single_venue,current_funding_monitor,AERO,HlPerp,cash_or_spot_proxy,0.53699588,,,393195.59845000,0.00153950,long_perp_receives_funding
predicted_cross_venue,current_funding_monitor,ONDO,BybitPerp,HlPerp,0.53344020,,,12606560.31526999,0.00140735,Hyperliquid context available
predicted_cross_venue,current_funding_monitor,POPCAT,HlPerp,BinPerp,0.52714176,,,461895.91989500,0.00191594,Hyperliquid context available
hl_single_venue,current_funding_monitor,ALT,HlPerp,cash_or_spot_proxy,0.52336532,,,151570.91596900,0.00142248,long_perp_receives_funding
hl_single_venue,current_funding_monitor,JUP,HlPerp,cash_or_spot_proxy,0.52008821,,,1135675.39969000,0.00155300,long_perp_receives_funding
hl_single_venue,current_funding_monitor,0G,HlPerp,cash_or_spot_proxy,0.51255811,,,162521.97524000,0.00155857,long_perp_receives_funding
predicted_cross_venue,current_funding_monitor,ZORA,HlPerp,BinPerp,0.51207631,,,170914.31916000,0.00271547,Hyperliquid context available
okx_hl_current,paper_24h_monitor,HYPE,OkxSwap,HlPerp,0.11624525,-0.00008113,0.00013119,3207735.55100000,0.00018729,OKX and Hyperliquid context available
okx_hl_current,paper_24h_monitor,BTC,OkxSwap,HlPerp,0.09539592,-0.00013279,0.00004144,374071.93278000,0.00021991,OKX and Hyperliquid context available
