asset,scenario,observations,long_venue,short_venue,mean_annualized_spread,positive_net_8h_rate,mean_net_8h_proxy,mean_net_24h_proxy,fee_round_trip_rate,net_8h_after_fee,net_24h_after_fee,mean_breakeven_hold_hours,mean_capacity_proxy_notional,survives_8h,survives_24h
JTO,very_low_fee,6,OkxSwap,HlPerp,1.04707635,0,-0.00138767,0.0005248,0.00008,-0.00146767,0.0004448,19.6073,51289.301529,False,True
BABY,very_low_fee,6,HlPerp,OkxSwap,1.37613752,0,-0.00204432,0.00046917,0.00008,-0.00212432,0.00038917,21.0486,18227.15298962,False,True
JTO,low_fee,6,OkxSwap,HlPerp,1.04707635,0,-0.00138767,0.0005248,0.0002,-0.00158767,0.0003248,19.6073,51289.301529,False,True
ZEC,very_low_fee,6,OkxSwap,HlPerp,0.3456094,0,-0.00023688,0.00039437,0.00008,-0.00031688,0.00031437,14.0313,112828.19123333,False,True
BABY,low_fee,6,HlPerp,OkxSwap,1.37613752,0,-0.00204432,0.00046917,0.0002,-0.00224432,0.00026917,21.0486,18227.15298962,False,True
ZEC,low_fee,6,OkxSwap,HlPerp,0.3456094,0,-0.00023688,0.00039437,0.0002,-0.00043688,0.00019437,14.0313,112828.19123333,False,True
BTC,very_low_fee,6,OkxSwap,HlPerp,0.12639478,0.5,0.00000433,0.00023519,0.00008,-0.00007567,0.00015519,7.7035,493421.184865,False,True
JTO,one_bps_each,6,OkxSwap,HlPerp,1.04707635,0,-0.00138767,0.0005248,0.0004,-0.00178767,0.0001248,19.6073,51289.301529,False,True
BABY,one_bps_each,6,HlPerp,OkxSwap,1.37613752,0,-0.00204432,0.00046917,0.0004,-0.00244432,0.00006917,21.0486,18227.15298962,False,True
TIA,very_low_fee,6,OkxSwap,HlPerp,0.60950879,0,-0.00099793,0.00011533,0.00008,-0.00107793,0.00003533,22.3454,7005.96491417,False,True
BTC,low_fee,6,OkxSwap,HlPerp,0.12639478,0.5,0.00000433,0.00023519,0.0002,-0.00019567,0.00003519,7.7035,493421.184865,False,True
ZEC,one_bps_each,6,OkxSwap,HlPerp,0.3456094,0,-0.00023688,0.00039437,0.0004,-0.00063688,-0.00000563,14.0313,112828.19123333,False,False
SOL,very_low_fee,6,HlPerp,OkxSwap,0.12328213,0,-0.00017195,0.00005322,0.00008,-0.00025195,-0.00002678,20.0307,3123575.75932456,False,False
