asset,scenario,observations,long_venue,short_venue,mean_annualized_spread,positive_net_8h_rate,mean_net_8h_proxy,mean_net_24h_proxy,fee_round_trip_rate,net_8h_after_fee,net_24h_after_fee,mean_breakeven_hold_hours,mean_capacity_proxy_notional,survives_8h,survives_24h
JTO,very_low_fee,12,OkxSwap,HlPerp,0.75900096,0,-0.00070625,0.00068005,0.00008,-0.00078625,0.00060005,16.1661,54543.56750198,False,True
JTO,low_fee,12,OkxSwap,HlPerp,0.75900096,0,-0.00070625,0.00068005,0.0002,-0.00090625,0.00048005,16.1661,54543.56750198,False,True
JTO,one_bps_each,12,OkxSwap,HlPerp,0.75900096,0,-0.00070625,0.00068005,0.0004,-0.00110625,0.00028005,16.1661,54543.56750198,False,True
ZEC,very_low_fee,12,OkxSwap,HlPerp,0.36085431,0,-0.00031009,0.000349,0.00008,-0.00039009,0.000269,15.5275,106210.05564167,False,True
BTC,very_low_fee,12,OkxSwap,HlPerp,0.12399972,0.83333333,0.00003362,0.0002601,0.00008,-0.00004638,0.0001801,5.6232,422448.80855333,False,True
ZEC,low_fee,12,OkxSwap,HlPerp,0.36085431,0,-0.00031009,0.000349,0.0002,-0.00051009,0.000149,15.5275,106210.05564167,False,True
BTC,low_fee,12,OkxSwap,HlPerp,0.12399972,0.83333333,0.00003362,0.0002601,0.0002,-0.00016638,0.0000601,5.6232,422448.80855333,False,True
ZEC,one_bps_each,12,OkxSwap,HlPerp,0.36085431,0,-0.00031009,0.000349,0.0004,-0.00071009,-0.000051,15.5275,106210.05564167,False,False
BTC,one_bps_each,12,OkxSwap,HlPerp,0.12399972,0.83333333,0.00003362,0.0002601,0.0004,-0.00036638,-0.0001399,5.6232,422448.80855333,False,False
BABY,very_low_fee,12,HlPerp,OkxSwap,1.4346373,0,-0.00380683,-0.00118648,0.00008,-0.00388683,-0.00126648,31.2663,18182.63949194,False,False
BABY,low_fee,12,HlPerp,OkxSwap,1.4346373,0,-0.00380683,-0.00118648,0.0002,-0.00400683,-0.00138648,31.2663,18182.63949194,False,False
BABY,one_bps_each,12,HlPerp,OkxSwap,1.4346373,0,-0.00380683,-0.00118648,0.0004,-0.00420683,-0.00158648,31.2663,18182.63949194,False,False
