collected_at,asset,event_action,previous_action,long_venue,short_venue,capacity,very_low_fee_net_8h,very_low_fee_net_24h,low_fee_net_24h,one_bps_each_net_24h,max_entry_slippage_bps,reason
2026-06-07T12:46:50.596466+00:00,BTC,paper_8h_candidate,paper_8h_candidate,OkxSwap,HlPerp,422448.80855333,0.00001153,0.00023014,0.00011014,-0.00008986,0.08887218,8h event-window survives only under very low fee assumptions
2026-06-07T12:46:50.596466+00:00,ZEC,fee_dependent_24h_monitor,fee_dependent_24h_monitor,OkxSwap,HlPerp,106210.05564167,-0.00041243,0.00018042,0.00006042,-0.00013958,3.14430447,24h event-window survives low-fee assumption but not one-bps-each
2026-06-07T12:46:50.596466+00:00,BABY,drop_for_now,thin_or_unstable_watch,HlPerp,OkxSwap,18182.63949194,-0.00185448,-0.00022347,-0.00034347,-0.00054347,12.94997144,no current event-window scenario survives
2026-06-07T12:46:50.596466+00:00,JTO,drop_for_now,active_24h_monitor,OkxSwap,HlPerp,54543.56750198,-0.00150924,-0.00135631,-0.00147631,-0.00167631,7.52849755,no current event-window scenario survives
2026-06-07T12:47:03.858142+00:00,BTC,paper_8h_candidate,paper_8h_candidate,OkxSwap,HlPerp,422448.80855333,0.00001153,0.00023014,0.00011014,-0.00008986,0.08887218,8h event-window survives only under very low fee assumptions
2026-06-07T12:47:03.858142+00:00,ZEC,fee_dependent_24h_monitor,fee_dependent_24h_monitor,OkxSwap,HlPerp,106210.05564167,-0.00041042,0.00018645,0.00006645,-0.00013355,3.14430447,24h event-window survives low-fee assumption but not one-bps-each
2026-06-07T12:47:03.858142+00:00,BABY,drop_for_now,thin_or_unstable_watch,HlPerp,OkxSwap,18182.63949194,-0.00187835,-0.00029508,-0.00041508,-0.00061508,12.94997144,no current event-window scenario survives
2026-06-07T12:47:03.858142+00:00,JTO,drop_for_now,active_24h_monitor,OkxSwap,HlPerp,54543.56750198,-0.00149988,-0.00132825,-0.00144825,-0.00164825,7.52849755,no current event-window scenario survives
2026-06-07T12:47:16.123085+00:00,BTC,paper_8h_candidate,paper_8h_candidate,OkxSwap,HlPerp,422448.80855333,0.00001153,0.00023014,0.00011014,-0.00008986,0.08887218,8h event-window survives only under very low fee assumptions
2026-06-07T12:47:16.123085+00:00,ZEC,fee_dependent_24h_monitor,fee_dependent_24h_monitor,OkxSwap,HlPerp,106210.05564167,-0.00041087,0.0001851,0.0000651,-0.0001349,3.14430447,24h event-window survives low-fee assumption but not one-bps-each
2026-06-07T12:47:16.123085+00:00,BABY,drop_for_now,thin_or_unstable_watch,HlPerp,OkxSwap,18182.63949194,-0.00187835,-0.00029508,-0.00041508,-0.00061508,12.94997144,no current event-window scenario survives
2026-06-07T12:47:16.123085+00:00,JTO,drop_for_now,active_24h_monitor,OkxSwap,HlPerp,54543.56750198,-0.0014942,-0.00131121,-0.00143121,-0.00163121,7.52849755,no current event-window scenario survives
