asset,scenario,observations,long_venue,short_venue,target_notional,gross_8h_rate,gross_24h_rate,entry_slippage_bps,round_trip_slippage_rate,fee_round_trip_rate,all_in_round_trip_cost_rate,net_8h_after_all_in_cost,net_24h_after_all_in_cost,mean_capacity_proxy_notional,okx_fully_filled,hl_fully_filled
BABY,very_low_fee,12,HlPerp,OkxSwap,1000,0.00131017,0.00393051,12.94997144,0.00258999,0.00008,0.00266999,-0.00135982,0.00126052,18182.63949194,True,True
BABY,low_fee,12,HlPerp,OkxSwap,1000,0.00131017,0.00393051,12.94997144,0.00258999,0.0002,0.00278999,-0.00147982,0.00114052,18182.63949194,True,True
BABY,one_bps_each,12,HlPerp,OkxSwap,1000,0.00131017,0.00393051,12.94997144,0.00258999,0.0004,0.00298999,-0.00167982,0.00094052,18182.63949194,True,True
JTO,very_low_fee,12,OkxSwap,HlPerp,1000,0.00069315,0.00207945,7.52849755,0.0015057,0.00008,0.0015857,-0.00089255,0.00049376,54543.56750198,True,True
JTO,low_fee,12,OkxSwap,HlPerp,1000,0.00069315,0.00207945,7.52849755,0.0015057,0.0002,0.0017057,-0.00101255,0.00037376,54543.56750198,True,True
ZEC,very_low_fee,12,OkxSwap,HlPerp,1000,0.00032955,0.00098864,3.14430447,0.00062886,0.00008,0.00070886,-0.00037931,0.00027978,106210.05564167,True,True
BTC,very_low_fee,12,OkxSwap,HlPerp,1000,0.00011324,0.00033973,0.08887218,0.00001777,0.00008,0.00009777,0.00001547,0.00024195,422448.80855333,True,True
JTO,one_bps_each,12,OkxSwap,HlPerp,1000,0.00069315,0.00207945,7.52849755,0.0015057,0.0004,0.0019057,-0.00121255,0.00017376,54543.56750198,True,True
ZEC,low_fee,12,OkxSwap,HlPerp,1000,0.00032955,0.00098864,3.14430447,0.00062886,0.0002,0.00082886,-0.00049931,0.00015978,106210.05564167,True,True
BTC,low_fee,12,OkxSwap,HlPerp,1000,0.00011324,0.00033973,0.08887218,0.00001777,0.0002,0.00021777,-0.00010453,0.00012195,422448.80855333,True,True
ZEC,one_bps_each,12,OkxSwap,HlPerp,1000,0.00032955,0.00098864,3.14430447,0.00062886,0.0004,0.00102886,-0.00069931,-0.00004022,106210.05564167,True,True
BTC,one_bps_each,12,OkxSwap,HlPerp,1000,0.00011324,0.00033973,0.08887218,0.00001777,0.0004,0.00041777,-0.00030453,-0.00007805,422448.80855333,True,True
