asset,scenario,execution_mode,long_venue,short_venue,gross_event_8h_rate,gross_event_24h_rate,okx_taker_slippage_bps,hl_taker_slippage_bps,entry_slippage_bps,round_trip_slippage_rate,fee_round_trip_rate,all_in_round_trip_cost_rate,net_event_8h_after_cost,net_event_24h_after_cost,both_touch_rate,okx_only_touch_rate,hl_only_touch_rate,capacity
BABY,very_low_fee,both_maker,HlPerp,OkxSwap,0.00036862,0.00110587,9.53685298,8.14567978,0,0,0.00008,0.00008,0.00028862,0.00102587,0,0.2,0.2,18182.63949194
BABY,low_fee,both_maker,HlPerp,OkxSwap,0.00036862,0.00110587,9.53685298,8.14567978,0,0,0.0002,0.0002,0.00016862,0.00090587,0,0.2,0.2,18182.63949194
BABY,one_bps_each,both_maker,HlPerp,OkxSwap,0.00036862,0.00110587,9.53685298,8.14567978,0,0,0.0004,0.0004,-0.00003138,0.00070587,0,0.2,0.2,18182.63949194
ZEC,very_low_fee,both_maker,OkxSwap,HlPerp,0.00024083,0.00072249,0.12315726,0.49341294,0,0,0.00008,0.00008,0.00016083,0.00064249,0,0.6,0.2,106210.05564167
ZEC,very_low_fee,okx_cross_hl_maker,OkxSwap,HlPerp,0.00024083,0.00072249,0.12315726,0.49341294,0.12315726,0.00002463,0.00008,0.00010463,0.0001362,0.00061786,0,0.6,0.2,106210.05564167
ZEC,very_low_fee,okx_maker_hl_cross,OkxSwap,HlPerp,0.00024083,0.00072249,0.12315726,0.49341294,0.49341294,0.00009868,0.00008,0.00017868,0.00006215,0.00054381,0,0.6,0.2,106210.05564167
ZEC,low_fee,both_maker,OkxSwap,HlPerp,0.00024083,0.00072249,0.12315726,0.49341294,0,0,0.0002,0.0002,0.00004083,0.00052249,0,0.6,0.2,106210.05564167
ZEC,very_low_fee,both_cross,OkxSwap,HlPerp,0.00024083,0.00072249,0.12315726,0.49341294,0.6165702,0.00012331,0.00008,0.00020331,0.00003752,0.00051918,0,0.6,0.2,106210.05564167
ZEC,low_fee,okx_cross_hl_maker,OkxSwap,HlPerp,0.00024083,0.00072249,0.12315726,0.49341294,0.12315726,0.00002463,0.0002,0.00022463,0.0000162,0.00049786,0,0.6,0.2,106210.05564167
ZEC,low_fee,okx_maker_hl_cross,OkxSwap,HlPerp,0.00024083,0.00072249,0.12315726,0.49341294,0.49341294,0.00009868,0.0002,0.00029868,-0.00005785,0.00042381,0,0.6,0.2,106210.05564167
ZEC,low_fee,both_cross,OkxSwap,HlPerp,0.00024083,0.00072249,0.12315726,0.49341294,0.6165702,0.00012331,0.0002,0.00032331,-0.00008248,0.00039918,0,0.6,0.2,106210.05564167
ZEC,one_bps_each,both_maker,OkxSwap,HlPerp,0.00024083,0.00072249,0.12315726,0.49341294,0,0,0.0004,0.0004,-0.00015917,0.00032249,0,0.6,0.2,106210.05564167
