asset,execution_mode,gross_event_8h_rate,gross_event_24h_rate,round_trip_slippage_rate,max_round_trip_fee_8h_rate,max_round_trip_fee_24h_rate,equal_venue_fee_8h_bps_per_fill,equal_venue_fee_24h_bps_per_fill,both_touch_rate,okx_only_touch_rate,hl_only_touch_rate,capacity
BABY,both_maker,0.00036862,0.00110587,0,0.00036862,0.00110587,0.92155,2.764675,0,0.2,0.2,18182.63949194
ZEC,both_maker,0.00024083,0.00072249,0,0.00024083,0.00072249,0.602075,1.806225,0,0.6,0.2,106210.05564167
ZEC,okx_cross_hl_maker,0.00024083,0.00072249,0.00002463,0.0002162,0.00069786,0.5405,1.74465,0,0.6,0.2,106210.05564167
ZEC,okx_maker_hl_cross,0.00024083,0.00072249,0.00009868,0.00014215,0.00062381,0.355375,1.559525,0,0.6,0.2,106210.05564167
ZEC,both_cross,0.00024083,0.00072249,0.00012331,0.00011752,0.00059918,0.2938,1.49795,0,0.6,0.2,106210.05564167
BTC,both_maker,0.00010582,0.00031747,0,0.00010582,0.00031747,0.26455,0.793675,0.2,0.4,0.2,422448.80855333
BTC,okx_cross_hl_maker,0.00010582,0.00031747,0.00000162,0.0001042,0.00031585,0.2605,0.789625,0.2,0.4,0.2,422448.80855333
BTC,okx_maker_hl_cross,0.00010582,0.00031747,0.0000162,0.00008962,0.00030127,0.22405,0.753175,0.2,0.4,0.2,422448.80855333
BTC,both_cross,0.00010582,0.00031747,0.00001782,0.000088,0.00029965,0.22,0.749125,0.2,0.4,0.2,422448.80855333
JTO,both_maker,0.00005877,0.00017631,0,0.00005877,0.00017631,0.146925,0.440775,0,0.8,0.2,54543.56750198
JTO,okx_cross_hl_maker,0.00005877,0.00017631,0.00056322,-0.00050445,-0.00038691,-1.261125,-0.967275,0,0.8,0.2,54543.56750198
JTO,okx_maker_hl_cross,0.00005877,0.00017631,0.00064327,-0.0005845,-0.00046696,-1.46125,-1.1674,0,0.8,0.2,54543.56750198
BABY,okx_maker_hl_cross,0.00036862,0.00110587,0.00162914,-0.00126052,-0.00052327,-3.1513,-1.308175,0,0.2,0.2,18182.63949194
BABY,okx_cross_hl_maker,0.00036862,0.00110587,0.00190737,-0.00153875,-0.0008015,-3.846875,-2.00375,0,0.2,0.2,18182.63949194
JTO,both_cross,0.00005877,0.00017631,0.00120649,-0.00114772,-0.00103018,-2.8693,-2.57545,0,0.8,0.2,54543.56750198
BABY,both_cross,0.00036862,0.00110587,0.00353651,-0.00316789,-0.00243064,-7.919725,-6.0766,0,0.2,0.2,18182.63949194
