asset,observations,dominant_long_venue,dominant_short_venue,mean_annualized_spread,mean_net_8h_proxy,min_net_8h_proxy,max_net_8h_proxy,positive_net_8h_rate,mean_net_24h_proxy,mean_breakeven_hold_hours,mean_capacity_proxy_notional
BTC,6,OkxSwap,HlPerp,0.12639478,0.00000433,-0.00007492,0.00009782,0.50000000,0.00023519,7.7035,493421.18486500
SOL,6,HlPerp,OkxSwap,0.12328213,-0.00017195,-0.00033891,-0.00006287,0.00000000,0.00005322,20.0307,3123575.75932456
ZEC,6,OkxSwap,HlPerp,0.34560940,-0.00023688,-0.00034506,-0.00011914,0.00000000,0.00039437,14.0313,112828.19123333
HYPE,6,OkxSwap,HlPerp,0.16984869,-0.00032010,-0.00039919,-0.00024462,0.00000000,-0.00000988,24.4984,3679499.29666667
DOGE,6,OkxSwap,HlPerp,0.11563441,-0.00032755,-0.00045294,-0.00021265,0.00000000,-0.00011635,32.7180,98216.33029323
AI,6,HlPerp,OkxSwap,0.10950000,-0.00033113,-0.00033187,-0.00033057,0.00000000,-0.00013113,34.4902,0.00000000
BNB,6,OkxSwap,HlPerp,0.05389454,-0.00050133,-0.00076978,-0.00037190,0.00000000,-0.00040289,90.2971,66011.64932550
AVAX,6,HlPerp,OkxSwap,0.00771093,-0.00052427,-0.00059882,-0.00044146,0.00000000,-0.00051019,689.0728,96999.57145015
LINK,6,OkxSwap,HlPerp,0.09890133,-0.00057942,-0.00080027,-0.00038326,0.00000000,-0.00039877,59.2947,37261.22727268
MEW,6,HlPerp,OkxSwap,0.10950000,-0.00064465,-0.00073834,-0.00045866,0.00000000,-0.00044465,59.5716,0.00000000
TRX,6,HlPerp,OkxSwap,0.01466663,-0.00069608,-0.00079313,-0.00061243,0.00000000,-0.00066929,439.3298,47787.40206087
WLD,6,OkxSwap,HlPerp,0.40568579,-0.00073907,-0.00107395,-0.00011853,0.00000000,0.00000191,23.9640,484440.98077761
LTC,6,OkxSwap,HlPerp,0.11879403,-0.00075434,-0.00085640,-0.00064526,0.00000000,-0.00053737,63.5078,31571.31892240
ENA,1,OkxSwap,HlPerp,0.42375830,-0.00077220,-0.00077220,-0.00077220,0.00000000,0.00000179,23.9630,70679.88313293
XRP,6,OkxSwap,HlPerp,0.33076577,-0.00079738,-0.00094046,-0.00072119,0.00000000,-0.00019324,29.1487,377843.36330300
AAVE,6,OkxSwap,HlPerp,0.27640342,-0.00082222,-0.00105761,-0.00063693,0.00000000,-0.00031737,34.0415,52850.04995315
SUI,6,OkxSwap,HlPerp,0.02615097,-0.00085374,-0.00170290,-0.00040970,0.00000000,-0.00080597,294.1683,325458.30858109
WLFI,6,OkxSwap,HlPerp,0.22946558,-0.00092025,-0.00102360,-0.00086229,0.00000000,-0.00050113,43.1387,10119.59146708
ADA,6,OkxSwap,HlPerp,0.24667052,-0.00095908,-0.00112653,-0.00086339,0.00000000,-0.00050854,42.0485,139892.01186317
TAO,6,OkxSwap,HlPerp,0.25324630,-0.00096741,-0.00118517,-0.00080989,0.00000000,-0.00050486,41.4666,67605.44560385
TIA,6,OkxSwap,HlPerp,0.60950879,-0.00099793,-0.00111481,-0.00085206,0.00000000,0.00011533,22.3454,7005.96491417
