asset,observations,dominant_long_venue,dominant_short_venue,mean_annualized_spread,mean_net_8h_proxy,min_net_8h_proxy,max_net_8h_proxy,positive_net_8h_rate,mean_net_24h_proxy,mean_breakeven_hold_hours,mean_capacity_proxy_notional
BTC,3,OkxSwap,HlPerp,0.13314743,0.00009284,0.00007061,0.00010416,1.00000000,0.00033603,1.8913,764336.86090667
SOL,3,HlPerp,OkxSwap,0.13787143,-0.00004338,-0.00004466,-0.00004239,0.00000000,0.00020844,10.7571,3010719.78306643
DOGE,3,OkxSwap,HlPerp,0.05806994,-0.00016393,-0.00019522,-0.00013662,0.00000000,-0.00005786,32.7144,93432.69025043
HYPE,3,OkxSwap,HlPerp,0.18759485,-0.00018692,-0.00022889,-0.00013582,0.00000000,0.00015572,16.7294,3282503.61466667
TRX,3,OkxSwap,HlPerp,0.12735715,-0.00022865,-0.00024865,-0.00021839,0.00000000,0.00000397,23.7254,47163.67280360
BNB,3,HlPerp,OkxSwap,0.03863050,-0.00030628,-0.00038167,-0.00024265,0.00000000,-0.00023572,77.5966,65971.76241780
AI,3,HlPerp,OkxSwap,0.10950000,-0.00032977,-0.00033020,-0.00032946,0.00000000,-0.00012977,34.3815,0.00000000
SUI,3,OkxSwap,HlPerp,0.03613914,-0.00037528,-0.00038012,-0.00036690,0.00000000,-0.00030927,98.9913,315611.02565508
LINK,3,OkxSwap,HlPerp,0.09907503,-0.00037828,-0.00040327,-0.00036067,0.00000000,-0.00019732,41.4470,36483.98590167
ZEC,3,OkxSwap,HlPerp,0.12681698,-0.00040808,-0.00058215,-0.00030562,0.00000000,-0.00017645,36.1344,83555.64816667
AVAX,3,OkxSwap,HlPerp,0.01697279,-0.00046473,-0.00050496,-0.00038596,0.00000000,-0.00043373,247.7552,96763.55828571
AAVE,3,OkxSwap,HlPerp,0.14145505,-0.00052091,-0.00054996,-0.00050109,0.00000000,-0.00026255,40.2603,52714.33012260
LTC,3,OkxSwap,HlPerp,0.14140923,-0.00060701,-0.00064020,-0.00054206,0.00000000,-0.00034872,45.5961,31356.38998520
MEW,3,HlPerp,OkxSwap,0.10950000,-0.00063227,-0.00072384,-0.00044915,0.00000000,-0.00043227,58.5819,0.00000000
PENGU,1,OkxSwap,HlPerp,0.11490364,-0.00063479,-0.00063479,-0.00063479,0.00000000,-0.00042492,56.3947,20760.92014287
WLFI,3,OkxSwap,HlPerp,0.16784313,-0.00069976,-0.00074798,-0.00060730,0.00000000,-0.00039319,44.5029,10039.36013940
ASTER,3,OkxSwap,HlPerp,0.02740475,-0.00074737,-0.00079934,-0.00068113,0.00000000,-0.00069731,246.6970,44741.49783440
APT,3,OkxSwap,HlPerp,0.06355975,-0.00078366,-0.00083340,-0.00068490,0.00000000,-0.00066757,115.9819,16716.33547327
ADA,3,OkxSwap,HlPerp,0.24504428,-0.00078453,-0.00081916,-0.00073992,0.00000000,-0.00033696,36.0459,138381.09619280
HBAR,3,OkxSwap,HlPerp,0.17761161,-0.00080612,-0.00083099,-0.00076973,0.00000000,-0.00048171,47.7576,11991.48039904
XRP,2,OkxSwap,HlPerp,0.18774224,-0.00083239,-0.00086774,-0.00079703,0.00000000,-0.00048948,46.8406,331812.06751600
WLD,3,OkxSwap,HlPerp,0.27063462,-0.00084324,-0.00118147,-0.00055975,0.00000000,-0.00034893,35.3006,482956.22804658
BCH,3,OkxSwap,HlPerp,0.22323544,-0.00085974,-0.00092104,-0.00080476,0.00000000,-0.00045200,41.7377,26401.44696570
VIRTUAL,3,OkxSwap,HlPerp,0.07365226,-0.00092420,-0.00112386,-0.00079242,0.00000000,-0.00078967,118.2671,12566.53505665
CRV,3,OkxSwap,HlPerp,0.21466718,-0.00100143,-0.00105420,-0.00095009,0.00000000,-0.00060935,48.8672,24320.17558070
TAO,3,OkxSwap,HlPerp,0.26965146,-0.00101380,-0.00105270,-0.00099415,0.00000000,-0.00052128,40.9368,67075.29188213
TON,3,OkxSwap,HlPerp,0.25990322,-0.00101971,-0.00104001,-0.00100373,0.00000000,-0.00054500,42.3706,333570.86177567
NEAR,3,OkxSwap,HlPerp,0.26960756,-0.00105393,-0.00124853,-0.00071011,0.00000000,-0.00056150,42.2219,311590.21534280
CHIP,3,OkxSwap,HlPerp,0.12552515,-0.00106045,-0.00109707,-0.00103262,0.00000000,-0.00083118,82.2520,8805.43825273
XPL,3,OkxSwap,HlPerp,0.38987496,-0.00109133,-0.00117179,-0.00100061,0.00000000,-0.00037923,32.5178,77129.01329485
UNI,3,OkxSwap,HlPerp,0.06937208,-0.00109244,-0.00127131,-0.00089116,0.00000000,-0.00096573,145.8221,10058.03946360
XLM,3,OkxSwap,HlPerp,0.10055661,-0.00112321,-0.00112712,-0.00111663,0.00000000,-0.00093954,105.8533,103084.19499770
ARB,3,OkxSwap,HlPerp,0.16963718,-0.00113761,-0.00117830,-0.00105678,0.00000000,-0.00082777,66.7512,20344.80974732
ZEN,1,HlPerp,OkxSwap,0.38040475,-0.00113991,-0.00113991,-0.00113991,0.00000000,-0.00044511,34.2499,2991.43847838
INJ,3,OkxSwap,HlPerp,0.35613305,-0.00119508,-0.00154530,-0.00087684,0.00000000,-0.00054461,37.3894,20971.33739203
TIA,3,OkxSwap,HlPerp,0.29326856,-0.00119885,-0.00127423,-0.00111670,0.00000000,-0.00066320,43.8125,6800.81216155
ONDO,3,HlPerp,OkxSwap,0.05485789,-0.00121531,-0.00134365,-0.00110182,0.00000000,-0.00111511,201.9430,113917.85492110
LDO,3,OkxSwap,HlPerp,0.20283411,-0.00125687,-0.00130770,-0.00115677,0.00000000,-0.00088639,62.2881,5924.30612131
IP,3,OkxSwap,HlPerp,0.34305786,-0.00128427,-0.00133855,-0.00120788,0.00000000,-0.00065768,40.7970,3253.11732924
JTO,3,HlPerp,OkxSwap,0.42316781,-0.00129264,-0.00172754,-0.00080097,0.00000000,-0.00051973,34.8946,47036.16733360
TRUMP,3,HlPerp,OkxSwap,0.00241154,-0.00134358,-0.00136766,-0.00131995,0.00000000,-0.00133918,5354.2350,11648.69513390
LIT,3,OkxSwap,HlPerp,0.10864793,-0.00143009,-0.00164321,-0.00122412,0.00000000,-0.00123165,123.5063,46984.33936667
MON,3,OkxSwap,HlPerp,0.56084908,-0.00143034,-0.00157351,-0.00135854,0.00000000,-0.00040595,30.3392,24294.06266060
SEI,3,HlPerp,OkxSwap,0.04470464,-0.00145981,-0.00151995,-0.00142080,0.00000000,-0.00137816,294.1922,9095.63655099
MEGA,3,OkxSwap,HlPerp,0.26672231,-0.00148816,-0.00156193,-0.00134067,0.00000000,-0.00100100,56.8630,9677.98709123
KAITO,3,HlPerp,OkxSwap,0.30431977,-0.00149694,-0.00163743,-0.00134459,0.00000000,-0.00094111,51.0900,1594.73804610
BABY,3,HlPerp,OkxSwap,1.97239361,-0.00150674,-0.00150918,-0.00150238,0.00000000,0.00209581,14.6919,18135.00345375
ICP,3,HlPerp,OkxSwap,0.14201497,-0.00151421,-0.00159681,-0.00138443,0.00000000,-0.00125483,101.4114,11457.24460880
WIF,3,HlPerp,OkxSwap,0.29502862,-0.00152812,-0.00160465,-0.00139904,0.00000000,-0.00098926,53.3899,12243.88760860
DASH,3,OkxSwap,HlPerp,0.16652351,-0.00163505,-0.00192079,-0.00129726,0.00000000,-0.00133090,93.8542,14053.10376737
MOODENG,3,HlPerp,OkxSwap,0.04374739,-0.00166551,-0.00169780,-0.00162370,0.00000000,-0.00158561,341.8745,1716.74014150
AIXBT,3,HlPerp,OkxSwap,0.78223357,-0.00171906,-0.00176011,-0.00166704,0.00000000,-0.00029033,27.2544,2383.52979494
ANIME,3,OkxSwap,HlPerp,0.00000000,-0.00175339,-0.00197255,-0.00164382,0.00000000,-0.00175339,0.0000,2342.70845086
STRK,3,HlPerp,OkxSwap,0.13833181,-0.00177100,-0.00197020,-0.00167007,0.00000000,-0.00151834,120.1245,8504.83095080
PUMP,3,HlPerp,OkxSwap,0.00288362,-0.00177581,-0.00199984,-0.00133085,0.00000000,-0.00177054,6000.9364,33037.37764893
BERA,3,OkxSwap,HlPerp,0.17092951,-0.00182313,-0.00189173,-0.00172713,0.00000000,-0.00151093,101.4446,2757.23201478
FIL,1,OkxSwap,HlPerp,0.13819102,-0.00182724,-0.00182724,-0.00182724,0.00000000,-0.00157484,123.8298,10241.37274228
SNX,3,HlPerp,OkxSwap,0.78433742,-0.00183807,-0.00216834,-0.00167223,0.00000000,-0.00040550,28.5315,2536.59055699
DOT,3,OkxSwap,HlPerp,0.23408577,-0.00189284,-0.00193154,-0.00183815,0.00000000,-0.00146528,78.8352,8737.27170259
YGG,3,OkxSwap,HlPerp,0.00000000,-0.00189936,-0.00192537,-0.00188635,0.00000000,-0.00189936,0.0000,1675.94596270
ALGO,3,OkxSwap,HlPerp,0.33370705,-0.00193042,-0.00206025,-0.00183971,0.00000000,-0.00132091,58.6715,3720.34340475
2Z,3,HlPerp,OkxSwap,0.14136968,-0.00198435,-0.00231537,-0.00172533,0.00000000,-0.00172614,130.9867,1314.08632026
MERL,3,HlPerp,OkxSwap,0.54690228,-0.00200542,-0.00216827,-0.00192341,0.00000000,-0.00100651,40.1226,2386.67013151
TURBO,3,HlPerp,OkxSwap,0.44830754,-0.00201265,-0.00201353,-0.00201222,0.00000000,-0.00119383,47.3277,900.62807543
0G,3,HlPerp,OkxSwap,0.19071221,-0.00204845,-0.00241466,-0.00166547,0.00000000,-0.00170011,102.0927,1674.58871977
CC,3,OkxSwap,HlPerp,0.18152063,-0.00204903,-0.00265176,-0.00136811,0.00000000,-0.00171749,106.7888,35174.44204283
EIGEN,1,OkxSwap,HlPerp,0.29866805,-0.00207346,-0.00207346,-0.00207346,0.00000000,-0.00152794,68.8149,8188.02293337
BIO,3,HlPerp,OkxSwap,0.08600002,-0.00207355,-0.00212706,-0.00201233,0.00000000,-0.00191647,220.4038,5764.45776105
PYTH,3,HlPerp,OkxSwap,0.14730904,-0.00214361,-0.00248663,-0.00183145,0.00000000,-0.00187455,135.4870,5226.63741990
ME,3,HlPerp,OkxSwap,0.40398482,-0.00216913,-0.00227873,-0.00211308,0.00000000,-0.00143126,55.0346,1638.69702689
AXS,3,OkxSwap,HlPerp,0.24802227,-0.00218713,-0.00221297,-0.00215971,0.00000000,-0.00173412,85.2511,1320.72846492
STX,3,HlPerp,OkxSwap,0.08280319,-0.00219946,-0.00222226,-0.00216134,0.00000000,-0.00204823,241.0240,2379.06733834
JUP,3,HlPerp,OkxSwap,0.26347085,-0.00222429,-0.00243023,-0.00199710,0.00000000,-0.00174306,81.9481,10725.21315327
GRASS,3,OkxSwap,HlPerp,0.20935451,-0.00228063,-0.00253839,-0.00211218,0.00000000,-0.00189825,103.4934,6219.61159915
TRB,3,OkxSwap,HlPerp,0.00000000,-0.00228667,-0.00245964,-0.00217396,0.00000000,-0.00228667,0.0000,1120.80072630
GALA,3,HlPerp,OkxSwap,0.01020356,-0.00229682,-0.00230154,-0.00229436,0.00000000,-0.00227819,2265.2276,1454.68132718
APE,3,OkxSwap,HlPerp,0.17382588,-0.00234508,-0.00234521,-0.00234483,0.00000000,-0.00202759,126.1807,8707.94711356
OP,1,OkxSwap,HlPerp,0.14899530,-0.00235304,-0.00235304,-0.00235304,0.00000000,-0.00208090,146.3443,7371.97315355
MEME,3,HlPerp,OkxSwap,0.47687308,-0.00235780,-0.00288780,-0.00130415,0.00000000,-0.00148680,51.3219,5957.52908775
ATOM,3,OkxSwap,HlPerp,0.37585646,-0.00237636,-0.00237672,-0.00237598,0.00000000,-0.00168986,63.3852,4457.90090610
AERO,3,OkxSwap,HlPerp,0.08579620,-0.00238805,-0.00290172,-0.00195353,0.00000000,-0.00223134,255.7746,3297.18530570
SPX,3,OkxSwap,HlPerp,0.00000000,-0.00240571,-0.00249188,-0.00236167,0.00000000,-0.00240571,0.0000,14120.31277513
GMX,3,OkxSwap,HlPerp,0.12362469,-0.00245388,-0.00253505,-0.00237860,0.00000000,-0.00222808,181.8552,2219.12130479
STABLE,3,OkxSwap,HlPerp,0.16184499,-0.00250010,-0.00251391,-0.00247701,0.00000000,-0.00220449,143.3920,11542.03200408
SUSHI,3,HlPerp,OkxSwap,0.23269626,-0.00250754,-0.00256807,-0.00244816,0.00000000,-0.00208253,102.4003,1925.47437397
NEO,3,HlPerp,OkxSwap,0.19428037,-0.00252661,-0.00280053,-0.00234493,0.00000000,-0.00217176,121.8930,1090.55082895
S,3,OkxSwap,HlPerp,0.09726866,-0.00275663,-0.00313029,-0.00253340,0.00000000,-0.00257897,256.1647,1551.82408971
CFX,3,OkxSwap,HlPerp,0.23605578,-0.00276181,-0.00351577,-0.00213114,0.00000000,-0.00233066,110.5984,4758.02404444
SAND,3,HlPerp,OkxSwap,0.23961608,-0.00277290,-0.00288067,-0.00261378,0.00000000,-0.00233525,109.3802,1765.29274149
SKY,3,OkxSwap,HlPerp,0.00000000,-0.00278145,-0.00293447,-0.00266997,0.00000000,-0.00278145,0.0000,5369.58393373
AR,3,OkxSwap,HlPerp,0.36871730,-0.00279370,-0.00308621,-0.00254696,0.00000000,-0.00212024,74.3706,11558.41649539
RENDER,3,OkxSwap,HlPerp,0.01603179,-0.00280520,-0.00344673,-0.00234801,0.00000000,-0.00277591,1574.3955,6455.66510900
COMP,3,OkxSwap,HlPerp,0.00831095,-0.00282708,-0.00287036,-0.00274818,0.00000000,-0.00281190,2998.7791,2289.96340463
UMA,3,OkxSwap,HlPerp,0.09782196,-0.00293327,-0.00309851,-0.00278694,0.00000000,-0.00275460,270.7276,655.49290365
MORPHO,3,HlPerp,OkxSwap,0.05008899,-0.00296407,-0.00309024,-0.00285657,0.00000000,-0.00287258,527.5665,7690.30286320
AZTEC,3,OkxSwap,HlPerp,0.48115448,-0.00315141,-0.00389459,-0.00259427,0.00000000,-0.00227259,65.3846,2363.18429589
MET,3,OkxSwap,HlPerp,0.00000000,-0.00316514,-0.00321560,-0.00308434,0.00000000,-0.00316514,0.0000,1563.20947634
LINEA,3,OkxSwap,HlPerp,0.00000000,-0.00319038,-0.00358883,-0.00279131,0.00000000,-0.00319038,0.0000,2412.61309701
MINA,3,HlPerp,OkxSwap,0.05299566,-0.00322650,-0.00330284,-0.00309593,0.00000000,-0.00312970,541.5434,1186.85601636
GMT,3,OkxSwap,HlPerp,0.14982464,-0.00333402,-0.00338055,-0.00324784,0.00000000,-0.00306037,203.1020,1108.71721027
IMX,3,OkxSwap,HlPerp,0.16756827,-0.00336119,-0.00364458,-0.00287072,0.00000000,-0.00305513,183.6899,2219.52885735
LAYER,3,OkxSwap,HlPerp,0.36032919,-0.00342212,-0.00369087,-0.00328575,0.00000000,-0.00276398,91.1841,1730.07159697
SYRUP,3,OkxSwap,HlPerp,0.00000000,-0.00343335,-0.00346638,-0.00341291,0.00000000,-0.00343335,0.0000,3550.53455430
W,3,HlPerp,OkxSwap,0.03512373,-0.00344322,-0.00413837,-0.00309320,0.00000000,-0.00337907,869.7551,2707.07734576
BLUR,3,OkxSwap,HlPerp,0.00000000,-0.00347843,-0.00371099,-0.00336199,0.00000000,-0.00347843,0.0000,1757.95342104
BIGTIME,3,OkxSwap,HlPerp,0.29857425,-0.00354654,-0.00362117,-0.00350661,0.00000000,-0.00300120,112.0556,1191.68553199
AVNT,3,OkxSwap,HlPerp,0.00000000,-0.00367671,-0.00369259,-0.00365464,0.00000000,-0.00367671,0.0000,3973.25855693
MOVE,3,OkxSwap,HlPerp,0.00000000,-0.00368866,-0.00371730,-0.00363211,0.00000000,-0.00368866,0.0000,751.71494337
GAS,3,OkxSwap,HlPerp,0.00000000,-0.00374093,-0.00374093,-0.00374093,0.00000000,-0.00374093,0.0000,660.61493010
WCT,3,OkxSwap,HlPerp,0.17716882,-0.00379355,-0.00443726,-0.00345188,0.00000000,-0.00346995,195.4383,665.52634348
CELO,3,HlPerp,OkxSwap,0.02753764,-0.00386730,-0.00435650,-0.00346558,0.00000000,-0.00381701,1238.1746,1290.77089704
SOPH,3,OkxSwap,HlPerp,0.00000000,-0.00410544,-0.00422799,-0.00386034,0.00000000,-0.00410544,0.0000,300.01198784
DYDX,2,OkxSwap,HlPerp,0.14298194,-0.00410683,-0.00503698,-0.00317667,0.00000000,-0.00384567,259.7227,2392.77334449
INIT,3,OkxSwap,HlPerp,0.00000000,-0.00413036,-0.00442592,-0.00393679,0.00000000,-0.00413036,0.0000,2617.82428128
BRETT,3,OkxSwap,HlPerp,0.14919464,-0.00415254,-0.00445879,-0.00372444,0.00000000,-0.00388004,251.7648,1389.25081919
RESOLV,3,OkxSwap,HlPerp,0.00000000,-0.00436345,-0.00457049,-0.00400525,0.00000000,-0.00436345,0.0000,3389.59067823
