placed_at,checked_at,asset,okx_side,hl_side,okx_touched,hl_touched,both_touched,either_touched,okx_maker_edge_bps,hl_maker_edge_bps
2026-06-07T12:58:39.249076+00:00,2026-06-07T12:58:50.833465+00:00,BTC,buy,sell,True,False,False,True,0.00807012,0.32266391
2026-06-07T12:58:50.833465+00:00,2026-06-07T12:59:02.355338+00:00,BTC,buy,sell,False,False,False,False,0.0080766,0.08073175
2026-06-07T12:59:02.355338+00:00,2026-06-07T12:59:13.912361+00:00,BTC,buy,sell,True,False,False,True,0.00807595,0.08073175
2026-06-07T12:59:13.912361+00:00,2026-06-07T12:59:25.416636+00:00,BTC,buy,sell,True,False,False,True,0.0080827,0.08078262
2026-06-07T12:59:25.416636+00:00,2026-06-07T12:59:36.966126+00:00,BTC,buy,sell,False,True,False,True,0.00808302,0.16158743
2026-06-07T12:58:40.076992+00:00,2026-06-07T12:58:51.556627+00:00,ZEC,buy,sell,True,False,False,True,0.12205988,2.56125672
2026-06-07T12:58:51.556627+00:00,2026-06-07T12:59:03.151135+00:00,ZEC,buy,sell,True,False,False,True,0.12222698,0.12219113
2026-06-07T12:59:03.151135+00:00,2026-06-07T12:59:14.675680+00:00,ZEC,buy,sell,True,False,False,True,0.12231369,0.12220308
2026-06-07T12:59:14.675680+00:00,2026-06-07T12:59:26.173871+00:00,ZEC,buy,sell,True,True,True,True,0.12231967,0.12224192
2026-06-07T12:59:26.173871+00:00,2026-06-07T12:59:37.714603+00:00,ZEC,buy,sell,False,True,False,True,0.12232865,0.36660027
