placed_at,checked_at,asset,venue,side,maker_quote,next_best_bid,next_best_ask,touched,maker_edge_bps
2026-06-07T12:53:50.208874+00:00,2026-06-07T12:54:02.561733+00:00,BTC,OkxSwap,buy,61736.9,61731.6,61731.7,True,0.00809888
2026-06-07T12:53:50.208874+00:00,2026-06-07T12:54:02.561733+00:00,BTC,HlPerp,sell,61754,61734,61735,False,0.08096707
2026-06-07T12:53:51.804482+00:00,2026-06-07T12:54:03.303674+00:00,ZEC,OkxSwap,buy,405.88,405.14,405.15,True,0.1231876
2026-06-07T12:53:51.804482+00:00,2026-06-07T12:54:03.303674+00:00,ZEC,HlPerp,sell,406.05,405.1,405.19,False,1.10836073
2026-06-07T12:54:02.561733+00:00,2026-06-07T12:54:14.068265+00:00,BTC,OkxSwap,buy,61731.6,61740.9,61741,False,0.00809957
2026-06-07T12:54:02.561733+00:00,2026-06-07T12:54:14.068265+00:00,BTC,HlPerp,sell,61735,61748,61749,True,0.08099199
2026-06-07T12:54:03.303674+00:00,2026-06-07T12:54:14.785037+00:00,ZEC,OkxSwap,buy,405.14,404.2,404.21,True,0.12341261
2026-06-07T12:54:03.303674+00:00,2026-06-07T12:54:14.785037+00:00,ZEC,HlPerp,sell,405.19,404.46,404.47,False,1.11071345
2026-06-07T12:54:14.068265+00:00,2026-06-07T12:54:25.655064+00:00,BTC,OkxSwap,buy,61740.9,61792.1,61792.2,False,0.00809835
2026-06-07T12:54:14.068265+00:00,2026-06-07T12:54:25.655064+00:00,BTC,HlPerp,sell,61749,61796,61797,True,0.08097363
2026-06-07T12:54:14.785037+00:00,2026-06-07T12:54:26.418845+00:00,ZEC,OkxSwap,buy,404.2,405.66,405.67,False,0.12369961
2026-06-07T12:54:14.785037+00:00,2026-06-07T12:54:26.418845+00:00,ZEC,HlPerp,sell,404.47,405.65,405.66,True,0.12362009
2026-06-07T12:54:25.655064+00:00,2026-06-07T12:54:37.214875+00:00,BTC,OkxSwap,buy,61792.1,61821.9,61822,False,0.00809164
2026-06-07T12:54:25.655064+00:00,2026-06-07T12:54:37.214875+00:00,BTC,HlPerp,sell,61797,61834,61835,True,0.08091073
2026-06-07T12:54:26.418845+00:00,2026-06-07T12:54:37.952039+00:00,ZEC,OkxSwap,buy,405.66,406.1,406.11,False,0.12325441
2026-06-07T12:54:26.418845+00:00,2026-06-07T12:54:37.952039+00:00,ZEC,HlPerp,sell,405.66,406.29,406.3,True,0.12325745
2026-06-07T12:54:37.214875+00:00,2026-06-07T12:54:48.701606+00:00,BTC,OkxSwap,buy,61821.9,61825.5,61825.6,False,0.00808774
2026-06-07T12:54:37.214875+00:00,2026-06-07T12:54:48.701606+00:00,BTC,HlPerp,sell,61835,61836,61837,True,0.08086101
2026-06-07T12:54:37.952039+00:00,2026-06-07T12:54:49.470644+00:00,ZEC,OkxSwap,buy,406.1,406.37,406.38,False,0.12312087
2026-06-07T12:54:37.952039+00:00,2026-06-07T12:54:49.470644+00:00,ZEC,HlPerp,sell,406.3,406.63,406.65,True,0.12306329
