fee_bps_per_fill_per_venue,asset,action,best_mode,horizon,fee_headroom_bps,capacity,both_touch_rate,okx_touch_rate,hl_touch_rate,reason
0.1,ZEC,paper_8h_candidate,okx_cross_hl_maker,8h,0.4405,106210.05564167,0,0.6,0.2,one-leg-cross mode survives fees and maker-leg touch gate
0.1,BTC,paper_8h_candidate,both_maker,8h,0.16455,422448.80855333,0.2,0.6,0.4,maker-maker mode survives fees and same-window touch gate
0.1,BABY,execution_watch,both_maker,8h,0.82155,18182.63949194,0,0.2,0.2,edge survives fees but maker-touch gate blocks the best mode
0.1,JTO,execution_watch,both_maker,8h,0.046925,54543.56750198,0,0.8,0.2,edge survives fees but maker-touch gate blocks the best mode
0.25,ZEC,paper_8h_candidate,okx_cross_hl_maker,8h,0.2905,106210.05564167,0,0.6,0.2,one-leg-cross mode survives fees and maker-leg touch gate
0.25,BTC,paper_8h_candidate,both_maker,8h,0.01455,422448.80855333,0.2,0.6,0.4,maker-maker mode survives fees and same-window touch gate
0.25,BABY,execution_watch,both_maker,8h,0.67155,18182.63949194,0,0.2,0.2,edge survives fees but maker-touch gate blocks the best mode
0.25,JTO,execution_watch,both_maker,24h,0.190775,54543.56750198,0,0.8,0.2,edge survives fees but maker-touch gate blocks the best mode
0.5,ZEC,paper_8h_candidate,okx_cross_hl_maker,8h,0.0405,106210.05564167,0,0.6,0.2,one-leg-cross mode survives fees and maker-leg touch gate
0.5,BTC,paper_24h_candidate,both_maker,24h,0.293675,422448.80855333,0.2,0.6,0.4,maker-maker mode survives fees and same-window touch gate
0.5,BABY,execution_watch,both_maker,8h,0.42155,18182.63949194,0,0.2,0.2,edge survives fees but maker-touch gate blocks the best mode
0.5,JTO,drop_current,both_maker,blocked,-0.059225,54543.56750198,0,0.8,0.2,no execution mode survives the configured fee ceiling
1,ZEC,paper_24h_candidate,okx_cross_hl_maker,24h,0.74465,106210.05564167,0,0.6,0.2,one-leg-cross mode survives fees and maker-leg touch gate
1,BABY,execution_watch,both_maker,24h,1.764675,18182.63949194,0,0.2,0.2,edge survives fees but maker-touch gate blocks the best mode
1,BTC,drop_current,both_maker,blocked,-0.206325,422448.80855333,0.2,0.6,0.4,no execution mode survives the configured fee ceiling
1,JTO,drop_current,both_maker,blocked,-0.559225,54543.56750198,0,0.8,0.2,no execution mode survives the configured fee ceiling
