source,action,asset,long_venue,short_venue,observations,mean_annualized_edge,min_annualized_edge,mean_net_8h_proxy,mean_net_24h_proxy,positive_net_24h_rate,mean_liquidity_proxy,mean_friction_proxy
okx_hl_current,paper_24h_monitor,STABLE,OkxSwap,HlPerp,12,1.92816793,1.91604964,-0.00130820,0.00221357,1.00000000,11785.58414389,0.00306908
predicted_cross_venue,current_funding_monitor,STABLE,BybitPerp,HlPerp,12,2.16295408,2.14136798,,,,1178558.41438867,0.00253898
predicted_cross_venue,current_funding_monitor,SAGA,HlPerp,BybitPerp,12,1.36704253,1.35904042,,,,186610.77748450,0.00217909
hl_single_venue,current_funding_monitor,SAGA,HlPerp,cash_or_spot_proxy,12,1.25567380,1.24202521,,,,186638.27919067,0.00223965
predicted_cross_venue,current_funding_monitor,kNEIRO,HlPerp,BybitPerp,12,1.22860387,1.22243960,,,,292486.73058958,0.00122959
hl_single_venue,current_funding_monitor,kNEIRO,HlPerp,cash_or_spot_proxy,12,1.11810078,1.11223618,,,,291959.19047908,0.00122981
predicted_cross_venue,current_funding_monitor,ZEC,BybitPerp,HlPerp,12,1.03101163,0.95375726,,,,344015815.62644941,0.00109367
predicted_cross_venue,current_funding_monitor,WLD,BinPerp,HlPerp,12,0.98862440,0.98373705,,,,48755591.25488117,0.00107285
predicted_cross_venue,current_funding_monitor,AIXBT,HlPerp,BinPerp,12,0.97445276,0.96869131,,,,269715.38225400,0.00342000
predicted_cross_venue,current_funding_monitor,SNX,HlPerp,BinPerp,12,0.90970052,0.89250472,,,,249256.71625750,0.00210897
hl_single_venue,current_funding_monitor,SNX,HlPerp,cash_or_spot_proxy,12,0.90587131,0.89024814,,,,249092.79545875,0.00219453
hl_single_venue,current_funding_monitor,AIXBT,HlPerp,cash_or_spot_proxy,12,0.86599805,0.85748924,,,,269729.95978500,0.00334827
hl_single_venue,current_funding_monitor,BABY,HlPerp,cash_or_spot_proxy,12,0.82454026,0.79992203,,,,1737267.94561333,0.00164339
hl_single_venue,current_funding_monitor,MON,HlPerp,cash_or_spot_proxy,12,0.73052122,0.71691752,,,,2410831.96546558,0.00161569
hl_single_venue,current_funding_monitor,MORPHO,HlPerp,cash_or_spot_proxy,12,0.72038977,0.69038524,,,,801767.34067917,0.00289579
hl_single_venue,current_funding_monitor,BIO,HlPerp,cash_or_spot_proxy,12,0.70343034,0.69518572,,,,628515.95083158,0.00138905
predicted_cross_venue,current_funding_monitor,BSV,HlPerp,BybitPerp,12,0.64136033,0.62740609,,,,203495.92131000,0.00373940
predicted_cross_venue,current_funding_monitor,0G,HlPerp,BybitPerp,12,0.63707472,0.61608554,,,,163985.29135750,0.00157957
predicted_cross_venue,current_funding_monitor,POPCAT,HlPerp,BybitPerp,12,0.60232066,0.59048795,,,,460696.51062192,0.00181656
hl_single_venue,current_funding_monitor,POPCAT,HlPerp,cash_or_spot_proxy,12,0.59345423,0.57578516,,,,460469.48404125,0.00186939
predicted_cross_venue,current_funding_monitor,PROVE,HlPerp,BinPerp,12,0.59153783,0.57511940,,,,135868.32603167,0.00228068
predicted_cross_venue,current_funding_monitor,MORPHO,HlPerp,BinPerp,11,0.59117656,0.56230002,,,,802490.91408818,0.00283135
okx_hl_current,paper_24h_monitor,WLD,OkxSwap,HlPerp,10,0.83272584,0.82831309,-0.00061423,0.00090673,1.00000000,487826.06358469,0.00137471
hl_single_venue,current_funding_monitor,SEI,HlPerp,cash_or_spot_proxy,9,0.58400010,0.57898344,,,,914803.30021889,0.00122151
hl_single_venue,current_funding_monitor,STABLE,HlPerp,cash_or_spot_proxy,9,0.57870555,0.55702387,,,,1178212.13311700,0.00248004
hl_single_venue,current_funding_monitor,ZEC,HlPerp,cash_or_spot_proxy,5,0.62493244,0.59317376,,,,336252179.80475956,0.00117128
hl_single_venue,current_funding_monitor,NIL,HlPerp,cash_or_spot_proxy,4,0.56623917,0.56208190,,,,505730.75157050,0.00297157
