candidate,predictions,mean_daily_rank_ic,positive_score_hit_rate,total_return,sharpe,max_drawdown,mean_daily_turnover
momentum_contrarian_return_ridge_top_1_1d,17719,0.0030800741,0.475669,3.0120480665,1.2924963549,-0.4993127843,0.8788870704
structure_contrarian_return_ridge_top_1_3d,17719,0.0050225179,0.472450,1.9632728904,1.1148869610,-0.6630749080,0.5875613748
all_rank_ridge_top_1_3d,17719,0.0541256023,0.484108,1.1594046649,1.1065195773,-0.4279296865,0.4468085106
momentum_contrarian_return_ridge_top_2_1d,17719,0.0030800741,0.475669,1.6112645363,1.0762622797,-0.5700139220,0.8134206219
momentum_contrarian_return_ridge_top_3_1d,17719,0.0030800741,0.475669,1.4455538647,1.0472519559,-0.5473415484,0.7932351337
flow_return_ridge_top_2_14d,17719,0.0041863538,0.473689,1.4407578851,1.0382482783,-0.6513144568,0.1227495908
flow_sign_ridge_top_1_14d,17719,0.0093094688,0.467105,1.5721706685,1.0329119388,-0.6579708010,0.1227495908
flow_sign_ridge_top_3_14d,17719,0.0093094688,0.467105,0.6530625852,0.7700151869,-0.6229293380,0.1183851609
flow_return_ridge_top_3_14d,17719,0.0041863538,0.473689,0.6517275094,0.7698091894,-0.6229247051,0.1249318058
structure_sign_ridge_top_1_14d,17719,-0.0032680374,0.461059,0.6124662627,0.7680349094,-0.8103482018,0.1260229133
structure_sign_ridge_top_3_14d,17719,-0.0032680374,0.461059,0.5198746674,0.7089098191,-0.6876236046,0.1129296236
structure_contrarian_return_ridge_top_1_7d,17719,0.0050225179,0.472450,0.4878035992,0.7060971694,-0.6050875289,0.2405891980
structure_sign_ridge_top_2_14d,17719,-0.0032680374,0.461059,0.4953565432,0.7012553134,-0.7105395473,0.1194762684
all_rank_ridge_top_2_14d,17719,0.0541256023,0.484108,0.5640826641,0.7001850397,-0.6126088840,0.0818330606
flow_sign_ridge_top_2_14d,17719,0.0093094688,0.467105,0.4964262047,0.6939009025,-0.6184014079,0.1178396072
