candidate,steps,total_return,sharpe,max_drawdown,mean_daily_turnover
positive_funding_carry_top_3_14d,881,0.1591944868,7.2776382393,-0.0027948901,0.0775633750
positive_funding_carry_top_2_14d,881,0.1562550941,6.9066839978,-0.0023875653,0.0851305335
positive_funding_carry_top_3_7d,881,0.1367435366,6.2259332239,-0.0060287996,0.1399924328
positive_funding_carry_top_1_14d,881,0.1532674320,5.8056521451,-0.0062503192,0.0885357548
positive_funding_carry_top_2_7d,881,0.1284347498,5.6205725921,-0.0054221049,0.1566401816
positive_funding_carry_top_1_7d,881,0.1183449570,4.4906118386,-0.0084004379,0.1770715096
positive_funding_carry_top_3_3d,881,0.0817247084,3.4409233044,-0.0237011305,0.3397654181
positive_funding_carry_top_2_3d,881,0.0776368523,3.1357286261,-0.0242660492,0.3711691260
positive_funding_carry_top_1_3d,881,0.0541213238,1.9761354169,-0.0362309435,0.4324631101
positive_funding_carry_top_3_1d,881,-0.0899249041,-3.9933851623,-0.1339356219,0.9375709421
positive_funding_carry_top_2_1d,881,-0.1088670783,-4.6648738269,-0.1493407790,1.0317820658
positive_funding_carry_top_1_1d,881,-0.1368344727,-5.1652788925,-0.1755290350,1.1770715096
