transaction_cost_rate,candidate,steps,total_return,sharpe,max_drawdown,mean_daily_turnover
0.0004,positive_funding_carry_top_3_14d,864,0.2186046820,5.5427329641,-0.0152850049,0.1157407407
0.0004,positive_funding_carry_top_2_14d,864,0.2517785536,5.1893451746,-0.0204963736,0.1203703704
0.0004,positive_funding_carry_top_3_7d,864,0.2032381208,5.1605947752,-0.0138921122,0.2260802469
0.0004,positive_funding_carry_top_2_7d,864,0.2331569502,4.9436787967,-0.0127163049,0.2291666667
0.0004,positive_funding_carry_top_1_14d,864,0.3010105190,4.7807173688,-0.0216751998,0.1261574074
0.0004,positive_funding_carry_top_1_7d,864,0.3247469952,4.2726936212,-0.0128398362,0.2395833333
0.0004,positive_funding_carry_top_1_3d,864,0.1972377732,2.5433792292,-0.0714192768,0.5752314815
0.0004,positive_funding_carry_top_2_3d,864,0.1246682076,2.4036862601,-0.0640992474,0.5497685185
0.0004,positive_funding_carry_top_3_3d,864,0.1000949090,2.2466155461,-0.0622670047,0.5258487654
0.0004,positive_funding_carry_top_1_1d,864,-0.0520345040,-0.7434740107,-0.2295106671,1.5821759259
0.0004,positive_funding_carry_top_2_1d,864,-0.1047728915,-2.3410314485,-0.2210018775,1.4953703704
0.0004,positive_funding_carry_top_3_1d,864,-0.1267424482,-3.4165938095,-0.2202025964,1.4525462963
0.001,positive_funding_carry_top_3_14d,864,0.1475795831,3.4775923782,-0.0293969065,0.1157407407
0.001,positive_funding_carry_top_2_14d,864,0.1759894086,3.4597428379,-0.0347094281,0.1203703704
0.001,positive_funding_carry_top_1_14d,864,0.2185667823,3.3833408289,-0.0389278139,0.1261574074
0.001,positive_funding_carry_top_1_7d,864,0.1698818484,2.2181417897,-0.0727875948,0.2395833333
0.001,positive_funding_carry_top_2_7d,864,0.0949191576,1.8767709268,-0.0652274909,0.2291666667
0.001,positive_funding_carry_top_3_7d,864,0.0700696127,1.6014296779,-0.0643237250,0.2260802469
0.001,positive_funding_carry_top_1_3d,864,-0.1117098188,-1.4618577204,-0.2620133214,0.5752314815
0.001,positive_funding_carry_top_2_3d,864,-0.1544253009,-2.8458041867,-0.2505184136,0.5497685185
0.001,positive_funding_carry_top_3_3d,864,-0.1625656348,-3.3752959464,-0.2395431657,0.5258487654
0.001,positive_funding_carry_top_1_1d,864,-0.5828794887,-10.9094985985,-0.6459995766,1.5821759259
0.001,positive_funding_carry_top_2_1d,864,-0.5878982164,-16.2478242411,-0.6213645143,1.4953703704
0.001,positive_funding_carry_top_3_1d,864,-0.5889670648,-19.4411843588,-0.6101836070,1.4525462963
0.002,positive_funding_carry_top_1_14d,864,0.0924207988,1.2849091711,-0.1004253100,0.1261574074
0.002,positive_funding_carry_top_2_14d,864,0.0595716594,1.0006092126,-0.0903154531,0.1203703704
0.002,positive_funding_carry_top_3_14d,864,0.0381364148,0.7314841338,-0.0851908509,0.1157407407
0.002,positive_funding_carry_top_1_7d,864,-0.0493558843,-0.5629729161,-0.2208802784,0.2395833333
0.002,positive_funding_carry_top_2_7d,864,-0.1021587957,-1.6027824986,-0.2079376280,0.2291666667
0.002,positive_funding_carry_top_3_7d,864,-0.1201759884,-2.0698751384,-0.2067920039,0.2260802469
0.002,positive_funding_carry_top_1_3d,864,-0.4602700695,-5.7962884831,-0.5387570872,0.5752314815
0.002,positive_funding_carry_top_2_3d,864,-0.4747099822,-7.4517252546,-0.5191921772,0.5497685185
0.002,positive_funding_carry_top_3_3d,864,-0.4688534198,-7.9358345236,-0.5009745825,0.5258487654
0.002,positive_funding_carry_top_1_1d,864,-0.8940466403,-21.6735713869,-0.9046767658,1.5821759259
0.002,positive_funding_carry_top_2_1d,864,-0.8871047348,-29.6530677551,-0.8897341876,1.4953703704
0.002,positive_funding_carry_top_3_1d,864,-0.8831249897,-34.8127673511,-0.8831425877,1.4525462963
0.005,positive_funding_carry_top_1_14d,864,-0.2139384086,-1.9623133238,-0.3372838920,0.1261574074
0.005,positive_funding_carry_top_2_14d,864,-0.2258746193,-2.3008270717,-0.3216445095,0.1203703704
0.005,positive_funding_carry_top_3_14d,864,-0.2322778516,-2.5251370396,-0.3146159577,0.1157407407
0.005,positive_funding_carry_top_1_7d,864,-0.4911427215,-4.2349330653,-0.5762754275,0.2395833333
0.005,positive_funding_carry_top_2_7d,864,-0.5059947998,-5.0396822020,-0.5469231484,0.2291666667
0.005,positive_funding_carry_top_3_7d,864,-0.5119492471,-5.3215656099,-0.5415825519,0.2260802469
0.005,positive_funding_carry_top_1_3d,864,-0.8796329054,-9.9364248783,-0.8904005973,0.5752314815
0.005,positive_funding_carry_top_2_3d,864,-0.8747185411,-10.8511228065,-0.8760512658,0.5497685185
0.005,positive_funding_carry_top_3_3d,864,-0.8651151376,-11.0877024380,-0.8648118185,0.5258487654
0.005,positive_funding_carry_top_1_1d,864,-0.9982912913,-32.6446598128,-0.9982915347,1.5821759259
0.005,positive_funding_carry_top_2_1d,864,-0.9977101902,-41.3733345091,-0.9977048568,1.4953703704
0.005,positive_funding_carry_top_3_1d,864,-0.9973460820,-48.0018322370,-0.9973384983,1.4525462963
