feature,bucket,count,mean_next_return,hit_rate
funding_rate_sum,bottom_20,1586,0.0012807186,0.500000
funding_rate_sum,middle_60,4214,-0.0003689841,0.481490
funding_rate_sum,top_20,2129,0.0023109150,0.503992
premium_close,bottom_20,1586,0.0002022269,0.514502
premium_close,middle_60,4757,0.0000736978,0.477822
premium_close,top_20,1586,0.0029791592,0.508197
taker_buy_imbalance,bottom_20,1586,-0.0028955023,0.482346
taker_buy_imbalance,middle_60,4757,0.0011162763,0.488964
taker_buy_imbalance,top_20,1586,0.0029498102,0.506936
volume_ratio_20d,bottom_20,1586,-0.0012844046,0.491803
volume_ratio_20d,middle_60,4757,0.0010090434,0.490435
volume_ratio_20d,top_20,1586,0.0016603435,0.493064
