candidate,steps,total_return,sharpe,max_drawdown,mean_daily_turnover
spot_perp_positive_funding_top_3_14d,881,0.0570457052,3.0384306874,-0.0150782099,0.1153991676
spot_perp_positive_funding_top_2_14d,881,0.0605083148,2.9223806125,-0.0163241600,0.1191827469
spot_perp_positive_funding_top_1_14d,881,0.0654582585,2.5059113109,-0.0125679168,0.1214528944
spot_perp_positive_funding_top_2_7d,881,0.0280313387,1.3181378500,-0.0282621941,0.2395005675
spot_perp_positive_funding_top_3_7d,881,0.0251690749,1.2790931161,-0.0276349298,0.2360953462
spot_perp_positive_funding_top_1_7d,881,0.0302720992,1.1467100772,-0.0292104636,0.2553916005
spot_perp_positive_funding_top_1_3d,881,-0.0626619479,-2.4833620659,-0.0954725856,0.5686719637
spot_perp_positive_funding_top_2_3d,881,-0.0683254419,-3.0977896924,-0.0959372760,0.5425652667
spot_perp_positive_funding_top_3_3d,881,-0.0690761086,-3.3066908801,-0.0962899838,0.5236473704
spot_perp_positive_funding_top_1_1d,881,-0.3150861644,-14.2915974045,-0.3235957513,1.6242905789
spot_perp_positive_funding_top_2_1d,881,-0.3003116190,-16.6590707151,-0.3046449012,1.5005675369
spot_perp_positive_funding_top_3_1d,881,-0.2933485310,-18.2124466667,-0.2964436805,1.4388951949
