paired_leg_cost_rate,capital_per_notional,candidate,steps,total_return,sharpe,max_drawdown,mean_daily_turnover
0.0004,2.0,spot_perp_positive_funding_top_3_14d,881,0.0570457052,3.0384306874,-0.0150782099,0.1153991676
0.0004,2.0,spot_perp_positive_funding_top_2_14d,881,0.0605083148,2.9223806125,-0.0163241600,0.1191827469
0.0004,2.0,spot_perp_positive_funding_top_1_14d,881,0.0654582585,2.5059113109,-0.0125679168,0.1214528944
0.0004,2.0,spot_perp_positive_funding_top_2_7d,881,0.0280313387,1.3181378500,-0.0282621941,0.2395005675
0.0004,2.0,spot_perp_positive_funding_top_3_7d,881,0.0251690749,1.2790931161,-0.0276349298,0.2360953462
0.0004,2.0,spot_perp_positive_funding_top_1_7d,881,0.0302720992,1.1467100772,-0.0292104636,0.2553916005
0.0004,2.0,spot_perp_positive_funding_top_1_3d,881,-0.0626619479,-2.4833620659,-0.0954725856,0.5686719637
0.0004,2.0,spot_perp_positive_funding_top_2_3d,881,-0.0683254419,-3.0977896924,-0.0959372760,0.5425652667
0.0004,2.0,spot_perp_positive_funding_top_3_3d,881,-0.0690761086,-3.3066908801,-0.0962899838,0.5236473704
0.0004,2.0,spot_perp_positive_funding_top_1_1d,881,-0.3150861644,-14.2915974045,-0.3235957513,1.6242905789
0.0004,2.0,spot_perp_positive_funding_top_2_1d,881,-0.3003116190,-16.6590707151,-0.3046449012,1.5005675369
0.0004,2.0,spot_perp_positive_funding_top_3_1d,881,-0.2933485310,-18.2124466667,-0.2964436805,1.4388951949
0.001,2.0,spot_perp_positive_funding_top_1_14d,881,-0.0008715880,-0.0206010433,-0.0456468577,0.1214528944
0.001,2.0,spot_perp_positive_funding_top_2_14d,881,-0.0043129949,-0.1515718267,-0.0494016055,0.1191827469
0.001,2.0,spot_perp_positive_funding_top_3_14d,881,-0.0055713001,-0.2129724042,-0.0470216021,0.1153991676
0.001,2.0,spot_perp_positive_funding_top_1_7d,881,-0.0999776038,-2.7879503977,-0.1292786362,0.2553916005
0.001,2.0,spot_perp_positive_funding_top_2_7d,881,-0.0943433156,-2.9861788934,-0.1211826309,0.2395005675
0.001,2.0,spot_perp_positive_funding_top_3_7d,881,-0.0952310536,-3.1631840181,-0.1188935372,0.2360953462
0.001,2.0,spot_perp_positive_funding_top_1_3d,881,-0.3062573905,-8.2160856124,-0.3072396391,0.5686719637
0.001,2.0,spot_perp_positive_funding_top_2_3d,881,-0.3008445569,-8.7196955635,-0.3016030423,0.5425652667
0.001,2.0,spot_perp_positive_funding_top_3_3d,881,-0.2943741753,-8.8217132908,-0.2954238212,0.5236473704
0.001,2.0,spot_perp_positive_funding_top_1_1d,881,-0.7100540502,-29.8704162198,-0.7100850357,1.6242905789
0.001,2.0,spot_perp_positive_funding_top_2_1d,881,-0.6837223369,-34.5095584851,-0.6837484715,1.5005675369
0.001,2.0,spot_perp_positive_funding_top_3_1d,881,-0.6699607353,-38.4092234115,-0.6700089124,1.4388951949
0.002,2.0,spot_perp_positive_funding_top_1_14d,881,-0.1025204316,-2.1961448900,-0.1304951898,0.1214528944
0.002,2.0,spot_perp_positive_funding_top_2_14d,881,-0.1038030742,-2.4194765951,-0.1279405315,0.1191827469
0.002,2.0,spot_perp_positive_funding_top_3_14d,881,-0.1019271489,-2.5040929803,-0.1231311489,0.1153991676
0.002,2.0,spot_perp_positive_funding_top_1_7d,881,-0.2817607600,-5.1414978449,-0.2888986426,0.2553916005
0.002,2.0,spot_perp_positive_funding_top_2_7d,881,-0.2670212781,-5.2553438131,-0.2727055927,0.2395005675
0.002,2.0,spot_perp_positive_funding_top_3_7d,881,-0.2655217274,-5.3889687011,-0.2694414995,0.2360953462
0.002,2.0,spot_perp_positive_funding_top_1_3d,881,-0.5802141848,-10.4931504401,-0.5803889803,0.5686719637
0.002,2.0,spot_perp_positive_funding_top_2_3d,881,-0.5670308218,-10.8526320735,-0.5670676360,0.5425652667
0.002,2.0,spot_perp_positive_funding_top_3_3d,881,-0.5556428883,-10.9143704913,-0.5558598114,0.5236473704
0.002,2.0,spot_perp_positive_funding_top_1_1d,881,-0.9309529308,-36.9721025164,-0.9308912082,1.6242905789
0.002,2.0,spot_perp_positive_funding_top_2_1d,881,-0.9159489882,-42.5246417367,-0.9158718122,1.5005675369
0.002,2.0,spot_perp_positive_funding_top_3_1d,881,-0.9073629898,-47.6279189444,-0.9072838097,1.4388951949
0.005,2.0,spot_perp_positive_funding_top_1_14d,881,-0.3503271643,-3.8970548535,-0.3497621675,0.1214528944
0.005,2.0,spot_perp_positive_funding_top_2_14d,881,-0.3472643039,-4.0251493830,-0.3470178787,0.1191827469
0.005,2.0,spot_perp_positive_funding_top_3_14d,881,-0.3392175124,-4.0898225902,-0.3390165463,0.1153991676
0.005,2.0,spot_perp_positive_funding_top_1_7d,881,-0.6359500969,-6.5878099632,-0.6350437242,0.2553916005
0.005,2.0,spot_perp_positive_funding_top_2_7d,881,-0.6123306247,-6.6167460901,-0.6114000505,0.2395005675
0.005,2.0,spot_perp_positive_funding_top_3_7d,881,-0.6079609324,-6.6974727259,-0.6070724828,0.2360953462
0.005,2.0,spot_perp_positive_funding_top_1_3d,881,-0.9075420555,-11.6473006659,-0.9073022123,0.5686719637
0.005,2.0,spot_perp_positive_funding_top_2_3d,881,-0.8977062589,-11.9605993294,-0.8974068947,0.5425652667
0.005,2.0,spot_perp_positive_funding_top_3_3d,881,-0.8895610087,-12.0263138258,-0.8892824856,0.5236473704
0.005,2.0,spot_perp_positive_funding_top_1_1d,881,-0.9990831824,-40.7355248988,-0.9990795991,1.6242905789
0.005,2.0,spot_perp_positive_funding_top_2_1d,881,-0.9984442421,-46.6379946053,-0.9984381237,1.5005675369
0.005,2.0,spot_perp_positive_funding_top_3_1d,881,-0.9979767470,-52.1883948182,-0.9979689192,1.4388951949
