candidate,scenario,max_paired_leg_cost_bps,scenario_paired_leg_cost_bps,headroom_bps,passes,default_cost_total_return,default_cost_sharpe,mean_daily_turnover
spot_perp_positive_funding_top_3_14d,low_slippage_maker_like,12.475663,6.000000,6.475663,True,0.0596891489,4.9676985675,0.0775633750
spot_perp_positive_funding_top_2_14d,low_slippage_maker_like,11.377382,6.000000,5.377382,True,0.0569506449,4.4818521644,0.0851305335
spot_perp_positive_funding_top_3_14d,low_slippage_taker_like,12.475663,7.500000,4.975663,True,0.0596891489,4.9676985675,0.0775633750
spot_perp_positive_funding_top_1_14d,low_slippage_maker_like,10.146755,6.000000,4.146755,True,0.0517524580,3.4066564741,0.0930760499
spot_perp_positive_funding_top_2_14d,low_slippage_taker_like,11.377382,7.500000,3.877382,True,0.0569506449,4.4818521644,0.0851305335
spot_perp_positive_funding_top_1_14d,low_slippage_taker_like,10.146755,7.500000,2.646755,True,0.0517524580,3.4066564741,0.0930760499
spot_perp_positive_funding_top_3_14d,retail_taker_with_slippage,12.475663,11.250000,1.225663,True,0.0596891489,4.9676985675,0.0775633750
spot_perp_positive_funding_top_3_7d,low_slippage_maker_like,7.097393,6.000000,1.097393,True,0.0387496004,3.0955064635,0.1392357170
spot_perp_positive_funding_top_2_7d,low_slippage_maker_like,6.439549,6.000000,0.439549,True,0.0335046220,2.4976914766,0.1532349603
spot_perp_positive_funding_top_2_14d,retail_taker_with_slippage,11.377382,11.250000,0.127382,True,0.0569506449,4.4818521644,0.0851305335
spot_perp_positive_funding_top_1_7d,low_slippage_maker_like,5.782354,6.000000,-0.217646,False,0.0267484571,1.7348478873,0.1679909194
spot_perp_positive_funding_top_3_7d,low_slippage_taker_like,7.097393,7.500000,-0.402607,False,0.0387496004,3.0955064635,0.1392357170
spot_perp_positive_funding_top_2_7d,low_slippage_taker_like,6.439549,7.500000,-1.060451,False,0.0335046220,2.4976914766,0.1532349603
spot_perp_positive_funding_top_1_14d,retail_taker_with_slippage,10.146755,11.250000,-1.103245,False,0.0517524580,3.4066564741,0.0930760499
spot_perp_positive_funding_top_1_7d,low_slippage_taker_like,5.782354,7.500000,-1.717646,False,0.0267484571,1.7348478873,0.1679909194
spot_perp_positive_funding_top_3_14d,expensive_or_thin_execution,12.475663,15.000000,-2.524337,False,0.0596891489,4.9676985675,0.0775633750
