candidate,max_paired_leg_cost_rate,max_paired_leg_cost_bps,zero_cost_total_return,zero_cost_sharpe,default_cost_rate,default_cost_total_return,default_cost_sharpe,max_drawdown_at_default_cost,mean_daily_turnover
spot_perp_positive_funding_top_1_14d,0.0009918648,9.918648,0.1120612140,4.4399760490,0.0004000000,0.0654582585,2.5059113109,-0.0125679168,0.1214528944
spot_perp_positive_funding_top_2_14d,0.0009589022,9.589022,0.1060076110,5.4192873924,0.0004000000,0.0605083148,2.9223806125,-0.0163241600,0.1191827469
spot_perp_positive_funding_top_3_14d,0.0009451312,9.451312,0.1009267119,5.7468139049,0.0004000000,0.0570457052,3.0384306874,-0.0150782099,0.1153991676
spot_perp_positive_funding_top_1_7d,0.0005324513,5.324513,0.1273172870,5.0686429622,0.0004000000,0.0302720992,1.1467100772,-0.0292104636,0.2553916005
spot_perp_positive_funding_top_2_7d,0.0005309325,5.309325,0.1185825381,6.1706655226,0.0004000000,0.0280313387,1.3181378500,-0.0282621941,0.2395005675
spot_perp_positive_funding_top_3_7d,0.0005194306,5.194306,0.1141282541,6.4761647716,0.0004000000,0.0251690749,1.2790931161,-0.0276349298,0.2360953462
spot_perp_positive_funding_top_1_3d,0.0002708906,2.708906,0.1453631016,6.2129017091,0.0004000000,-0.0626619479,-2.4833620659,-0.0954725856,0.5686719637
spot_perp_positive_funding_top_2_3d,0.0002520025,2.520025,0.1280194841,6.6885118148,0.0004000000,-0.0683254419,-3.0977896924,-0.0959372760,0.5425652667
spot_perp_positive_funding_top_3_3d,0.0002449089,2.449089,0.1196229154,6.8691436529,0.0004000000,-0.0690761086,-3.3066908801,-0.0962899838,0.5236473704
spot_perp_positive_funding_top_1_1d,0.0001356101,1.356101,0.2141502434,8.9097842625,0.0004000000,-0.3150861644,-14.2915974045,-0.3235957513,1.6242905789
spot_perp_positive_funding_top_2_1d,0.0001299369,1.299369,0.1873978163,9.6014632326,0.0004000000,-0.3003116190,-16.6590707151,-0.3046449012,1.5005675369
spot_perp_positive_funding_top_3_1d,0.0001261640,1.261640,0.1734196826,9.7453674006,0.0004000000,-0.2933485310,-18.2124466667,-0.2964436805,1.4388951949
