candidate,symbol,held_steps,mean_weight_when_held,gross_contribution,funding_contribution,basis_contribution,mean_funding_rate_sum_when_held,mean_pair_return_when_held
spot_perp_positive_funding_top_3_14d,WIFUSDT,168,0.3472222222,0.0136393356,0.0129309733,0.0007083623,0.0004591498,0.0002402430
spot_perp_positive_funding_top_3_14d,FETUSDT,168,0.3888888889,0.0105385497,0.0113897767,-0.0008512270,0.0003603601,0.0001727100
spot_perp_positive_funding_top_3_14d,INJUSDT,98,0.3333333333,0.0103537227,0.0093587600,0.0009949627,0.0005729853,0.0003169507
spot_perp_positive_funding_top_3_14d,APTUSDT,168,0.3333333333,0.0088375239,0.0094519533,-0.0006144294,0.0003375698,0.0001578129
spot_perp_positive_funding_top_3_14d,LINKUSDT,84,0.3611111111,0.0052173736,0.0048579933,0.0003593803,0.0003388706,0.0001794813
spot_perp_positive_funding_top_3_14d,AAVEUSDT,84,0.3333333333,0.0045823192,0.0043063883,0.0002759309,0.0003075992,0.0001636543
spot_perp_positive_funding_top_3_14d,ETCUSDT,126,0.3333333333,0.0045614422,0.0045638250,-0.0000023828,0.0002173250,0.0001086058
spot_perp_positive_funding_top_3_14d,RUNEUSDT,140,0.4833333333,0.0042265516,0.0045406867,-0.0003141351,0.0001232038,0.0000549984
spot_perp_positive_funding_top_3_14d,LTCUSDT,28,0.3333333333,0.0041255506,0.0042935550,-0.0001680044,0.0009200475,0.0004420233
spot_perp_positive_funding_top_3_14d,TRXUSDT,70,0.4000000000,0.0033944205,0.0029199483,0.0004744722,0.0002487260,0.0001451255
spot_perp_positive_funding_top_3_14d,ADAUSDT,112,0.3333333333,0.0032555833,0.0035512317,-0.0002956484,0.0001902446,0.0000872031
spot_perp_positive_funding_top_3_14d,OPUSDT,69,0.3647342995,0.0032467694,0.0028186200,0.0004281494,0.0002454052,0.0001383360
spot_perp_positive_funding_top_3_14d,XRPUSDT,28,0.3333333333,0.0032315780,0.0027708083,0.0004607696,0.0005937446,0.0003462405
spot_perp_positive_funding_top_3_14d,FILUSDT,126,0.4074074074,0.0030075753,0.0044118150,-0.0014042397,0.0002664985,0.0001189825
spot_perp_positive_funding_top_3_14d,BTCUSDT,70,0.3333333333,0.0029638615,0.0030440883,-0.0000802268,0.0002609219,0.0001270226
spot_perp_positive_funding_top_3_14d,DOGEUSDT,42,0.3888888889,0.0025633017,0.0023881075,0.0001751942,0.0003269426,0.0001750908
spot_perp_positive_funding_top_3_14d,ARBUSDT,69,0.3647342995,0.0020577059,0.0014866008,0.0005711050,0.0001244435,0.0000805016
spot_perp_positive_funding_top_3_14d,ETHUSDT,56,0.3333333333,0.0019182198,0.0021968483,-0.0002786285,0.0002353766,0.0001027618
spot_perp_positive_funding_top_3_14d,NEARUSDT,56,0.3333333333,0.0019081513,0.0016126000,0.0002955513,0.0001727786,0.0001022224
spot_perp_positive_funding_top_3_14d,UNIUSDT,56,0.3750000000,0.0016883149,0.0016701567,0.0000181582,0.0001663436,0.0000822013
spot_perp_positive_funding_top_3_14d,HBARUSDT,112,0.4166666667,0.0011406580,0.0007272350,0.0004134230,0.0000560085,0.0000442733
spot_perp_positive_funding_top_3_14d,SUIUSDT,56,0.3333333333,0.0010906087,0.0010831617,0.0000074470,0.0001160530,0.0000584255
spot_perp_positive_funding_top_3_14d,BNBUSDT,42,0.3333333333,0.0007358461,0.0002160383,0.0005198077,0.0000308626,0.0000525604
spot_perp_positive_funding_top_3_14d,SOLUSDT,28,0.3333333333,0.0003994756,0.0004613833,-0.0000619078,0.0000988679,0.0000428010
spot_perp_positive_funding_top_3_14d,BCHUSDT,56,0.3750000000,0.0002996717,0.0001465617,0.0001531100,0.0000282386,0.0000225939
