ticket_id,action,asset,opportunity,decision,candidate_size_usd,directional_return_bps,spread_bps,near_depth_10bps_notional,visible_depth_usage,annualized_funding,estimated_funding_1h_bps,estimated_round_trip_cost_bps,estimated_net_after_cost_bps,risk_action,reason,next_step
broad-paper-pol-paper-short,promote_to_fill_and_risk_check,POL,cost_survival_cross_section:pol_paper_short,paper_short,100,248.48709399,3.27587945,4568.89828800,0.02188711,0.01927726,0.02200600,11.27587945,237.23322054,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
broad-paper-zec-paper-long,promote_to_fill_and_risk_check,ZEC,promotion_frontier:cost_candidate:symbol_lane_paper:lane-zec-public-hypertracker-example-zec-wallet-flow-actionability,paper_long,100,222.54739233,1.89667345,120251.59130000,0.00083159,-1.33578262,1.52486600,9.89667345,214.17558488,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
broad-paper-zro-paper-short,promote_to_fill_and_risk_check,ZRO,token_unlock:ZRO,paper_short,100,204.49851077,4.59949865,1061.07216600,0.09424430,0.10950000,0.12500000,12.59949865,192.02401212,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
broad-paper-deus-paper-long,promote_to_fill_and_risk_check,DEUS,event_pressure:DEUS:single_event_context,paper_long,100,174.30305402,,,,0.00000000,-0.00000000,8.00000000,166.30305402,missing_execution_context,current public execution context lacks tradable spread/depth,refresh tradable venue context before repeating this ticket
broad-paper-wld-paper-short,promote_to_fill_and_risk_check,WLD,event_pressure:WLD:single_event_context,paper_short,100,145.67173272,0.18485143,32813.27140500,0.00304755,0.10950000,0.12500000,8.18485143,137.61188129,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
broad-paper-chip-paper-long,promote_to_fill_and_risk_check,CHIP,promotion_frontier:cost_candidate:promoted_repeat:repeat-paper-21-chip-microstructure-flow,paper_long,100,133.09909481,9.04620862,4192.71670650,0.02385088,0.08570171,-0.09783300,17.04620862,115.95505319,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
broad-paper-hype-paper-long,promote_to_fill_and_risk_check,HYPE,lane_repeat:hype_volume_price_dislocation,paper_long,100,57.47669438,0.15630495,238708.36957500,0.00041892,0.10950000,-0.12500000,8.15630495,49.19538943,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
broad-paper-inj-paper-long,promote_to_fill_and_risk_check,INJ,cost_survival_cross_section:inj_paper_long,paper_long,100,56.78343671,2.59715525,6019.27821000,0.01661329,-0.29535128,0.33715900,10.59715525,46.52344046,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
broad-paper-wld-paper-long,promote_to_fill_and_risk_check,WLD,hl_dislocation:WLD:paper_crowded_momentum_continuation_candidate,paper_long,100,54.01805535,0.18485143,32813.27140500,0.00304755,0.10950000,-0.12500000,8.18485143,45.70820392,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
broad-paper-fet-paper-long,promote_to_fill_and_risk_check,FET,market_breadth:FET:long_reversal,paper_long,100,37.43390576,7.88808204,6110.28128000,0.01636586,0.10950000,-0.12500000,15.88808204,21.42082372,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
broad-paper-near-paper-long,promote_to_fill_and_risk_check,NEAR,cost_survival_cross_section:near_paper_long,paper_long,100,17.31917415,5.51977921,25236.22680000,0.00396256,0.10950000,-0.12500000,13.51977921,3.67439494,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
broad-paper-btc-paper-short,promote_to_fill_and_risk_check,BTC,seed_wallet_flow:public_hypertracker_example_hyna_btc_wallet_flow_actionability,paper_short,100,8.97779178,0.15689843,3010901.34923500,0.00003321,0.10950000,0.12500000,8.15689843,0.94589335,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
broad-paper-sol-paper-short,promote_to_fill_and_risk_check,SOL,seed_wallet_flow:public_live_bot_example_sol_wallet_flow_actionability,paper_short,100,7.55902711,0.14717245,365054.05902500,0.00027393,0.10950000,0.12500000,8.14717245,-0.46314534,cost_adjusted_edge_failed,"paper mark win does not survive rough spread, taker-fee, and funding haircut",repeat only if the independent signal is strong enough to justify lower-cost execution
broad-paper-eigen-paper-short,promote_to_fill_and_risk_check,EIGEN,token_unlock:EIGEN,paper_short,100,5.44069641,10.82837033,326.28732600,0.30647835,0.10950000,0.12500000,18.82837033,-13.26267392,depth_too_thin_for_probe,candidate size consumes too much visible 10bps depth,reduce candidate size or skip until depth improves
broad-paper-eth-paper-long,promote_to_fill_and_risk_check,ETH,seed_wallet_flow:public_hypertracker_example_eth_wallet_flow_actionability,paper_long,100,4.74102169,0.58464147,9944892.06133500,0.00001006,0.06091441,-0.06953700,8.58464147,-3.91315678,cost_adjusted_edge_failed,"paper mark win does not survive rough spread, taker-fee, and funding haircut",repeat only if the independent signal is strong enough to justify lower-cost execution
