candidate_id,source_lane,ticket_id,asset,opportunity,decision,candidate_size_usd,directional_return_bps,estimated_net_after_cost_bps,spread_bps,near_depth_10bps_notional,visible_depth_usage,annualized_funding,estimated_funding_1h_bps,risk_action,status,priority_score,evidence,missing_work,next_step
symbol_lane_paper:lane-hype-hype-volume-price-dislocation,symbol_lane_paper,lane-hype-hype-volume-price-dislocation,HYPE,hype_volume_price_dislocation,paper_long,250,525.11971431,516.64565989,0.15417942,155412.44233000,0.00160862,0.28021050,-0.31987500,cost_adjusted_paper_probe,cost_adjusted_alpha_candidate,562.90164561,dir_bps=525.1197; net_bps=516.6457; spread_bps=0.15417942; depth_10bps=155412.44233000; usage=0.00160862; funding_1h_bps=-0.31987500; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_paper:lane-hype-hype-attention-price-context,symbol_lane_paper,lane-hype-hype-attention-price-context,HYPE,hype_attention_price_context,paper_long,100,525.11971431,516.64565989,0.15417942,155412.44233000,0.00064345,0.28021050,-0.31987500,cost_adjusted_paper_probe,cost_adjusted_alpha_candidate,562.90164561,dir_bps=525.1197; net_bps=516.6457; spread_bps=0.15417942; depth_10bps=155412.44233000; usage=0.00064345; funding_1h_bps=-0.31987500; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_paper:lane-hype-hype-microstructure-flow-paper-probe,symbol_lane_paper,lane-hype-hype-microstructure-flow-paper-probe,HYPE,hype_microstructure_flow_paper_probe,paper_long,100.00,525.11971431,516.64565989,0.15417942,155412.44233000,0.00064345,0.28021050,-0.31987500,cost_adjusted_paper_probe,cost_adjusted_alpha_candidate,562.90164561,dir_bps=525.1197; net_bps=516.6457; spread_bps=0.15417942; depth_10bps=155412.44233000; usage=0.00064345; funding_1h_bps=-0.31987500; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_paper:lane-hype-hype-microstructure-flow-probe,symbol_lane_paper,lane-hype-hype-microstructure-flow-probe,HYPE,hype_microstructure_flow_probe,paper_long,100,525.11971431,516.64565989,0.15417942,155412.44233000,0.00064345,0.28021050,-0.31987500,cost_adjusted_paper_probe,cost_adjusted_alpha_candidate,562.90164561,dir_bps=525.1197; net_bps=516.6457; spread_bps=0.15417942; depth_10bps=155412.44233000; usage=0.00064345; funding_1h_bps=-0.31987500; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
promoted_repeat:repeat-paper-22-bera-microstructure-flow,promoted_repeat,repeat-paper-22-bera-microstructure-flow,BERA,bera_microstructure_flow_paper_probe,paper_long,100.00,673.61668003,659.11065794,6.38102209,643.52543250,0.15539401,0.10950000,-0.12500000,depth_too_thin_for_probe,capacity_gated_alpha_candidate,549.25209094,dir_bps=673.6167; net_bps=659.1107; spread_bps=6.38102209; depth_10bps=643.52543250; usage=0.15539401; funding_1h_bps=-0.12500000; risk=depth_too_thin_for_probe,paper edge is positive but current size consumes too much visible depth,reduce size or wait for better depth before repeating this candidate
promoted_repeat:repeat-paper-21-chip-microstructure-flow,promoted_repeat,repeat-paper-21-chip-microstructure-flow,CHIP,chip_microstructure_flow_paper_probe,paper_long,100.00,361.20465087,346.94750309,6.13214778,3766.24974000,0.02655161,0.10950000,-0.12500000,cost_adjusted_paper_probe,first_repeat_cost_adjusted_alpha,414.35257463,dir_bps=361.2047; net_bps=346.9475; spread_bps=6.13214778; depth_10bps=3766.24974000; usage=0.02655161; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_paper:lane-zec-zec-attention-price-context,symbol_lane_paper,lane-zec-zec-attention-price-context,ZEC,zec_attention_price_context,paper_long,100,357.73613158,346.42311700,3.60238658,38747.64600000,0.00258080,-0.25348987,0.28937200,cost_adjusted_paper_probe,cost_adjusted_alpha_candidate,384.30992358,dir_bps=357.7361; net_bps=346.4231; spread_bps=3.60238658; depth_10bps=38747.64600000; usage=0.00258080; funding_1h_bps=0.28937200; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_paper:lane-zec-zec-institutional-flow-news-event,symbol_lane_paper,lane-zec-zec-institutional-flow-news-event,ZEC,zec_institutional_flow_news_event,paper_long,100,357.73613158,346.42311700,3.60238658,38747.64600000,0.00258080,-0.25348987,0.28937200,cost_adjusted_paper_probe,cost_adjusted_alpha_candidate,384.30992358,dir_bps=357.7361; net_bps=346.4231; spread_bps=3.60238658; depth_10bps=38747.64600000; usage=0.00258080; funding_1h_bps=0.28937200; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_paper:lane-zec-zec-narrative-event-news-event,symbol_lane_paper,lane-zec-zec-narrative-event-news-event,ZEC,zec_narrative_event_news_event,paper_long,100,357.73613158,346.42311700,3.60238658,38747.64600000,0.00258080,-0.25348987,0.28937200,cost_adjusted_paper_probe,cost_adjusted_alpha_candidate,384.30992358,dir_bps=357.7361; net_bps=346.4231; spread_bps=3.60238658; depth_10bps=38747.64600000; usage=0.00258080; funding_1h_bps=0.28937200; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
promoted_repeat:repeat-paper-02-sui-repeat-execution,promoted_repeat,repeat-paper-02-sui-repeat-execution,SUI,sui_okx_on_chain_flow_repeat_execution_gate,paper_long,1000,266.66666667,258.41179570,0.12987097,114777.07168950,0.00871254,0.10950000,-0.12500000,cost_adjusted_paper_probe,first_repeat_cost_adjusted_alpha,321.74512903,dir_bps=266.6667; net_bps=258.4118; spread_bps=0.12987097; depth_10bps=114777.07168950; usage=0.00871254; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
promoted_repeat:repeat-paper-26-sui-liquidation-intensity,promoted_repeat,repeat-paper-26-sui-liquidation-intensity,SUI,sui_okx_liquidation_intensity_paper_gate,paper_long,100.00,266.66666667,258.41179570,0.12987097,114777.07168950,0.00087125,0.10950000,-0.12500000,cost_adjusted_paper_probe,first_repeat_cost_adjusted_alpha,321.74512903,dir_bps=266.6667; net_bps=258.4118; spread_bps=0.12987097; depth_10bps=114777.07168950; usage=0.00087125; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_promoted_repeat:repeat-lane-sol-sol-volume-price-dislocation,symbol_lane_promoted_repeat,repeat-lane-sol-sol-volume-price-dislocation,SOL,sol_volume_price_dislocation,paper_long,250,245.14268367,236.86955637,0.14812730,342298.14351500,0.00073036,0.10950000,-0.12500000,cost_adjusted_paper_probe,repeat_supported_cost_adjusted_alpha,319.12669055,dir_bps=245.1427; net_bps=236.8696; spread_bps=0.14812730; depth_10bps=342298.14351500; usage=0.00073036; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
promoted_repeat:repeat-paper-01-sui-repeat-execution,promoted_repeat,repeat-paper-01-sui-repeat-execution,SUI,sui_hl_on_chain_flow_repeat_execution_gate,paper_long,1000,258.45989875,250.20502778,0.12987097,114777.07168950,0.00871254,0.10950000,-0.12500000,cost_adjusted_paper_probe,first_repeat_cost_adjusted_alpha,313.12802272,dir_bps=258.4599; net_bps=250.2050; spread_bps=0.12987097; depth_10bps=114777.07168950; usage=0.00871254; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
promoted_repeat:repeat-paper-19-sui-microstructure-flow,promoted_repeat,repeat-paper-19-sui-microstructure-flow,SUI,sui_microstructure_flow_paper_probe,paper_long,100.00,258.45989875,250.20502778,0.12987097,114777.07168950,0.00087125,0.10950000,-0.12500000,cost_adjusted_paper_probe,first_repeat_cost_adjusted_alpha,313.12802272,dir_bps=258.4599; net_bps=250.2050; spread_bps=0.12987097; depth_10bps=114777.07168950; usage=0.00087125; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
second_promoted_repeat:repeat-repeat-paper-02-sui-repeat-execution,second_promoted_repeat,repeat-repeat-paper-02-sui-repeat-execution,SUI,sui_okx_on_chain_flow_repeat_execution_gate,paper_long,1000,229.43153588,221.17666491,0.12987097,114777.07168950,0.00871254,0.10950000,-0.12500000,cost_adjusted_paper_probe,repeat_supported_cost_adjusted_alpha,312.64824170,dir_bps=229.4315; net_bps=221.1767; spread_bps=0.12987097; depth_10bps=114777.07168950; usage=0.00871254; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
second_promoted_repeat:repeat-repeat-paper-26-sui-liquidation-intensity,second_promoted_repeat,repeat-repeat-paper-26-sui-liquidation-intensity,SUI,sui_okx_liquidation_intensity_paper_gate,paper_long,100.00,229.43153588,221.17666491,0.12987097,114777.07168950,0.00087125,0.10950000,-0.12500000,cost_adjusted_paper_probe,repeat_supported_cost_adjusted_alpha,312.64824170,dir_bps=229.4315; net_bps=221.1767; spread_bps=0.12987097; depth_10bps=114777.07168950; usage=0.00087125; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
second_promoted_repeat:repeat-repeat-paper-01-sui-repeat-execution,second_promoted_repeat,repeat-repeat-paper-01-sui-repeat-execution,SUI,sui_hl_on_chain_flow_repeat_execution_gate,paper_long,1000,229.43153588,221.17666491,0.12987097,114777.07168950,0.00871254,0.10950000,-0.12500000,cost_adjusted_paper_probe,repeat_supported_cost_adjusted_alpha,312.64824170,dir_bps=229.4315; net_bps=221.1767; spread_bps=0.12987097; depth_10bps=114777.07168950; usage=0.00871254; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
second_promoted_repeat:repeat-repeat-paper-19-sui-microstructure-flow,second_promoted_repeat,repeat-repeat-paper-19-sui-microstructure-flow,SUI,sui_microstructure_flow_paper_probe,paper_long,100.00,229.43153588,221.17666491,0.12987097,114777.07168950,0.00087125,0.10950000,-0.12500000,cost_adjusted_paper_probe,repeat_supported_cost_adjusted_alpha,312.64824170,dir_bps=229.4315; net_bps=221.1767; spread_bps=0.12987097; depth_10bps=114777.07168950; usage=0.00087125; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
promoted_repeat:repeat-paper-09-sol-volume-dislocation,promoted_repeat,repeat-paper-09-sol-volume-dislocation,SOL,sol_volume_price_dislocation,paper_long,250,243.12142413,234.84829683,0.14812730,342298.14351500,0.00073036,0.10950000,-0.12500000,cost_adjusted_paper_probe,first_repeat_cost_adjusted_alpha,297.00436804,dir_bps=243.1214; net_bps=234.8483; spread_bps=0.14812730; depth_10bps=342298.14351500; usage=0.00073036; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
