cluster_id,asset,decision,candidate_count,source_lane_count,source_lanes,opportunity_count,top_opportunities,best_net_after_cost_bps,mean_net_after_cost_bps,best_priority_score,cluster_score,repeat_supported_count,capacity_gated_count,max_visible_depth_usage,status,evidence,missing_work,next_step
zec_paper_long,ZEC,paper_long,32,5,"paper_ticket, promoted_repeat, second_promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",15,"public_hypertracker_example_zec_wallet_flow_actionability, zec_attention_price_context, zec_institutional_flow_news_event, zec_narrative_event_news_event, zec_attention_price_context",703.21611354,415.65336623,758.86104464,1413.69479172,11,0,0.00086812,multi_lane_repeat_supported_alpha_cluster,"sources=paper_ticket, promoted_repeat, second_promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat; top_opportunities=public_hypertracker_example_zec_wallet_flow_actionability, zec_attention_price_context, zec_institutional_flow_news_event, zec_narrative_event_news_event, zec_attention_price_context; best_net_bps=703.2161; mean_net_bps=415.6534; max_usage=0.0009","cluster has repeat support but still needs independent fill, stop, and adverse-excursion evidence",run one consolidated ZEC paper_long repeat probe with explicit fill and stop notes
bera_paper_long,BERA,paper_long,2,2,"promoted_repeat, second_promoted_repeat",1,"bera_microstructure_flow_paper_probe, bera_microstructure_flow_paper_probe",743.47564683,517.91484793,830.01948804,1054.74584361,2,0,0.03166664,multi_lane_repeat_supported_alpha_cluster,"sources=promoted_repeat, second_promoted_repeat; top_opportunities=bera_microstructure_flow_paper_probe, bera_microstructure_flow_paper_probe; best_net_bps=743.4756; mean_net_bps=517.9148; max_usage=0.0317","cluster has repeat support but still needs independent fill, stop, and adverse-excursion evidence",run one consolidated BERA paper_long repeat probe with explicit fill and stop notes
chip_paper_long,CHIP,paper_long,9,4,"paper_ticket, promoted_repeat, second_promoted_repeat, symbol_lane_paper",8,"chip_microstructure_flow_paper_probe, chip_microstructure_flow_paper_probe, chip_maker_or_low_fee_small_execution_edge, chip_taker_small_execution_edge, chip_okx_exchange_catalyst_repeat_execution_gate",655.85062875,327.03259594,739.30256343,1020.31203733,2,0,0.04690314,multi_lane_repeat_supported_alpha_cluster,"sources=paper_ticket, promoted_repeat, second_promoted_repeat, symbol_lane_paper; top_opportunities=chip_microstructure_flow_paper_probe, chip_microstructure_flow_paper_probe, chip_maker_or_low_fee_small_execution_edge, chip_taker_small_execution_edge, chip_okx_exchange_catalyst_repeat_execution_gate; best_net_bps=655.8506; mean_net_bps=327.0326; max_usage=0.0469","cluster has repeat support but still needs independent fill, stop, and adverse-excursion evidence",run one consolidated CHIP paper_long repeat probe with explicit fill and stop notes
sol_paper_long,SOL,paper_long,20,4,"promoted_repeat, second_promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",7,"sol_volume_price_dislocation, sol_volume_price_dislocation, sol_volume_price_dislocation, solana_stablecoin_migration, sol_attention_price_context",259.35666157,165.63586592,315.07746554,942.32921464,13,0,0.00066506,multi_lane_repeat_supported_alpha_cluster,"sources=promoted_repeat, second_promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat; top_opportunities=sol_volume_price_dislocation, sol_volume_price_dislocation, sol_volume_price_dislocation, solana_stablecoin_migration, sol_attention_price_context; best_net_bps=259.3567; mean_net_bps=165.6359; max_usage=0.0007","cluster has repeat support but still needs independent fill, stop, and adverse-excursion evidence",run one consolidated SOL paper_long repeat probe with explicit fill and stop notes
near_paper_long,NEAR,paper_long,17,3,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",13,"near_microstructure_flow_paper_probe, near_microstructure_flow_probe, near_microstructure_flow_paper_probe, near_microstructure_flow_probe, near_near_microstructure_flow_paper_probe_from_bera_microstructure_flow_paper_long",198.03585881,73.42808792,262.02552160,763.73568958,11,0,0.00526320,multi_lane_repeat_supported_alpha_cluster,"sources=promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat; top_opportunities=near_microstructure_flow_paper_probe, near_microstructure_flow_probe, near_microstructure_flow_paper_probe, near_microstructure_flow_probe, near_near_microstructure_flow_paper_probe_from_bera_microstructure_flow_paper_long; best_net_bps=198.0359; mean_net_bps=73.4281; max_usage=0.0053","cluster has repeat support but still needs independent fill, stop, and adverse-excursion evidence",run one consolidated NEAR paper_long repeat probe with explicit fill and stop notes
eth_paper_long,ETH,paper_long,18,3,"promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat",8,"eth_volume_price_dislocation, eth_microstructure_flow_probe, eth_volume_price_dislocation, eth_microstructure_flow_probe, eth_1971905_event_crypto_hedge",118.79996271,49.65563977,184.96042739,711.17943663,12,0,0.00002459,multi_lane_repeat_supported_alpha_cluster,"sources=promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat; top_opportunities=eth_volume_price_dislocation, eth_microstructure_flow_probe, eth_volume_price_dislocation, eth_microstructure_flow_probe, eth_1971905_event_crypto_hedge; best_net_bps=118.8000; mean_net_bps=49.6556; max_usage=0.0000","cluster has repeat support but still needs independent fill, stop, and adverse-excursion evidence",run one consolidated ETH paper_long repeat probe with explicit fill and stop notes
sui_paper_long,SUI,paper_long,8,2,"promoted_repeat, second_promoted_repeat",4,"sui_okx_on_chain_flow_repeat_execution_gate, sui_okx_liquidation_intensity_paper_gate, sui_hl_on_chain_flow_repeat_execution_gate, sui_microstructure_flow_paper_probe, sui_okx_on_chain_flow_repeat_execution_gate",132.17347613,111.75412887,189.30014280,541.28742123,8,0,0.01316686,multi_lane_repeat_supported_alpha_cluster,"sources=promoted_repeat, second_promoted_repeat; top_opportunities=sui_okx_on_chain_flow_repeat_execution_gate, sui_okx_liquidation_intensity_paper_gate, sui_hl_on_chain_flow_repeat_execution_gate, sui_microstructure_flow_paper_probe, sui_okx_on_chain_flow_repeat_execution_gate; best_net_bps=132.1735; mean_net_bps=111.7541; max_usage=0.0132","cluster has repeat support but still needs independent fill, stop, and adverse-excursion evidence",run one consolidated SUI paper_long repeat probe with explicit fill and stop notes
hype_paper_long,HYPE,paper_long,4,1,symbol_lane_paper,4,"hype_volume_price_dislocation, hype_attention_price_context, hype_microstructure_flow_paper_probe, hype_microstructure_flow_probe",299.97171860,299.97171860,335.38442861,469.96182011,0,0,0.00267498,multi_candidate_cost_adjusted_alpha_cluster,"sources=symbol_lane_paper; top_opportunities=hype_volume_price_dislocation, hype_attention_price_context, hype_microstructure_flow_paper_probe, hype_microstructure_flow_probe; best_net_bps=299.9717; mean_net_bps=299.9717; max_usage=0.0027",cluster has cost-adjusted paper support but still needs repeat evidence,run one consolidated HYPE paper_long repeat probe with explicit fill and stop notes
pol_paper_short,POL,paper_short,1,1,paper_ticket,1,polygon_stablecoin_migration,281.13337854,281.13337854,295.80655289,414.53006103,0,0,0.00000000,multi_candidate_cost_adjusted_alpha_cluster,sources=paper_ticket; top_opportunities=polygon_stablecoin_migration; best_net_bps=281.1334; mean_net_bps=281.1334; max_usage=0.0000,cluster has cost-adjusted paper support but still needs repeat evidence,run one consolidated POL paper_short repeat probe with explicit fill and stop notes
pump_paper_long,PUMP,paper_long,1,1,promoted_repeat,1,pump_volume_price_dislocation,221.96565946,221.96565946,283.37897522,369.65364027,1,0,0.02395261,multi_lane_repeat_supported_alpha_cluster,sources=promoted_repeat; top_opportunities=pump_volume_price_dislocation; best_net_bps=221.9657; mean_net_bps=221.9657; max_usage=0.0240,"cluster has repeat support but still needs independent fill, stop, and adverse-excursion evidence",run one consolidated PUMP paper_long repeat probe with explicit fill and stop notes
