cluster_id,asset,decision,status,survival_score,best_net_after_cost_bps,mean_net_after_cost_bps,candidate_count,opportunity_count,source_lane_count,split_lane_count,repeat_win_count,repeat_loss_count,capacity_gated_count,max_visible_depth_usage,duplicate_pressure,evidence,missing_work,next_probe,research_reference
sui_paper_long,SUI,paper_long,duplicate_pressure_control_required,587.31912568,258.41179570,223.69785020,9,4,2,0,9,0,0,0.00871254,0.55555556,"cluster_score=741.70604327; sources=promoted_repeat, second_promoted_repeat; top_opportunities=sui_okx_on_chain_flow_repeat_execution_gate, sui_okx_liquidation_intensity_paper_gate, sui_hl_on_chain_flow_repeat_execution_gate, sui_microstructure_flow_paper_probe, sui_okx_on_chain_flow_repeat_execution_gate; repeat_supported=9; repeat_wins=9; repeat_losses=0; max_usage=0.0087; duplicate_pressure=0.5556",many rows may be reusing the same underlying price move or opportunity,dedupe SUI paper_long opportunities before any new paper ticket,https://doi.org/10.1016/j.irfa.2024.103244
zec_paper_long,ZEC,paper_long,repeat_outcome_conflicted,490.78744489,346.42311700,232.34080889,9,5,3,13,6,2,0,0.00258080,0.44444444,"cluster_score=762.74240011; sources=promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat; top_opportunities=zec_attention_price_context, zec_institutional_flow_news_event, zec_narrative_event_news_event, zec_attention_price_context, zec_institutional_flow_news_event; repeat_supported=6; repeat_wins=6; repeat_losses=2; max_usage=0.0026; duplicate_pressure=0.4444",repeat evidence is not one-sided enough for promotion,split ZEC paper_long by source and label winners and losers separately,https://doi.org/10.1016/j.irfa.2024.103244
sol_paper_long,SOL,paper_long,repeat_outcome_conflicted,477.15240651,263.21870816,169.46179607,20,7,4,11,13,4,0,0.00073036,0.65000000,"cluster_score=947.53033678; sources=promoted_repeat, second_promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat; top_opportunities=sol_volume_price_dislocation, sol_volume_price_dislocation, sol_volume_price_dislocation, solana_stablecoin_migration, sol_attention_price_context; repeat_supported=13; repeat_wins=13; repeat_losses=4; max_usage=0.0007; duplicate_pressure=0.6500",repeat evidence is not one-sided enough for promotion,split SOL paper_long by source and label winners and losers separately,https://doi.org/10.1016/j.irfa.2024.103244
btc_paper_long,BTC,paper_long,repeat_outcome_conflicted,353.05457769,88.69299051,52.98678539,10,4,3,22,6,1,0,0.00017113,0.60000000,"cluster_score=432.23836540; sources=promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat; top_opportunities=btc_1971905_event_crypto_hedge, btc_2176262_event_crypto_hedge, btc_2241674_event_crypto_hedge, btc_long_atm_straddle_20260626_volatility_actionability, btc_1971905_event_crypto_hedge; repeat_supported=6; repeat_wins=6; repeat_losses=1; max_usage=0.0002; duplicate_pressure=0.6000",repeat evidence is not one-sided enough for promotion,split BTC paper_long by source and label winners and losers separately,https://doi.org/10.1016/j.irfa.2024.103244
chip_paper_long,CHIP,paper_long,cost_surviving_watchlist,321.79675104,346.94750309,174.17591098,2,1,2,0,2,0,0,0.02655161,0.50000000,"cluster_score=537.90907193; sources=promoted_repeat, second_promoted_repeat; top_opportunities=chip_microstructure_flow_paper_probe, chip_microstructure_flow_paper_probe; repeat_supported=2; repeat_wins=2; repeat_losses=0; max_usage=0.0266; duplicate_pressure=0.5000","still needs realized fill, stop, adverse-excursion, and independent timestamp evidence","paper-check CHIP paper_long with realized fill, stop, and adverse-excursion notes",https://doi.org/10.1016/j.irfa.2024.103244
mon_paper_long,MON,paper_long,repeat_outcome_conflicted,195.92001690,197.92001690,197.92001690,1,1,1,0,1,1,0,0.02808045,0.00000000,cluster_score=337.19202281; sources=promoted_repeat; top_opportunities=mon_microstructure_flow_paper_probe; repeat_supported=1; repeat_wins=1; repeat_losses=1; max_usage=0.0281; duplicate_pressure=0.0000,repeat evidence is not one-sided enough for promotion,split MON paper_long by source and label winners and losers separately,https://doi.org/10.1016/j.irfa.2024.103244
link_paper_long,LINK,paper_long,cost_surviving_watchlist,195.68043826,129.81423426,129.81423426,1,1,1,0,1,0,0,0.05533449,0.00000000,cluster_score=245.24921625; sources=promoted_repeat; top_opportunities=link_volume_price_dislocation; repeat_supported=1; repeat_wins=1; repeat_losses=0; max_usage=0.0553; duplicate_pressure=0.0000,"still needs realized fill, stop, adverse-excursion, and independent timestamp evidence","paper-check LINK paper_long with realized fill, stop, and adverse-excursion notes",https://doi.org/10.1016/j.irfa.2024.103244
fartcoin_paper_long,FARTCOIN,paper_long,cost_surviving_watchlist,181.30025511,113.30025511,113.30025511,1,1,1,0,1,0,0,0.02933817,0.00000000,cluster_score=222.95534440; sources=promoted_repeat; top_opportunities=fartcoin_volume_price_dislocation; repeat_supported=1; repeat_wins=1; repeat_losses=0; max_usage=0.0293; duplicate_pressure=0.0000,"still needs realized fill, stop, adverse-excursion, and independent timestamp evidence","paper-check FARTCOIN paper_long with realized fill, stop, and adverse-excursion notes",https://doi.org/10.1016/j.irfa.2024.103244
eth_paper_long,ETH,paper_long,repeat_outcome_conflicted,176.32166212,177.93817836,105.26643761,17,8,3,21,12,7,0,0.00002262,0.52941176,"cluster_score=789.78143152; sources=promoted_repeat, symbol_lane_paper, symbol_lane_promoted_repeat; top_opportunities=eth_volume_price_dislocation, eth_microstructure_flow_probe, eth_volume_price_dislocation, eth_microstructure_flow_probe, eth_1971905_event_crypto_hedge; repeat_supported=12; repeat_wins=12; repeat_losses=7; max_usage=0.0000; duplicate_pressure=0.5294",repeat evidence is not one-sided enough for promotion,split ETH paper_long by source and label winners and losers separately,https://doi.org/10.1016/j.irfa.2024.103244
aave_paper_long,AAVE,paper_long,cost_surviving_watchlist,165.91345310,97.91345310,97.91345310,1,1,1,0,1,0,0,0.00000000,0.00000000,cluster_score=202.18316168; sources=promoted_repeat; top_opportunities=aave_event_pressure_cluster; repeat_supported=1; repeat_wins=1; repeat_losses=0; max_usage=0.0000; duplicate_pressure=0.0000,"still needs realized fill, stop, adverse-excursion, and independent timestamp evidence","paper-check AAVE paper_long with realized fill, stop, and adverse-excursion notes",https://doi.org/10.1016/j.irfa.2024.103244
