ticket_id,action,asset,opportunity,decision,candidate_size_usd,directional_return_bps,spread_bps,near_depth_10bps_notional,visible_depth_usage,annualized_funding,estimated_funding_1h_bps,estimated_round_trip_cost_bps,estimated_net_after_cost_bps,risk_action,reason,next_step
paper-11-zec-policy-expansion,promote_to_fill_and_risk_check,ZEC,zec_zec_institutional_flow_news_event_from_news_event_paper_long,paper_long,100,342.89586628,2.84261739,115191.02100000,0.00086812,-1.01625548,1.16010900,10.84261739,333.21335789,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
paper-12-zec-policy-expansion,promote_to_fill_and_risk_check,ZEC,zec_zec_narrative_event_news_event_from_news_event_paper_long,paper_long,100,342.89586628,2.84261739,115191.02100000,0.00086812,-1.01625548,1.16010900,10.84261739,333.21335789,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
paper-13-zec-cross-modal-source,promote_to_fill_and_risk_check,ZEC,zec_event_pressure_cross_modal_source,paper_long,100,342.89586628,2.84261739,115191.02100000,0.00086812,-1.01625548,1.16010900,10.84261739,333.21335789,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
paper-14-zec-policy-expansion,promote_to_fill_and_risk_check,ZEC,zec_zec_attention_price_context_from_news_event_paper_long,paper_long,100,342.89586628,2.84261739,115191.02100000,0.00086812,-1.01625548,1.16010900,10.84261739,333.21335789,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
paper-17-zec-cross-modal-source,promote_to_fill_and_risk_check,ZEC,zec_wallet_flow_cross_modal_source,paper_long,100,342.89586628,2.84261739,115191.02100000,0.00086812,-1.01625548,1.16010900,10.84261739,333.21335789,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
paper-29-zec-wallet-entity-flow,promote_to_fill_and_risk_check,ZEC,public_hypertracker_example_zec_wallet_flow_actionability,paper_long,,342.89586628,2.84261739,115191.02100000,,-1.01625548,1.16010900,10.84261739,333.21335789,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
paper-52-zec-attention-event,promote_to_fill_and_risk_check,ZEC,zec_attention_price_context,paper_long,,342.89586628,2.84261739,115191.02100000,,-1.01625548,1.16010900,10.84261739,333.21335789,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
paper-33-zec-sector-rotation,promote_to_fill_and_risk_check,ZEC,zec_privacy_sector_rotation_context,paper_long,,342.89586628,2.84261739,115191.02100000,,-1.01625548,1.16010900,10.84261739,333.21335789,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
paper-34-zec-sector-rotation,promote_to_fill_and_risk_check,ZEC,zec_quantum_resistant_sector_rotation_context,paper_long,,342.89586628,2.84261739,115191.02100000,,-1.01625548,1.16010900,10.84261739,333.21335789,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
paper-35-zec-sector-rotation,promote_to_fill_and_risk_check,ZEC,zec_zero_knowledge_zk_sector_rotation_context,paper_long,,342.89586628,2.84261739,115191.02100000,,-1.01625548,1.16010900,10.84261739,333.21335789,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
