candidate_id,checked_at,checkpoint,instrument,decision,entry,current,dir_bps,btc_eth_basket_bps,relative_bps,current_spread_bps,current_depth10_notional,early_path_read,next_rule
zec-carry-relative-long-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,ZEC,paper_long,439.2900,424.3100,-341.0048,-30.6640,-310.3408,0.23579067,129203.58825000,early_adverse_move,"do not promote; keep only if 1h/4h recovers under the precommitted rule"
morpho-carry-strength-long-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,MORPHO,paper_long,1.9001,1.8893,-56.8391,-30.6640,-26.1751,,,neutral_path_check,"wait for 1h primary; no winner selection from 15m"
move-carry-watch-long-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,MOVE,paper_long,0.013903,0.013865,-27.3322,-30.6640,3.3317,,,neutral_path_check,"wait for 1h primary; no winner selection from 15m"
inj-carry-relative-long-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,INJ,paper_long,5.5681,5.5074,-109.0138,-30.6640,-78.3499,6.36543026,1680.32632000,early_adverse_move,"do not promote; spread/depth now also warns against small execution"
sol-clean-beta-long-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,SOL,paper_long,65.1350,64.8790,-39.3030,-30.6640,-8.6390,0.15415327,945833.29726500,neutral_path_check,"wait for 1h primary; no winner selection from 15m"
apt-carry-watch-long-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,APT,paper_long,0.6661,0.6631,-45.0383,-30.6640,-14.3743,4.52522815,14691.21729150,neutral_path_check,"wait for 1h primary; no winner selection from 15m"
sei-carry-thin-watch-long-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,SEI,paper_long,0.048234,0.048080,-31.9277,-30.6640,-1.2637,2.70419254,15408.61436700,neutral_path_check,"wait for 1h primary; volume warning remains"
op-carry-depth-risk-long-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,OP,paper_long,0.09668,0.09589,-81.7129,-30.6640,-51.0489,7.30269678,304.18625700,early_adverse_move,"do not promote; depth/cost warning is severe"
hype-relative-weakness-short-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,HYPE,paper_short,57.8170,57.4860,57.2496,-30.6640,26.5856,0.17394783,111489.74759000,neutral_path_check,"wait for 1h primary; no winner selection from 15m"
zro-relative-weakness-short-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,ZRO,paper_short,0.8465,0.84877,-26.8163,-30.6640,-57.4803,8.36706675,2904.38342550,early_adverse_move,"do not promote; spread/depth now also warns against small execution"
fet-relative-weakness-short-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,FET,paper_short,0.20135,0.19976,78.9670,-30.6640,48.3030,7.01192026,12787.62402000,cost_depth_warning_not_promotion,"wait for 1h primary; current spread blocks promotion"
near-crowded-short-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,NEAR,paper_short,2.1775,2.1505,123.9954,-30.6640,93.3314,0.46491085,2148.15376500,early_favorable_not_promotion,"do not promote from 15m; near-depth is thin"
sui-crowded-short-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,SUI,paper_short,0.75086,0.74718,49.0105,-30.6640,18.3465,1.47231052,71747.16087500,neutral_path_check,"wait for 1h primary; no winner selection from 15m"
wld-crowded-short-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,WLD,paper_short,0.51599,0.50830,149.0339,-30.6640,118.3699,2.16563143,86991.43698150,early_favorable_not_promotion,"do not promote from 15m; wait for 1h primary"
xmr-crowded-short-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,XMR,paper_short,307.8500,309.5400,-54.8969,-30.6640,-85.5608,2.58556608,8262.17523000,early_adverse_move,"do not promote; wait for 1h only if still within precommitted rule"
lit-momentum-fade-short-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,LIT,paper_short,1.6457,1.6205,153.1263,-30.6640,122.4624,,,early_favorable_not_promotion,"do not promote from 15m; missing depth context needs refresh before action"
rune-momentum-fade-short-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,RUNE,paper_short,0.39005,0.38861,36.9183,-30.6640,6.2544,,,neutral_path_check,"wait for 1h primary; no winner selection from 15m"
vvv-downside-carry-long-20260609T2245Z,2026-06-09T23:05:55Z,15m_path,VVV,paper_long,15.3930,15.2420,-98.0965,-30.6640,-67.4326,,,early_adverse_move,"do not promote; missing depth context needs refresh before action"
