ticket_id,action,asset,opportunity,decision,candidate_size_usd,directional_return_bps,spread_bps,near_depth_10bps_notional,visible_depth_usage,annualized_funding,estimated_funding_1h_bps,estimated_round_trip_cost_bps,estimated_net_after_cost_bps,risk_action,reason,next_step
repeat-paper-22-bera-microstructure-flow,promote_to_fill_and_risk_check,BERA,bera_microstructure_flow_paper_probe,paper_long,100.00,754.21010425,2.60945742,3157.89786000,0.03166664,0.10950000,-0.12500000,10.60945742,743.47564683,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-21-chip-microstructure-flow,promote_to_fill_and_risk_check,CHIP,chip_microstructure_flow_paper_probe,paper_long,100.00,669.03869369,5.06306494,5722.64435400,0.01747444,0.10950000,-0.12500000,13.06306494,655.85062875,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-46-zec-sector-rotation,promote_to_fill_and_risk_check,ZEC,zec_privacy_sector_rotation_context,paper_long,,535.90740698,2.84261739,115191.02100000,,-1.01625548,1.16010900,10.84261739,526.22489859,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-44-zec-attention-event,promote_to_fill_and_risk_check,ZEC,zec_attention_price_context,paper_long,,535.90740698,2.84261739,115191.02100000,,-1.01625548,1.16010900,10.84261739,526.22489859,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-23-zec-wallet-entity-flow,promote_to_fill_and_risk_check,ZEC,public_hypertracker_example_zec_wallet_flow_actionability,paper_long,,535.90740698,2.84261739,115191.02100000,,-1.01625548,1.16010900,10.84261739,526.22489859,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-19-zec-wallet-entity-flow,promote_to_fill_and_risk_check,ZEC,public_hypertracker_example_zec_wallet_flow_actionability,paper_long,,342.89586628,2.84261739,115191.02100000,,-1.01625548,1.16010900,10.84261739,333.21335789,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-51-zec-attention-event,promote_to_fill_and_risk_check,ZEC,zec_attention_price_context,paper_long,,342.89586628,2.84261739,115191.02100000,,-1.01625548,1.16010900,10.84261739,333.21335789,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-09-sol-volume-dislocation,promote_to_fill_and_risk_check,SOL,sol_volume_price_dislocation,paper_long,250,239.17563322,0.14821732,375906.14523000,0.00066506,0.02648761,-0.03023700,8.14821732,230.99717890,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-11-pump-volume-dislocation,promote_to_fill_and_risk_check,PUMP,pump_volume_price_dislocation,paper_long,250,236.17153511,6.08087565,10437.27642100,0.02395261,0.10950000,-0.12500000,14.08087565,221.96565946,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-02-sui-repeat-execution,promote_to_fill_and_risk_check,SUI,sui_okx_on_chain_flow_repeat_execution_gate,paper_long,1000,142.53333333,2.23485720,75948.22616000,0.01316686,0.10950000,-0.12500000,10.23485720,132.17347613,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-26-sui-liquidation-intensity,promote_to_fill_and_risk_check,SUI,sui_okx_liquidation_intensity_paper_gate,paper_long,100.00,142.53333333,2.23485720,75948.22616000,0.00131669,0.10950000,-0.12500000,10.23485720,132.17347613,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-01-sui-repeat-execution,promote_to_fill_and_risk_check,SUI,sui_hl_on_chain_flow_repeat_execution_gate,paper_long,1000,134.42579270,2.23485720,75948.22616000,0.01316686,0.10950000,-0.12500000,10.23485720,124.06593550,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-19-sui-microstructure-flow,promote_to_fill_and_risk_check,SUI,sui_microstructure_flow_paper_probe,paper_long,100.00,134.42579270,2.23485720,75948.22616000,0.00131669,0.10950000,-0.12500000,10.23485720,124.06593550,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-10-xpl-volume-dislocation,promote_to_fill_and_risk_check,XPL,xpl_volume_price_dislocation,paper_long,250,132.71035929,4.17280997,9161.95567800,0.02728675,0.10950000,-0.12500000,12.17280997,120.41254932,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-13-sol-volume-dislocation,promote_to_fill_and_risk_check,SOL,sol_volume_price_dislocation,paper_long,250,112.26019185,0.14821732,375906.14523000,0.00066506,0.02648761,-0.03023700,8.14821732,104.08173753,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-20-sol-event-crypto-hedge,promote_to_fill_and_risk_check,SOL,sol_1971905_event_crypto_hedge,paper_long,,112.26019185,0.14821732,375906.14523000,,0.02648761,-0.03023700,8.14821732,104.08173753,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-36-sol-stablecoin-migration,promote_to_fill_and_risk_check,SOL,solana_stablecoin_migration,paper_long,,112.26019185,0.14821732,375906.14523000,,0.02648761,-0.03023700,8.14821732,104.08173753,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-12-sol-event-crypto-hedge,promote_to_fill_and_risk_check,SOL,sol_1971905_event_crypto_hedge,paper_long,,112.26019185,0.14821732,375906.14523000,,0.02648761,-0.03023700,8.14821732,104.08173753,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-20-link-volume-dislocation,promote_to_fill_and_risk_check,LINK,link_volume_price_dislocation,paper_long,250,108.66704268,1.36448494,66656.94686000,0.00375055,0.10950000,-0.12500000,9.36448494,99.17755774,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-paper-24-apt-wallet-entity-flow,promote_to_fill_and_risk_check,APT,public_hypertracker_example_apt_wallet_flow_actionability,paper_long,,106.69828097,4.39850451,28296.41978550,,-0.03017119,0.03444200,12.39850451,94.33421846,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
