ticket_id,action,asset,opportunity,decision,candidate_size_usd,directional_return_bps,spread_bps,near_depth_10bps_notional,visible_depth_usage,annualized_funding,estimated_funding_1h_bps,estimated_round_trip_cost_bps,estimated_net_after_cost_bps,risk_action,reason,next_step
repeat-repeat-paper-46-zec-sector-rotation,promote_to_fill_and_risk_check,ZEC,zec_privacy_sector_rotation_context,paper_long,,342.89586628,2.84261739,115191.02100000,,-1.01625548,1.16010900,10.84261739,333.21335789,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-repeat-paper-44-zec-attention-event,promote_to_fill_and_risk_check,ZEC,zec_attention_price_context,paper_long,,342.89586628,2.84261739,115191.02100000,,-1.01625548,1.16010900,10.84261739,333.21335789,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-repeat-paper-23-zec-wallet-entity-flow,promote_to_fill_and_risk_check,ZEC,public_hypertracker_example_zec_wallet_flow_actionability,paper_long,,342.89586628,2.84261739,115191.02100000,,-1.01625548,1.16010900,10.84261739,333.21335789,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-repeat-paper-21-chip-microstructure-flow,promote_to_fill_and_risk_check,CHIP,chip_microstructure_flow_paper_probe,paper_long,100.00,313.22933301,5.06306494,5722.64435400,0.01747444,0.10950000,-0.12500000,13.06306494,300.04126807,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-repeat-paper-22-bera-microstructure-flow,promote_to_fill_and_risk_check,BERA,bera_microstructure_flow_paper_probe,paper_long,100.00,303.08850645,2.60945742,3157.89786000,0.03166664,0.10950000,-0.12500000,10.60945742,292.35404903,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-repeat-paper-09-sol-volume-dislocation,promote_to_fill_and_risk_check,SOL,sol_volume_price_dislocation,paper_long,250,189.38307030,0.14821732,375906.14523000,0.00066506,0.02648761,-0.03023700,8.14821732,181.20461598,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-repeat-paper-02-sui-repeat-execution,promote_to_fill_and_risk_check,SUI,sui_okx_on_chain_flow_repeat_execution_gate,paper_long,1000,105.74840912,2.23485720,75948.22616000,0.01316686,0.10950000,-0.12500000,10.23485720,95.38855192,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-repeat-paper-26-sui-liquidation-intensity,promote_to_fill_and_risk_check,SUI,sui_okx_liquidation_intensity_paper_gate,paper_long,100.00,105.74840912,2.23485720,75948.22616000,0.00131669,0.10950000,-0.12500000,10.23485720,95.38855192,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-repeat-paper-01-sui-repeat-execution,promote_to_fill_and_risk_check,SUI,sui_hl_on_chain_flow_repeat_execution_gate,paper_long,1000,105.74840912,2.23485720,75948.22616000,0.01316686,0.10950000,-0.12500000,10.23485720,95.38855192,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-repeat-paper-19-sui-microstructure-flow,promote_to_fill_and_risk_check,SUI,sui_microstructure_flow_paper_probe,paper_long,100.00,105.74840912,2.23485720,75948.22616000,0.00131669,0.10950000,-0.12500000,10.23485720,95.38855192,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-repeat-paper-24-apt-wallet-entity-flow,promote_to_fill_and_risk_check,APT,public_hypertracker_example_apt_wallet_flow_actionability,paper_long,,29.41176471,4.39850451,28296.41978550,,-0.03017119,0.03444200,12.39850451,17.04770220,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
