ticket_id,opened_at,checked_at,elapsed_minutes,checkpoint_status,opportunity,decision,asset,venue,entry_mark,current_mark,current_source,raw_return_bps,directional_return_bps,outcome,missing_evidence,next_step
repeat-repeat-paper-22-bera-microstructure-flow,2026-06-08T14:51:25+00:00,2026-06-08T19:56:02+00:00,304.62,ready,bera_microstructure_flow_paper_probe,paper_long,BERA,,0.260320000000,0.268210000000,hl_execution_context,303.08850645,303.08850645,paper_mark_win,"fill, funding, stop, and adverse excursion still missing","record fill, funding, stop, and adverse-excursion assumptions before promotion"
repeat-repeat-paper-21-chip-microstructure-flow,2026-06-08T14:51:25+00:00,2026-06-08T19:56:02+00:00,304.62,ready,chip_microstructure_flow_paper_probe,paper_long,CHIP,,0.032564000000,0.033584000000,hl_execution_context,313.22933301,313.22933301,paper_mark_win,"fill, funding, stop, and adverse excursion still missing","record fill, funding, stop, and adverse-excursion assumptions before promotion"
repeat-repeat-paper-46-zec-sector-rotation,2026-06-08T15:16:02+00:00,2026-06-08T19:56:02+00:00,280.00,ready,zec_privacy_sector_rotation_context,paper_long,ZEC,,442.700000000000,457.880000000000,hyperliquid_snapshot,342.89586628,342.89586628,paper_mark_win,"fill, funding, stop, and adverse excursion still missing","record fill, funding, stop, and adverse-excursion assumptions before promotion"
repeat-repeat-paper-44-zec-attention-event,2026-06-08T15:16:02+00:00,2026-06-08T19:56:02+00:00,280.00,ready,zec_attention_price_context,paper_long,ZEC,,442.700000000000,457.880000000000,hyperliquid_snapshot,342.89586628,342.89586628,paper_mark_win,"fill, funding, stop, and adverse excursion still missing","record fill, funding, stop, and adverse-excursion assumptions before promotion"
repeat-repeat-paper-23-zec-wallet-entity-flow,2026-06-08T15:16:02+00:00,2026-06-08T19:56:02+00:00,280.00,ready,public_hypertracker_example_zec_wallet_flow_actionability,paper_long,ZEC,,442.700000000000,457.880000000000,hyperliquid_snapshot,342.89586628,342.89586628,paper_mark_win,"fill, funding, stop, and adverse excursion still missing","record fill, funding, stop, and adverse-excursion assumptions before promotion"
repeat-repeat-paper-19-zec-wallet-entity-flow,2026-06-08T19:56:02+00:00,2026-06-08T19:56:02+00:00,0.00,pending,public_hypertracker_example_zec_wallet_flow_actionability,paper_long,ZEC,,457.880000000000,457.880000000000,hyperliquid_snapshot,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
repeat-repeat-paper-51-zec-attention-event,2026-06-08T19:56:02+00:00,2026-06-08T19:56:02+00:00,0.00,pending,zec_attention_price_context,paper_long,ZEC,,457.880000000000,457.880000000000,hyperliquid_snapshot,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
repeat-repeat-paper-09-sol-volume-dislocation,2026-06-08T09:49:38+00:00,2026-06-08T19:56:02+00:00,606.40,ready,sol_volume_price_dislocation,paper_long,SOL,,66.215000000000,67.469000000000,hl_execution_context,189.38307030,189.38307030,paper_mark_win,"fill, funding, stop, and adverse excursion still missing","record fill, funding, stop, and adverse-excursion assumptions before promotion"
repeat-repeat-paper-11-pump-volume-dislocation,2026-06-08T19:56:02+00:00,2026-06-08T19:56:02+00:00,0.00,pending,pump_volume_price_dislocation,paper_long,PUMP,,0.001647000000,0.001647000000,hyperliquid_snapshot,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
repeat-repeat-paper-02-sui-repeat-execution,2026-06-08T09:49:38+00:00,2026-06-08T19:56:02+00:00,606.40,ready,sui_okx_on_chain_flow_repeat_execution_gate,paper_long,SUI,,0.752730000000,0.760690000000,hl_execution_context,105.74840912,105.74840912,paper_mark_win,"fill, funding, stop, and adverse excursion still missing","record fill, funding, stop, and adverse-excursion assumptions before promotion"
