ticket_id,opened_at,rank,opportunity,probe_type,status,side,asset,venue,candidate_size_usd,observation_horizon,checkpoints,entry_mark,entry_source,decision,required_record,next_step
split-label-sol-sol-1971905-event-crypto-hedge,2026-06-08T19:05:55+00:00,1,sol_1971905_event_crypto_hedge,split_first_lane_label,event_crypto_hedge_after_refresh_candidate,long,SOL,,label_only,"15m,1h,4h","15m,1h,4h",67.495000000000,hl_execution_context,paper_long,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label SOL/sol_1971905_event_crypto_hedge alone before any repeat
split-label-hype-hype-maker-or-low-fee-small-execution-edge,2026-06-08T19:05:55+00:00,2,hype_maker_or_low_fee_small_execution_edge,split_first_lane_label,execution_low_fee_comparison_candidate,long,HYPE,,label_only,"15m,1h,4h","15m,1h,4h",64.840000000000,hl_execution_context,paper_long,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label HYPE/hype_maker_or_low_fee_small_execution_edge alone before any repeat
split-label-hype-hype-taker-small-execution-edge,2026-06-08T19:05:55+00:00,3,hype_taker_small_execution_edge,split_first_lane_label,execution_taker_repeat_candidate,long,HYPE,,label_only,"15m,1h,4h","15m,1h,4h",64.840000000000,hl_execution_context,paper_long,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label HYPE/hype_taker_small_execution_edge alone before any repeat
split-label-hype-hype-event-pressure-cluster,2026-06-08T19:05:55+00:00,4,hype_event_pressure_cluster,split_first_lane_label,two_source_event_pressure,long,HYPE,,label_only,"15m,1h,4h","15m,1h,4h",64.840000000000,hl_execution_context,paper_long,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label HYPE/hype_event_pressure_cluster alone before any repeat
split-label-hype-hype-attention-price-context,2026-06-08T19:05:55+00:00,5,hype_attention_price_context,split_first_lane_label,attention_price_lag_candidate,long,HYPE,,label_only,"15m,1h,4h","15m,1h,4h",64.840000000000,hl_execution_context,paper_long,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label HYPE/hype_attention_price_context alone before any repeat
split-label-sol-solana-stablecoin-migration,2026-06-08T19:05:55+00:00,6,solana_stablecoin_migration,split_first_lane_label,paper_chain_stablecoin_inflow_watch,long,SOL,,label_only,"15m,1h,4h","15m,1h,4h",67.495000000000,hl_execution_context,paper_long,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label SOL/solana_stablecoin_migration alone before any repeat
split-label-zec-public-hypertracker-example-zec-wallet-flow-actionability,2026-06-08T19:05:55+00:00,7,public_hypertracker_example_zec_wallet_flow_actionability,split_first_lane_label,wallet_position_follow_candidate,long,ZEC,,label_only,"15m,1h,4h","15m,1h,4h",442.700000000000,hyperliquid_snapshot,paper_long,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label ZEC/public_hypertracker_example_zec_wallet_flow_actionability alone before any repeat
split-label-sol-sol-attention-price-context,2026-06-08T19:05:55+00:00,8,sol_attention_price_context,split_first_lane_label,attention_price_lag_candidate,long,SOL,,label_only,"15m,1h,4h","15m,1h,4h",67.495000000000,hl_execution_context,paper_long,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label SOL/sol_attention_price_context alone before any repeat
split-label-zec-zec-privacy-sector-rotation-context,2026-06-08T19:05:55+00:00,9,zec_privacy_sector_rotation_context,split_first_lane_label,sector_perp_repeat_candidate,long,ZEC,,label_only,"15m,1h,4h","15m,1h,4h",442.700000000000,hyperliquid_snapshot,paper_long,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label ZEC/zec_privacy_sector_rotation_context alone before any repeat
split-label-zec-zec-quantum-resistant-sector-rotation-context,2026-06-08T19:05:55+00:00,10,zec_quantum_resistant_sector_rotation_context,split_first_lane_label,sector_perp_repeat_candidate,long,ZEC,,label_only,"15m,1h,4h","15m,1h,4h",442.700000000000,hyperliquid_snapshot,paper_long,"lane-only forward label, source timestamp, duplicate-source check, cost and depth context",label ZEC/zec_quantum_resistant_sector_rotation_context alone before any repeat
