ticket_id,action,asset,opportunity,decision,candidate_size_usd,directional_return_bps,spread_bps,near_depth_10bps_notional,visible_depth_usage,annualized_funding,estimated_funding_1h_bps,estimated_round_trip_cost_bps,estimated_net_after_cost_bps,risk_action,reason,next_step
lane-sol-sol-volume-price-dislocation,promote_to_fill_and_risk_check,SOL,sol_volume_price_dislocation,paper_long,250,76.69948715,0.15102888,691488.91950000,0.00036154,-0.11745758,0.13408400,8.15102888,68.68254227,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
lane-sol-solana-bountywork-sol-dex-pool,promote_to_fill_and_risk_check,SOL,solana_bountywork_sol_dex_pool,paper_observe,100,76.69948715,0.15102888,691488.91950000,0.00014462,-0.11745758,0.13408400,8.15102888,68.68254227,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
lane-sol-solana-boutywork-sol-dex-pool,promote_to_fill_and_risk_check,SOL,solana_boutywork_sol_dex_pool,paper_observe,100,76.69948715,0.15102888,691488.91950000,0.00014462,-0.11745758,0.13408400,8.15102888,68.68254227,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
lane-sol-solana-$tupid-sol-dex-pool,promote_to_fill_and_risk_check,SOL,solana_$tupid_sol_dex_pool,paper_observe,100,76.69948715,0.15102888,691488.91950000,0.00014462,-0.11745758,0.13408400,8.15102888,68.68254227,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
lane-near-near-microstructure-flow-paper-probe,promote_to_fill_and_risk_check,NEAR,near_microstructure_flow_paper_probe,paper_long,100.00,37.68668869,2.31669176,12910.43567500,0.00774567,0.10950000,-0.12500000,10.31669176,27.24499693,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
lane-near-near-microstructure-flow-probe,promote_to_fill_and_risk_check,NEAR,near_microstructure_flow_probe,paper_long,100,37.68668869,2.31669176,12910.43567500,0.00774567,0.10950000,-0.12500000,10.31669176,27.24499693,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
lane-near-near-mean-funding-rate-binance-derivatives-symbol-feature,promote_to_fill_and_risk_check,NEAR,near_mean_funding_rate_binance_derivatives_symbol_feature,paper_observe,100,37.68668869,2.31669176,12910.43567500,0.00774567,0.10950000,-0.12500000,10.31669176,27.24499693,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
lane-near-near-sum-funding-rate-binance-derivatives-symbol-feature,promote_to_fill_and_risk_check,NEAR,near_sum_funding_rate_binance_derivatives_symbol_feature,paper_observe,100,37.68668869,2.31669176,12910.43567500,0.00774567,0.10950000,-0.12500000,10.31669176,27.24499693,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
lane-hype-hype-protocol-fee-growth,promote_to_fill_and_risk_check,HYPE,hype_protocol_fee_growth,paper_short,100,15.25850174,0.65079804,92882.88560000,0.00107662,0.10950000,0.12500000,8.65079804,6.73270370,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
lane-hype-hype-unlock-actionability,promote_to_fill_and_risk_check,HYPE,hype_unlock_actionability,paper_short,100,15.25850174,0.65079804,92882.88560000,0.00107662,0.10950000,0.12500000,8.65079804,6.73270370,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
lane-eth-eth-volume-price-dislocation,promote_to_fill_and_risk_check,ETH,eth_volume_price_dislocation,paper_long,250,1.20033609,0.60022208,11765011.33458000,0.00002125,0.03407728,-0.03890100,8.60022208,-7.43878699,cost_adjusted_edge_failed,"paper mark win does not survive rough spread, taker-fee, and funding haircut",repeat only if the independent signal is strong enough to justify lower-cost execution
lane-eth-eth-microstructure-flow-probe,promote_to_fill_and_risk_check,ETH,eth_microstructure_flow_probe,paper_long,100,1.20033609,0.60022208,11765011.33458000,0.00000850,0.03407728,-0.03890100,8.60022208,-7.43878699,cost_adjusted_edge_failed,"paper mark win does not survive rough spread, taker-fee, and funding haircut",repeat only if the independent signal is strong enough to justify lower-cost execution
