ticket_id,opened_at,checked_at,elapsed_minutes,checkpoint_status,opportunity,decision,asset,venue,entry_mark,current_mark,current_source,raw_return_bps,directional_return_bps,outcome,missing_evidence,next_step
lane-btc-btc-1971905-event-crypto-hedge,2026-06-08T11:10:42+00:00,2026-06-08T11:15:23+00:00,4.70,pending,btc_1971905_event_crypto_hedge,paper_long,BTC,,63419.000000000000,63419.000000000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-btc-btc-2176262-event-crypto-hedge,2026-06-08T11:10:42+00:00,2026-06-08T11:15:23+00:00,4.70,pending,btc_2176262_event_crypto_hedge,paper_long,BTC,,63419.000000000000,63419.000000000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-btc-btc-event-pressure-cluster,2026-06-08T10:44:03+00:00,2026-06-08T11:15:23+00:00,31.35,pending,btc_event_pressure_cluster,paper_observe,BTC,,63419.000000000000,63419.000000000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-btc-btc-20260612-short-dated-delta-hedge-check,2026-06-08T11:10:42+00:00,2026-06-08T11:15:23+00:00,4.70,pending,btc_20260612_short_dated_delta_hedge_check,paper_short,BTC,,63419.000000000000,63419.000000000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-btc-btc-2466411-event-crypto-hedge,2026-06-08T11:15:23+00:00,2026-06-08T11:15:23+00:00,0.01,pending,btc_2466411_event_crypto_hedge,paper_short,BTC,,63419.000000000000,63419.000000000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-btc-mstr-btc-relative-value,2026-06-08T10:44:03+00:00,2026-06-08T11:15:23+00:00,31.35,ready,mstr_btc_relative_value,paper_observe,BTC,,63419.000000000000,63419.000000000000,hl_execution_context,0.00000000,,observe_mark_flat,observation-only ticket; directional promotion is not allowed,record the context move only; do not promote without a directional ticket
lane-btc-btc-risk-off-short-stack,2026-06-08T10:44:03+00:00,2026-06-08T11:15:23+00:00,31.35,pending,btc_risk_off_short_stack,paper_short,BTC,,63419.000000000000,63419.000000000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-btc-btc-26mar27-basis,2026-06-08T10:44:03+00:00,2026-06-08T11:15:23+00:00,31.35,ready,btc-26mar27_basis,paper_observe,BTC,,63419.000000000000,63419.000000000000,hl_execution_context,0.00000000,,observe_mark_flat,observation-only ticket; directional promotion is not allowed,record the context move only; do not promote without a directional ticket
lane-eth-eth-1971905-event-crypto-hedge,2026-06-08T11:10:42+00:00,2026-06-08T11:15:23+00:00,4.70,pending,eth_1971905_event_crypto_hedge,paper_long,ETH,,1668.900000000000,1668.900000000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-eth-eth-2176262-event-crypto-hedge,2026-06-08T11:10:42+00:00,2026-06-08T11:15:23+00:00,4.70,pending,eth_2176262_event_crypto_hedge,paper_long,ETH,,1668.900000000000,1668.900000000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-eth-eth-volume-price-dislocation,2026-06-08T08:35:20+00:00,2026-06-08T11:15:23+00:00,160.06,ready,eth_volume_price_dislocation,paper_long,ETH,,1666.200000000000,1668.900000000000,hl_execution_context,16.20453727,16.20453727,paper_mark_win,"fill, funding, stop, and adverse excursion still missing","record fill, funding, stop, and adverse-excursion assumptions before promotion"
lane-eth-eth-microstructure-flow-probe,2026-06-08T08:35:20+00:00,2026-06-08T11:15:23+00:00,160.06,ready,eth_microstructure_flow_probe,paper_long,ETH,,1666.200000000000,1668.900000000000,hl_execution_context,16.20453727,16.20453727,paper_mark_win,"fill, funding, stop, and adverse excursion still missing","record fill, funding, stop, and adverse-excursion assumptions before promotion"
lane-eth-eth-20260619-short-dated-delta-hedge-check,2026-06-08T11:10:42+00:00,2026-06-08T11:15:23+00:00,4.70,pending,eth_20260619_short_dated_delta_hedge_check,paper_short,ETH,,1668.900000000000,1668.900000000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-eth-eth-20260626-medium-dated-delta-hedge-check,2026-06-08T11:10:42+00:00,2026-06-08T11:15:23+00:00,4.70,pending,eth_20260626_medium_dated_delta_hedge_check,paper_observe,ETH,,1668.900000000000,1668.900000000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-eth-eth-2466411-event-crypto-hedge,2026-06-08T11:15:23+00:00,2026-06-08T11:15:23+00:00,0.01,pending,eth_2466411_event_crypto_hedge,paper_short,ETH,,1668.900000000000,1668.900000000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-eth-eth-26mar27-basis,2026-06-08T08:35:20+00:00,2026-06-08T11:15:23+00:00,160.06,ready,eth-26mar27_basis,paper_observe,ETH,,1666.200000000000,1668.900000000000,hl_execution_context,16.20453727,,observe_mark_moved,observation-only ticket; directional promotion is not allowed,record the context move only; do not promote without a directional ticket
lane-zec-zec-event-pressure-cluster,2026-06-08T10:44:03+00:00,2026-06-08T11:15:23+00:00,31.35,pending,zec_event_pressure_cluster,paper_observe,ZEC,,427.410000000000,427.410000000000,hyperliquid_snapshot,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-zec-zec-crowded-momentum-reversal-actionability,2026-06-08T10:44:03+00:00,2026-06-08T11:15:23+00:00,31.35,pending,zec_crowded_momentum_reversal_actionability,paper_short,ZEC,,427.410000000000,427.410000000000,hyperliquid_snapshot,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-zec-zec-oi-unwind-watch,2026-06-08T10:44:03+00:00,2026-06-08T11:15:23+00:00,31.35,pending,zec_oi_unwind_watch,paper_observe,ZEC,,427.410000000000,427.410000000000,hyperliquid_snapshot,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-zec-zec-attention-price-context,2026-06-08T10:44:03+00:00,2026-06-08T11:15:23+00:00,31.35,pending,zec_attention_price_context,paper_long,ZEC,,427.410000000000,427.410000000000,hyperliquid_snapshot,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-zec-zec-institutional-flow-news-event,2026-06-08T10:44:03+00:00,2026-06-08T11:15:23+00:00,31.35,ready,zec_institutional_flow_news_event,paper_long,ZEC,,427.410000000000,427.410000000000,hyperliquid_snapshot,0.00000000,0.00000000,paper_mark_flat,"fill, funding, stop, and adverse excursion still missing",keep observing until the ticket has a non-flat mark move or stronger quote evidence
lane-zec-zec-narrative-event-news-event,2026-06-08T10:44:03+00:00,2026-06-08T11:15:23+00:00,31.35,ready,zec_narrative_event_news_event,paper_long,ZEC,,427.410000000000,427.410000000000,hyperliquid_snapshot,0.00000000,0.00000000,paper_mark_flat,"fill, funding, stop, and adverse excursion still missing",keep observing until the ticket has a non-flat mark move or stronger quote evidence
lane-zec-zec-security-risk-news-event,2026-06-08T10:44:03+00:00,2026-06-08T11:15:23+00:00,31.35,ready,zec_security_risk_news_event,paper_observe,ZEC,,427.410000000000,427.410000000000,hyperliquid_snapshot,0.00000000,,observe_mark_flat,observation-only ticket; directional promotion is not allowed,record the context move only; do not promote without a directional ticket
lane-zec-zec-attention-funding-overlap,2026-06-08T10:44:03+00:00,2026-06-08T11:15:23+00:00,31.35,pending,zec_attention_funding_overlap,paper_observe,ZEC,,427.410000000000,427.410000000000,hyperliquid_snapshot,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-sol-sol-1971905-event-crypto-hedge,2026-06-08T11:10:42+00:00,2026-06-08T11:15:23+00:00,4.70,pending,sol_1971905_event_crypto_hedge,paper_long,SOL,,66.248000000000,66.248000000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-sol-sol-volume-price-dislocation,2026-06-08T08:35:20+00:00,2026-06-08T11:15:23+00:00,160.06,ready,sol_volume_price_dislocation,paper_long,SOL,,65.711000000000,66.248000000000,hl_execution_context,81.72147738,81.72147738,paper_mark_win,"fill, funding, stop, and adverse excursion still missing","record fill, funding, stop, and adverse-excursion assumptions before promotion"
lane-sol-sol-maker-or-low-fee-small-execution-edge,2026-06-08T10:57:51+00:00,2026-06-08T11:15:23+00:00,17.55,ready,sol_maker_or_low_fee_small_execution_edge,paper_long,SOL,,66.248000000000,66.248000000000,hl_execution_context,0.00000000,0.00000000,paper_mark_flat,"fill, funding, stop, and adverse excursion still missing",keep observing until the ticket has a non-flat mark move or stronger quote evidence
lane-sol-solana-stablecoin-migration,2026-06-08T08:35:20+00:00,2026-06-08T11:15:23+00:00,160.06,pending,solana_stablecoin_migration,paper_long,SOL,,65.711000000000,66.248000000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-sol-sol-event-pressure-cluster,2026-06-08T10:44:03+00:00,2026-06-08T11:15:23+00:00,31.35,pending,sol_event_pressure_cluster,paper_observe,SOL,,66.248000000000,66.248000000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
lane-sol-sol-2466411-event-crypto-hedge,2026-06-08T11:15:23+00:00,2026-06-08T11:15:23+00:00,0.01,pending,sol_2466411_event_crypto_hedge,paper_short,SOL,,66.248000000000,66.248000000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
