ticket_id,action,asset,opportunity,decision,candidate_size_usd,directional_return_bps,spread_bps,near_depth_10bps_notional,visible_depth_usage,annualized_funding,estimated_funding_1h_bps,estimated_round_trip_cost_bps,estimated_net_after_cost_bps,risk_action,reason,next_step
repeat-lane-zec-zec-attention-price-context,promote_to_fill_and_risk_check,ZEC,zec_attention_price_context,paper_long,100,535.90740698,2.84261739,115191.02100000,0.00086812,-1.01625548,1.16010900,10.84261739,526.22489859,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-lane-zec-zec-institutional-flow-news-event,promote_to_fill_and_risk_check,ZEC,zec_institutional_flow_news_event,paper_long,100,535.90740698,2.84261739,115191.02100000,0.00086812,-1.01625548,1.16010900,10.84261739,526.22489859,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-lane-zec-zec-narrative-event-news-event,promote_to_fill_and_risk_check,ZEC,zec_narrative_event_news_event,paper_long,100,535.90740698,2.84261739,115191.02100000,0.00086812,-1.01625548,1.16010900,10.84261739,526.22489859,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-lane-sol-sol-volume-price-dislocation,promote_to_fill_and_risk_check,SOL,sol_volume_price_dislocation,paper_long,250,241.19611415,0.14821732,375906.14523000,0.00066506,0.02648761,-0.03023700,8.14821732,233.01765983,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-lane-near-near-microstructure-flow-paper-probe,promote_to_fill_and_risk_check,NEAR,near_microstructure_flow_paper_probe,paper_long,100.00,192.79011428,2.27909839,18999.83792500,0.00526320,0.10950000,-0.12500000,10.27909839,182.38601589,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-lane-sol-solana-stablecoin-migration,promote_to_fill_and_risk_check,SOL,solana_stablecoin_migration,paper_long,100,184.30745079,0.14821732,375906.14523000,0.00026602,0.02648761,-0.03023700,8.14821732,176.12899647,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-lane-sol-sol-attention-price-context,promote_to_fill_and_risk_check,SOL,sol_attention_price_context,paper_long,100,184.30745079,0.14821732,375906.14523000,0.00026602,0.02648761,-0.03023700,8.14821732,176.12899647,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-lane-near-near-microstructure-flow-probe,promote_to_fill_and_risk_check,NEAR,near_microstructure_flow_probe,paper_long,100,170.11217206,2.27909839,18999.83792500,0.00526320,0.10950000,-0.12500000,10.27909839,159.70807367,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-lane-eth-eth-volume-price-dislocation,promote_to_fill_and_risk_check,ETH,eth_volume_price_dislocation,paper_long,250,117.52008634,0.59264527,10167208.08033000,0.00002459,-0.13751623,0.15698200,8.59264527,109.08442307,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
repeat-lane-eth-eth-microstructure-flow-probe,promote_to_fill_and_risk_check,ETH,eth_microstructure_flow_probe,paper_long,100,117.52008634,0.59264527,10167208.08033000,0.00000984,-0.13751623,0.15698200,8.59264527,109.08442307,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
