ticket_id,opened_at,checked_at,elapsed_minutes,checkpoint_status,opportunity,decision,asset,venue,entry_mark,current_mark,current_source,raw_return_bps,directional_return_bps,outcome,missing_evidence,next_step
repeat-lane-zec-public-hypertracker-example-zec-wallet-flow-actionability,2026-06-08T19:56:02+00:00,2026-06-08T19:56:02+00:00,0.01,pending,public_hypertracker_example_zec_wallet_flow_actionability,paper_long,ZEC,,457.880000000000,457.880000000000,hyperliquid_snapshot,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
repeat-lane-zec-zec-attention-price-context,2026-06-08T15:05:20+00:00,2026-06-08T19:56:02+00:00,290.71,ready,zec_attention_price_context,paper_long,ZEC,,434.590000000000,457.880000000000,hyperliquid_snapshot,535.90740698,535.90740698,paper_mark_win,"fill, funding, stop, and adverse excursion still missing","record fill, funding, stop, and adverse-excursion assumptions before promotion"
repeat-lane-zec-zec-institutional-flow-news-event,2026-06-08T15:05:20+00:00,2026-06-08T19:56:02+00:00,290.71,ready,zec_institutional_flow_news_event,paper_long,ZEC,,434.590000000000,457.880000000000,hyperliquid_snapshot,535.90740698,535.90740698,paper_mark_win,"fill, funding, stop, and adverse excursion still missing","record fill, funding, stop, and adverse-excursion assumptions before promotion"
repeat-lane-zec-zec-narrative-event-news-event,2026-06-08T15:05:20+00:00,2026-06-08T19:56:02+00:00,290.71,ready,zec_narrative_event_news_event,paper_long,ZEC,,434.590000000000,457.880000000000,hyperliquid_snapshot,535.90740698,535.90740698,paper_mark_win,"fill, funding, stop, and adverse excursion still missing","record fill, funding, stop, and adverse-excursion assumptions before promotion"
repeat-lane-zec-zec-privacy-sector-rotation-context,2026-06-08T19:56:02+00:00,2026-06-08T19:56:02+00:00,0.01,pending,zec_privacy_sector_rotation_context,paper_long,ZEC,,457.880000000000,457.880000000000,hyperliquid_snapshot,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
repeat-lane-zec-zec-quantum-resistant-sector-rotation-context,2026-06-08T19:56:02+00:00,2026-06-08T19:56:02+00:00,0.01,pending,zec_quantum_resistant_sector_rotation_context,paper_long,ZEC,,457.880000000000,457.880000000000,hyperliquid_snapshot,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
repeat-lane-zec-zec-zero-knowledge-zk-sector-rotation-context,2026-06-08T19:56:02+00:00,2026-06-08T19:56:02+00:00,0.01,pending,zec_zero_knowledge_zk_sector_rotation_context,paper_long,ZEC,,457.880000000000,457.880000000000,hyperliquid_snapshot,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
repeat-lane-zec-zec-privacy-coins-sector-rotation-context,2026-06-08T19:56:02+00:00,2026-06-08T19:56:02+00:00,0.01,pending,zec_privacy_coins_sector_rotation_context,paper_long,ZEC,,457.880000000000,457.880000000000,hyperliquid_snapshot,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
repeat-lane-hype-hype-volume-price-dislocation,2026-06-08T15:05:20+00:00,2026-06-08T19:56:02+00:00,290.71,ready,hype_volume_price_dislocation,paper_long,HYPE,,64.689000000000,63.504000000000,hl_execution_context,-183.18415805,-183.18415805,paper_mark_loss,"fill, funding, stop, and adverse excursion still missing",keep or reject based on repeated labels and failure regime
repeat-lane-hype-hype-attention-price-context,2026-06-08T15:05:20+00:00,2026-06-08T19:56:02+00:00,290.71,ready,hype_attention_price_context,paper_long,HYPE,,64.689000000000,63.504000000000,hl_execution_context,-183.18415805,-183.18415805,paper_mark_loss,"fill, funding, stop, and adverse excursion still missing",keep or reject based on repeated labels and failure regime
repeat-lane-hype-hype-microstructure-flow-paper-probe,2026-06-08T15:05:20+00:00,2026-06-08T19:56:02+00:00,290.71,ready,hype_microstructure_flow_paper_probe,paper_long,HYPE,,64.689000000000,63.504000000000,hl_execution_context,-183.18415805,-183.18415805,paper_mark_loss,"fill, funding, stop, and adverse excursion still missing",keep or reject based on repeated labels and failure regime
repeat-lane-hype-hype-microstructure-flow-probe,2026-06-08T15:05:20+00:00,2026-06-08T19:56:02+00:00,290.71,ready,hype_microstructure_flow_probe,paper_long,HYPE,,64.689000000000,63.504000000000,hl_execution_context,-183.18415805,-183.18415805,paper_mark_loss,"fill, funding, stop, and adverse excursion still missing",keep or reject based on repeated labels and failure regime
repeat-lane-chip-chip-maker-or-low-fee-small-execution-edge,2026-06-08T19:56:02+00:00,2026-06-08T19:56:02+00:00,0.01,pending,chip_maker_or_low_fee_small_execution_edge,paper_long,CHIP,,0.033584000000,0.033584000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
repeat-lane-chip-chip-taker-small-execution-edge,2026-06-08T19:56:02+00:00,2026-06-08T19:56:02+00:00,0.01,pending,chip_taker_small_execution_edge,paper_long,CHIP,,0.033584000000,0.033584000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
repeat-lane-chip-chip-reduced-size-taker-execution-edge,2026-06-08T19:56:02+00:00,2026-06-08T19:56:02+00:00,0.01,pending,chip_reduced_size_taker_execution_edge,paper_long,CHIP,,0.033584000000,0.033584000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
repeat-lane-chip-chip-okx-exchange-catalyst-repeat-execution-gate,2026-06-08T19:56:02+00:00,2026-06-08T19:56:02+00:00,0.01,pending,chip_okx_exchange_catalyst_repeat_execution_gate,paper_long,CHIP,,0.033584000000,0.033584000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
repeat-lane-chip-chip-event-pressure-cluster,2026-06-08T19:56:02+00:00,2026-06-08T19:56:02+00:00,0.01,pending,chip_event_pressure_cluster,paper_long,CHIP,,0.033584000000,0.033584000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
repeat-lane-sol-sol-volume-price-dislocation,2026-06-08T09:33:15+00:00,2026-06-08T19:56:02+00:00,622.80,ready,sol_volume_price_dislocation,paper_long,SOL,,65.880000000000,67.469000000000,hl_execution_context,241.19611415,241.19611415,paper_mark_win,"fill, funding, stop, and adverse excursion still missing","record fill, funding, stop, and adverse-excursion assumptions before promotion"
