chain,project,symbol,pool,tvl_usd,apy,apy_base,apy_reward,apy_mean_30d,reward_share,apy_deviation_30d,score,status,side,reason,next_step
Ethereum,apyx-protocol,APXUSD,cb6139f9-4a68-4efd-8245-0312a92aee55,197127718.00,12.552590,12.552590,0.000000,10.806640,0.00000000,1.745950,22.979128,paper_base_yield_watch,allocate_stablecoin_capital,base APY is material and not reward-heavy,"check Ethereum/apyx-protocol custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,mainstreet,MSUSD,8a28570f-2316-488a-94a7-67c87e76c1f1,81845813.00,12.000000,12.000000,0.000000,12.000040,0.00000000,0.000040,20.836892,paper_base_yield_watch,allocate_stablecoin_capital,base APY is material and not reward-heavy,"check Ethereum/mainstreet custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,ember-protocol,USDC,d85a7f5f-3624-4b6b-b3a7-eefb42b2a5e9,37627564.00,12.461940,12.461940,0.000000,14.971260,0.00000000,2.509320,19.186063,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/ember-protocol custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,re,REUSDE,145810df-dc01-43e7-8033-e0aa5dceb767,19696309.00,12.000320,12.000320,0.000000,11.132570,0.00000000,0.867750,19.073788,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/re custody, withdrawal path, APY source, capacity, and exit liquidity"
Arbitrum,usd-ai,SUSDAI,712ce948-bd9e-4f4a-8916-b72c447f7578,289606526.00,8.000000,8.000000,0.000000,7.261050,0.00000000,0.738950,18.148761,paper_base_yield_watch,allocate_stablecoin_capital,base APY is material and not reward-heavy,"check Arbitrum/usd-ai custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,morpho-blue,FAUSDE,e45f5c36-0277-423f-a5b0-15071e1a250e,16501018.00,11.002170,11.002170,0.000000,10.146990,0.00000000,0.855180,17.420384,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,maple,USDC,43641cf5-a92e-416b-bce9-27113d3c0db6,3156446647.00,4.644130,4.644130,0.000000,4.771000,0.00000000,0.126870,17.354486,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/maple custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,goldfinch,USDC,c89af47f-032a-4c59-bdc9-17a7f1514a3b,36713347.00,10.123410,10.123410,0.000000,10.066750,0.00000000,0.056660,16.897727,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/goldfinch custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,ethena-usde,SUSDE,66985a81-9c51-46ca-9977-42b4fe7bc6df,1773945044.00,4.506230,4.506230,0.000000,3.984560,0.00000000,0.521670,16.896966,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/ethena-usde custody, withdrawal path, APY source, capacity, and exit liquidity"
BSC,unitas,SUSDU,3e78432a-f58b-46b2-ba69-1b446efc3e21,43500091.00,9.957850,9.957850,0.000000,9.950310,0.00000000,0.007540,16.798038,yield_context_watch,none,yield is context but not yet actionable,"check BSC/unitas custody, withdrawal path, APY source, capacity, and exit liquidity"
Hyperliquid L1,harmonix-finance,USDC,f06872f7-a5c9-478e-a7cf-a3ba356b99e6,17775451.00,10.180400,10.180400,0.000000,10.231980,0.00000000,0.051580,16.613201,yield_context_watch,none,yield is context but not yet actionable,"check Hyperliquid L1/harmonix-finance custody, withdrawal path, APY source, capacity, and exit liquidity"
