chain,project,symbol,pool,tvl_usd,apy,apy_base,apy_reward,apy_mean_30d,stablecoin,il_risk,exposure,outlier,score
Flare,mystic-finance-lending,COREUSDT0,5ea185f4-b3cc-4fd8-afe6-39037bf483dd,19620152.00,14.504370,4.052680,10.451690,15.179960,True,no,single,False,14.335472
Katana,morpho-blue,STEAKUSDC,d56ab93e-d48d-44f2-8139-9bb020afc980,23780638.00,15.437070,13.254820,2.182250,4.241600,True,no,single,False,12.638203
Ethereum,apyx-protocol,APXUSD,cb6139f9-4a68-4efd-8245-0312a92aee55,193226290.00,12.545730,12.545730,,10.794850,True,no,single,False,12.108010
Ethereum,mainstreet,MSUSD,8a28570f-2316-488a-94a7-67c87e76c1f1,81845813.00,12.000000,12.000000,0.000000,12.000010,True,no,single,False,11.999997
Ethereum,ember-protocol,USDC,d85a7f5f-3624-4b6b-b3a7-eefb42b2a5e9,37638707.00,12.461940,12.461940,,14.990160,True,no,single,False,11.829885
Ethereum,re,REUSDE,145810df-dc01-43e7-8033-e0aa5dceb767,19696309.00,12.000320,12.000320,,11.109830,True,no,single,False,11.777698
Ethereum,morpho-blue,FAUSDE,e45f5c36-0277-423f-a5b0-15071e1a250e,16498609.00,11.002170,11.002170,0.000000,10.135110,True,no,single,False,10.785405
Hyperliquid L1,harmonix-finance,USDC,f06872f7-a5c9-478e-a7cf-a3ba356b99e6,17759261.00,10.180400,10.180400,0.000000,10.232420,True,no,single,False,10.167395
Ethereum,goldfinch,USDC,c89af47f-032a-4c59-bdc9-17a7f1514a3b,36724220.00,10.123410,10.123410,,10.066340,True,no,single,False,10.109143
Ethereum,dolomite,USD1,86e18974-35ca-4948-9c82-694facf9d082,29285930.00,10.190880,3.714390,6.476480,9.340740,True,no,single,False,9.978345
BSC,unitas,SUSDU,3e78432a-f58b-46b2-ba69-1b446efc3e21,43505239.00,9.957090,9.957090,,9.950280,True,no,single,False,9.955388
BSC,bitway-earn,USDT,a451a8da-e3c4-4049-9bab-ea90ab96234a,24322398.00,10.000000,10.000000,,10.372400,True,no,single,False,9.906900
Monad,accountable,USDC,1a9c61c7-4094-4ee7-8d46-6ea8fb5689f1,45118675.00,9.800000,8.800000,1.000000,9.697940,True,no,single,False,9.774485
Monad,upshift,EARNAUSD,e10580de-1ad2-4bbc-a0e8-ad4db95df4a3,22385037.00,10.793710,9.104350,1.689360,6.047840,True,no,single,False,9.607242
Arbitrum,pendle,SUSDAI,894ef05d-8143-4fa2-9a1c-bebc14686337,12284812.00,9.607850,9.607850,,9.583730,True,no,single,False,9.601820
Ethereum,gami-labs,GAMICUSPC,78a8e9f9-8f2e-4a6e-a613-ce461ec869cd,11994655.00,9.358970,9.358970,,10.777590,True,no,single,False,9.004315
Ethereum,zerobase-cedefi,USDT,44a8967e-00f1-4cde-8c25-823f36953021,14302235.00,9.000000,7.000000,2.000000,9.000000,True,no,single,False,9.000000
Ethereum,morpho-blue,ALPHAUSDCDELTAV2,03c560bf-aed6-4a52-85b9-cb627269f3ff,30536991.00,9.147770,9.147770,0.000000,9.778070,True,no,single,False,8.990195
BSC,zerobase-cedefi,USDT,a116d53b-69ab-4665-a7c1-6813b3ebb728,23807822.00,8.760000,6.760000,2.000000,8.760000,True,no,single,False,8.760000
Ethereum,morpho-blue,ALPHAUSDCCOREV2,772efa7d-6b68-4a59-a2ca-5addafcae096,12343776.00,8.777890,8.615860,0.162040,8.167570,True,no,single,False,8.625310
Ethereum,fluid-lite,USDC,488f06db-5a36-450e-9ba9-b4321be39c7c,34540011.00,8.680000,,,7.991370,True,no,single,False,8.507842
Avalanche,avant-avusd,SAVUSD,c74227a1-e738-4021-bbe1-13363815aecb,79693357.00,8.525670,8.525670,,8.172040,True,no,single,False,8.437262
Monad,neverland,USDC,1d60f574-c41c-444f-8604-462eb7b714a5,13245677.00,8.398880,2.973300,5.425580,8.210920,True,no,single,False,8.351890
Monad,morpho-blue,HYPERUSDCA,ec6a71a7-41ae-4e72-942f-b4bc99c3b3cb,14323871.00,8.563510,6.343080,2.220430,7.340800,True,no,single,False,8.257833
Arbitrum,pendle,SUSDAI,55d53cce-4455-4085-8245-557257d9fe61,12284812.00,8.267330,8.098140,0.169200,8.116350,True,no,single,False,8.229585
Plasma,yuzu-money,SYZUSD,6174b1d6-8212-4964-95bf-ca9c539864ba,27506977.00,8.105930,8.105930,,7.673890,True,no,single,False,7.997920
Arbitrum,usd-ai,SUSDAI,712ce948-bd9e-4f4a-8916-b72c447f7578,289600286.00,8.000000,8.000000,,7.256970,True,no,single,False,7.814242
Plasma,fluid-lending,USDT0,21e972fb-b330-4289-8bfa-6a14e925ecdb,65728854.00,8.030000,7.670000,0.360000,8.946630,True,no,single,False,7.800842
Stellar,blend-pools-v2,USDC,ecf788e3-d2ef-4fdd-9ece-8a2d96226ddf,11723578.00,7.914500,7.914500,,8.418690,True,no,single,False,7.788453
Ethereum,dolomite,USDC,20e45c3e-7de7-4d34-89e7-20858ecdf252,27368312.00,7.838330,3.340510,4.497820,8.766190,True,no,single,False,7.606365
Stable,morpho-blue,GTUSDTB,a259a0f0-8897-4740-b3b2-0ae1041f1bf0,18909725.00,8.017700,2.374930,5.642770,6.135110,True,no,single,False,7.547052
Base,avantis,USDC,ae3397ed-1f0f-4aa4-ab62-44413ea8cd9e,36745431.00,8.120440,8.120440,,10.561460,True,no,single,False,7.510185
Ethereum,morpho-blue,HYPERUSDCA,5a55b869-de6e-42ba-9091-6ee0e02525c2,10934679.00,7.873460,7.873460,0.000000,6.320540,True,no,single,False,7.485230
Arbitrum,pendle,USDAI,6fc8395f-40c4-42c1-9002-c2b48c5e4c48,35302888.00,7.292940,7.292940,,6.854680,True,no,single,False,7.183375
Monad,accountable,AUSD,4baffdfd-8015-4713-bad4-10a199b30157,118157364.00,7.275000,7.275000,,7.802920,True,no,single,False,7.143020
Ethereum,pendle,USDAT,81b63593-7983-4395-a73d-62c955b9e9cf,12203685.00,7.467490,7.467490,,8.912850,True,no,single,False,7.106150
Ethereum,fluid-lending,GHO,578cffd4-1470-44d0-8c5d-e9d4bd403651,13787050.00,7.560000,5.860000,1.700000,5.688480,True,no,single,False,7.092120
Ethereum,aave-v3,USDC,6f00d46b-8735-49ae-9ced-2a0fccc56ad0,51785794.00,7.183090,2.953090,4.230000,7.818940,True,no,single,False,7.024128
Ethereum,aave-v3,USDT,a90d554a-b548-4f50-b03e-9dcb724b7777,85173638.00,6.875710,2.765710,4.110000,6.639240,True,no,single,False,6.816592
Ethereum,morpho-blue,SENPYUSDPRIMEV2,f569e486-da2a-41ef-8bfe-1a4db0d1d268,79357523.00,6.907070,3.296610,3.610460,7.575690,True,no,single,False,6.739915
Ethereum,re,REUSD,1c312830-ee96-40c9-b55f-b0f209ca6ebd,164178619.00,6.743980,6.743980,,5.706560,True,no,single,False,6.484625
Wc,morpho-blue,RE7USDC,b723687e-6627-4b9e-a7af-1dd1f9933b9f,11921278.00,6.513760,6.513760,0.000000,5.725030,True,no,single,False,6.316578
Ethereum,fx-protocol,FXUSDSTABILITYPOOLV2.0,abd6c9e1-3b52-459a-a31b-9022a4dcf7e2,57235444.00,6.380000,,,6.741100,True,no,single,False,6.289725
Ethereum,aave-v3,GHO,bf0660ab-38bf-48a4-9a6c-393ec0e2ff5f,15181403.00,6.320000,,6.320000,6.164740,True,no,single,False,6.281185
Ethereum,morpho-blue,STEAKUSDTBETHENA,2bade0af-0dee-410b-88ed-78f17133dad7,110622106.00,6.582670,3.182670,3.400000,5.129450,True,no,single,False,6.219365
Hyperliquid L1,morpho-blue,FEUSDC,8622e84a-794b-4b68-aad2-a6a2e0e0d2c7,12343098.00,6.168980,6.168980,0.000000,5.112230,True,no,single,False,5.904793
Ethereum,aegis-yusd,YUSD,f91b2168-c279-475c-a98a-673220f4fee7,34211177.00,6.410000,,,3.780970,True,no,single,False,5.752743
Plasma,aave-v3,USDE,42eaf290-24c3-4ce0-82ab-c1276444871b,102990375.00,5.884260,1.646220,4.238040,5.270820,True,no,single,False,5.730900
Ethereum,aave-v3,USDTB,baee0253-eb6e-4a08-a579-a2acd4f034b2,29778347.00,5.777810,2.377810,3.400000,5.432500,True,no,single,False,5.691482
Ethereum,morpho-blue,STEAKUSDT,ef5d3acb-b974-4db1-8076-e8db9f142493,22444853.00,6.260190,6.260190,0.000000,3.827330,True,no,single,False,5.651975
Ethereum,morpho-blue,SENRLUSDV2,2e53bb82-f13f-4157-a3bf-b1a91b94b6a4,197788333.00,5.716680,1.822270,3.894400,5.177710,True,no,single,False,5.581938
Ethereum,superform,SUPERUSDC,fbd2a90a-f18f-412f-9f75-cc75432efd3f,11756999.00,6.050770,3.475540,2.575230,8.113250,True,no,single,False,5.535150
Ethereum,morpho-blue,GTUSDTP,339db613-74f9-4141-ac35-04724dce2d23,29878940.00,6.104160,6.104160,0.000000,3.767400,True,no,single,False,5.519970
Ethereum,morpho-blue,BBQUSDC,f8d7740c-4cef-420e-a944-1b7caffde643,36562449.00,5.641220,5.641220,0.000000,4.866190,True,no,single,False,5.447462
Ethereum,infinifi,SIUSD,8fa2e60e-365a-41fc-8d50-fadde5041f94,42662036.00,5.446500,5.446500,,5.496940,True,no,single,False,5.433890
Hyperliquid L1,morpho-blue,FEUSDC2,38996a70-76e3-4e7c-a00f-22182d73b2be,36747995.00,5.764360,5.764360,0.000000,7.157800,True,no,single,False,5.416000
Arbitrum,fluid-lending,USDC,4c45cc9e-e1a4-43c9-8a3d-687d96abb07c,36981408.00,5.430000,5.430000,,5.609790,True,no,single,False,5.385052
Ethereum,morpho-blue,SENPYUSDMAIN,699f25fe-09f4-4f82-8f58-baa5b0af8fa4,291313440.00,5.361760,1.661760,3.700000,5.155220,True,no,single,False,5.310125
Hyperliquid L1,hyperlend-pooled,USDC,9d21c8a0-4ea9-4585-81a7-e3d09ab24a45,12448432.00,5.356050,5.356050,,5.140860,True,no,single,False,5.302252
