feature,bucket,action,train_count,test_count,train_mean_bps,test_gross_bps,test_hit_rate,execution_mode,cost_bps,test_net_bps,viability_score,viability_status,next_step
imbalance_1pct,bottom_20,paper_short,16183,21660,0.27823374,0.59571460,0.502401,maker_or_internalized,0.50000000,0.09571460,300.09571460,maker_or_internalized_candidate,"test maker fill probability, queue position, adverse selection, and cancellation rules"
taker_long_short_volume_ratio_5m,bottom_20,paper_short,16191,13218,0.32925620,0.66130790,0.480557,maker_or_internalized,0.50000000,0.16130790,200.16130790,maker_only_low_hit_rate,do not trade directionally; inspect whether payoff tail or queue selection explains the weak hit rate
taker_long_short_volume_ratio_5m,bottom_20,paper_short,16191,13218,0.32925620,0.66130790,0.480557,zero_cost_diagnostic,0.00000000,0.66130790,100.66130790,zero_cost_only_signal,keep as representation-learning feature only; it is not execution-ready
imbalance_1pct,bottom_20,paper_short,16183,21660,0.27823374,0.59571460,0.502401,zero_cost_diagnostic,0.00000000,0.59571460,100.59571460,zero_cost_only_signal,keep as representation-learning feature only; it is not execution-ready
imbalance_5pct,top_20,paper_long,16182,9558,0.10731781,0.47073228,0.493304,zero_cost_diagnostic,0.00000000,0.47073228,100.47073228,zero_cost_only_signal,keep as representation-learning feature only; it is not execution-ready
imbalance_5pct,bottom_20,paper_short,16183,26579,0.47762915,0.43621187,0.492569,zero_cost_diagnostic,0.00000000,0.43621187,100.43621187,zero_cost_only_signal,keep as representation-learning feature only; it is not execution-ready
premium_index_1m,top_20,paper_short,16184,19368,0.21920477,0.37165082,0.491429,zero_cost_diagnostic,0.00000000,0.37165082,100.37165082,zero_cost_only_signal,keep as representation-learning feature only; it is not execution-ready
open_interest_value_5m,bottom_20,paper_short,16184,24662,0.08306166,0.09872878,0.459330,zero_cost_diagnostic,0.00000000,0.09872878,100.09872878,zero_cost_only_signal,keep as representation-learning feature only; it is not execution-ready
account_long_short_ratio_5m,top_20,paper_short,16187,8604,0.25869025,0.08075039,0.470944,zero_cost_diagnostic,0.00000000,0.08075039,100.08075039,zero_cost_only_signal,keep as representation-learning feature only; it is not execution-ready
top_trader_long_short_ratio_5m,top_20,paper_short,16190,8604,0.29163620,0.06896910,0.477685,zero_cost_diagnostic,0.00000000,0.06896910,100.06896910,zero_cost_only_signal,keep as representation-learning feature only; it is not execution-ready
open_interest_value_5m,top_20,paper_short,16190,17208,0.26448771,0.06276972,0.500581,zero_cost_diagnostic,0.00000000,0.06276972,100.06276972,zero_cost_only_signal,keep as representation-learning feature only; it is not execution-ready
imbalance_5pct,top_20,paper_long,16182,9558,0.10731781,0.47073228,0.493304,maker_or_internalized,0.50000000,-0.02926772,-0.02926772,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
imbalance_5pct,bottom_20,paper_short,16183,26579,0.47762915,0.43621187,0.492569,maker_or_internalized,0.50000000,-0.06378813,-0.06378813,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
premium_index_1m,top_20,paper_short,16184,19368,0.21920477,0.37165082,0.491429,maker_or_internalized,0.50000000,-0.12834918,-0.12834918,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
open_interest_value_5m,bottom_20,paper_short,16184,24662,0.08306166,0.09872878,0.459330,maker_or_internalized,0.50000000,-0.40127122,-0.40127122,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
