feature,bucket,count,mean_next_return,hit_rate
imbalance_1pct,bottom_20,39205,-0.0000446218,0.460502
imbalance_1pct,middle_60,117611,-0.0000176463,0.468715
imbalance_1pct,top_20,39204,0.0000090194,0.491098
imbalance_5pct,bottom_20,39205,-0.0000487032,0.467925
imbalance_5pct,middle_60,117611,-0.0000164358,0.468060
imbalance_5pct,top_20,39204,0.0000094696,0.485639
premium_index_1m,bottom_20,39206,-0.0000038795,0.477631
premium_index_1m,middle_60,117607,-0.0000144721,0.469853
premium_index_1m,top_20,39207,-0.0000412446,0.470554
mark_index_basis_1m,bottom_20,39205,0.0000118134,0.477669
mark_index_basis_1m,middle_60,117610,-0.0000285522,0.468770
mark_index_basis_1m,top_20,39205,-0.0000147001,0.473766
open_interest_value_5m,bottom_20,39206,-0.0000111859,0.465949
open_interest_value_5m,middle_60,117609,-0.0000206273,0.467889
open_interest_value_5m,top_20,39205,-0.0000154747,0.488127
top_trader_long_short_ratio_5m,bottom_20,39214,0.0000034459,0.491483
top_trader_long_short_ratio_5m,middle_60,117600,-0.0000293409,0.464286
top_trader_long_short_ratio_5m,top_20,39206,-0.0000039749,0.473397
account_long_short_ratio_5m,bottom_20,39209,-0.0000171674,0.469969
account_long_short_ratio_5m,middle_60,117606,-0.0000150344,0.471073
account_long_short_ratio_5m,top_20,39205,-0.0000262708,0.474557
taker_long_short_volume_ratio_5m,bottom_20,39214,-0.0000577665,0.470852
taker_long_short_volume_ratio_5m,middle_60,117602,-0.0000107239,0.471293
taker_long_short_volume_ratio_5m,top_20,39204,0.0000014084,0.473013
