feature,bucket,action,train_count,train_mean_bps,test_count,test_gross_bps,test_net_bps,test_hit_rate,decision
taker_long_short_volume_ratio_5m,bottom_20,paper_short,16191,0.32925620,13218,0.66130790,-7.33869210,0.480557,gross_only_candidate
imbalance_1pct,bottom_20,paper_short,16183,0.27823374,21660,0.59571460,-7.40428540,0.502401,gross_only_candidate
imbalance_5pct,top_20,paper_long,16182,0.10731781,9558,0.47073228,-7.52926772,0.493304,gross_only_candidate
imbalance_5pct,bottom_20,paper_short,16183,0.47762915,26579,0.43621187,-7.56378813,0.492569,gross_only_candidate
premium_index_1m,top_20,paper_short,16184,0.21920477,19368,0.37165082,-7.62834918,0.491429,gross_only_candidate
open_interest_value_5m,bottom_20,paper_short,16184,0.08306166,24662,0.09872878,-7.90127122,0.459330,gross_only_candidate
account_long_short_ratio_5m,top_20,paper_short,16187,0.25869025,8604,0.08075039,-7.91924961,0.470944,gross_only_candidate
top_trader_long_short_ratio_5m,top_20,paper_short,16190,0.29163620,8604,0.06896910,-7.93103090,0.477685,gross_only_candidate
open_interest_value_5m,top_20,paper_short,16190,0.26448771,17208,0.06276972,-7.93723028,0.500581,gross_only_candidate
premium_index_1m,bottom_20,paper_short,16183,0.32378387,28560,-0.00554653,-8.00554653,0.465406,reject_after_walk_forward
mark_index_basis_1m,top_20,paper_short,16183,0.23014278,16130,-0.05625956,-8.05625956,0.492498,reject_after_walk_forward
top_trader_long_short_ratio_5m,bottom_20,paper_short,16187,0.25320980,50366,-0.06126150,-8.06126150,0.475718,reject_after_walk_forward
mark_index_basis_1m,bottom_20,paper_long,16183,0.08873804,28480,-0.13016961,-8.13016961,0.476826,reject_after_walk_forward
account_long_short_ratio_5m,bottom_20,paper_long,16185,0.10065307,17508,-0.17013380,-8.17013380,0.466187,reject_after_walk_forward
taker_long_short_volume_ratio_5m,top_20,paper_short,16182,0.14718937,15984,-0.22735455,-8.22735455,0.474975,reject_after_walk_forward
imbalance_1pct,top_20,paper_short,16182,0.00403131,11807,-0.60425198,-8.60425198,0.456001,reject_after_walk_forward
