feature,bucket,signal_action,train_count,train_signal_bps,test_count,execution_action,fill_assumption,cost_bps,gross_reward_bps,net_reward_bps,hit_rate,beats_hold,decision,next_step
imbalance_1pct,bottom_20,paper_short,16183,0.27823374,21660,maker_or_internalized_limit,optimistic_full_fill_not_queue_verified,0.50000000,0.59571460,0.09571460,0.502401,yes,maker_fill_model_needed,"build maker fill probability, queue position, cancel, and adverse-selection labels"
taker_long_short_volume_ratio_5m,bottom_20,paper_short,16191,0.32925620,13218,maker_or_internalized_limit,optimistic_full_fill_not_queue_verified,0.50000000,0.66130790,0.16130790,0.480557,yes,maker_tail_or_queue_research,treat as representation research until queue/fill and tail risk are measured
imbalance_1pct,bottom_20,paper_short,16183,0.27823374,21660,hold,no_order,0.00000000,0.59571460,0.00000000,0.502401,no,hold_baseline,hold is the baseline action
open_interest_value_5m,top_20,paper_short,16190,0.26448771,17208,hold,no_order,0.00000000,0.06276972,0.00000000,0.500581,no,hold_baseline,hold is the baseline action
imbalance_5pct,top_20,paper_long,16182,0.10731781,9558,hold,no_order,0.00000000,0.47073228,0.00000000,0.493304,no,hold_baseline,hold is the baseline action
imbalance_5pct,bottom_20,paper_short,16183,0.47762915,26579,hold,no_order,0.00000000,0.43621187,0.00000000,0.492569,no,hold_baseline,hold is the baseline action
mark_index_basis_1m,top_20,paper_short,16183,0.23014278,16130,hold,no_order,0.00000000,-0.05625956,0.00000000,0.492498,no,hold_baseline,hold is the baseline action
premium_index_1m,top_20,paper_short,16184,0.21920477,19368,hold,no_order,0.00000000,0.37165082,0.00000000,0.491429,no,hold_baseline,hold is the baseline action
taker_long_short_volume_ratio_5m,bottom_20,paper_short,16191,0.32925620,13218,hold,no_order,0.00000000,0.66130790,0.00000000,0.480557,no,hold_baseline,hold is the baseline action
top_trader_long_short_ratio_5m,top_20,paper_short,16190,0.29163620,8604,hold,no_order,0.00000000,0.06896910,0.00000000,0.477685,no,hold_baseline,hold is the baseline action
mark_index_basis_1m,bottom_20,paper_long,16183,0.08873804,28480,hold,no_order,0.00000000,-0.13016961,0.00000000,0.476826,no,hold_baseline,hold is the baseline action
top_trader_long_short_ratio_5m,bottom_20,paper_short,16187,0.25320980,50366,hold,no_order,0.00000000,-0.06126150,0.00000000,0.475718,no,hold_baseline,hold is the baseline action
taker_long_short_volume_ratio_5m,top_20,paper_short,16182,0.14718937,15984,hold,no_order,0.00000000,-0.22735455,0.00000000,0.474975,no,hold_baseline,hold is the baseline action
account_long_short_ratio_5m,top_20,paper_short,16187,0.25869025,8604,hold,no_order,0.00000000,0.08075039,0.00000000,0.470944,no,hold_baseline,hold is the baseline action
