state_family,signal_action,execution_mode,survival_status,survival_score,world_feature,world_bucket,world_net_bps,world_hit_rate,world_decision,sequence_feature,sequence_bucket,sequence_net_bps,sequence_hit_rate,sequence_decision,sequence_zero_cost_feature,sequence_zero_cost_net_bps,reason,next_step
taker_pressure,paper_short,maker_or_internalized_limit,lob_world_execution_with_sequence_representation,105.69212786,taker_long_short_volume_ratio_5m,bottom_20,0.16130790,0.480557,maker_tail_or_queue_research,taker_pressure_delta_5,bottom_20,-0.21389397,0.477952,reject_after_cost,taker_pressure_delta_5,0.28610603,"static replay survives execution, and rolling sequence keeps representation value",test whether the rolling state can choose the same action before maker-fill promotion
order_book_imbalance,paper_short,maker_or_internalized_limit,lob_world_execution_with_sequence_representation,104.36371128,imbalance_1pct,bottom_20,0.09571460,0.502401,maker_fill_model_needed,shallow_deep_imbalance_gap,bottom_20,-0.09862881,0.498436,reject_after_cost,shallow_deep_imbalance_gap,0.40137119,"static replay survives execution, and rolling sequence keeps representation value",test whether the rolling state can choose the same action before maker-fill promotion
liquidity_change,paper_short,maker_or_internalized_limit,lob_sequence_execution_probe,79.17930611,,,0.00000000,0.000000,,ask_liquidity_change_5,top_20,0.04745233,0.494869,maker_sequence_tail_candidate,ask_liquidity_change_5,0.54745233,"rolling sequence state survives execution costs, but static replay does not confirm it",repeat on fresh snapshots and add static replay confirmation
liquidity_change,paper_short,zero_cost_representation,lob_representation_only,56.67930611,,,0.00000000,0.000000,,ask_liquidity_change_5,top_20,0.54745233,0.494869,representation_only,ask_liquidity_change_5,0.54745233,state representation has signal before execution costs only,"keep as model input, not a policy, until execution-cost survival appears"
basis_premium,paper_long,zero_cost_representation,lob_representation_only,47.86307895,,,0.00000000,0.000000,,basis_delta_5,top_20,0.41586685,0.473651,representation_only,basis_delta_5,0.41586685,state representation has signal before execution costs only,"keep as model input, not a policy, until execution-cost survival appears"
order_book_imbalance,paper_short,zero_cost_representation,lob_representation_only,46.89186973,,,0.00000000,0.000000,,shallow_deep_imbalance_gap,bottom_20,0.40137119,0.498436,representation_only,shallow_deep_imbalance_gap,0.40137119,state representation has signal before execution costs only,"keep as model input, not a policy, until execution-cost survival appears"
taker_pressure,paper_short,zero_cost_representation,lob_representation_only,39.16910401,,,0.00000000,0.000000,,taker_pressure_delta_5,bottom_20,0.28610603,0.477952,representation_only,taker_pressure_delta_5,0.28610603,state representation has signal before execution costs only,"keep as model input, not a policy, until execution-cost survival appears"
basis_premium,paper_short,zero_cost_representation,lob_representation_only,37.59834797,,,0.00000000,0.000000,,premium_delta_5,bottom_20,0.26266191,0.475853,representation_only,premium_delta_5,0.26266191,state representation has signal before execution costs only,"keep as model input, not a policy, until execution-cost survival appears"
order_book_imbalance,paper_long,zero_cost_representation,lob_representation_only,36.34528315,,,0.00000000,0.000000,,imbalance_5pct_persistence_5,top_20,0.24395945,0.488022,representation_only,imbalance_5pct_persistence_5,0.24395945,state representation has signal before execution costs only,"keep as model input, not a policy, until execution-cost survival appears"
liquidity_change,paper_short,low_fee_cross,lob_policy_rejected_after_cost,-43.43057204,,,0.00000000,0.000000,,ask_liquidity_change_5,top_20,-1.45254767,0.494869,reject_after_cost,ask_liquidity_change_5,0.54745233,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
liquidity_change,paper_short,market_order,lob_policy_rejected_after_cost,-43.43057204,,,0.00000000,0.000000,,ask_liquidity_change_5,top_20,-7.45254767,0.494869,reject_after_cost,ask_liquidity_change_5,0.54745233,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
order_book_imbalance,paper_short,low_fee_cross,lob_policy_rejected_after_cost,-44.94344572,imbalance_1pct,bottom_20,-1.40428540,0.502401,worse_than_hold,shallow_deep_imbalance_gap,bottom_20,-1.59862881,0.498436,reject_after_cost,shallow_deep_imbalance_gap,0.40137119,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
order_book_imbalance,paper_short,market_order,lob_policy_rejected_after_cost,-44.94344572,imbalance_1pct,bottom_20,-7.40428540,0.502401,worse_than_hold,shallow_deep_imbalance_gap,bottom_20,-7.59862881,0.498436,reject_after_cost,shallow_deep_imbalance_gap,0.40137119,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
