feature,bucket,signal_action,train_count,train_signal_bps,test_count,execution_mode,cost_bps,test_gross_bps,test_net_bps,test_hit_rate,decision,next_step
ask_liquidity_change_5,top_20,paper_short,16152,0.12099511,21341,maker_or_internalized_limit,0.50000000,0.54745233,0.04745233,0.494869,maker_sequence_tail_candidate,inspect tail dependence and adverse selection before trusting maker execution
ask_liquidity_change_5,top_20,paper_short,16152,0.12099511,21341,zero_cost_representation,0.00000000,0.54745233,0.54745233,0.494869,representation_only,keep as a feature for a model; it does not survive execution costs
basis_delta_5,top_20,paper_long,16152,0.04067620,22031,zero_cost_representation,0.00000000,0.41586685,0.41586685,0.473651,representation_only,keep as a feature for a model; it does not survive execution costs
shallow_deep_imbalance_gap,bottom_20,paper_short,16153,0.11227254,19180,zero_cost_representation,0.00000000,0.40137119,0.40137119,0.498436,representation_only,keep as a feature for a model; it does not survive execution costs
imbalance_5pct_persistence_5,bottom_20,paper_short,16153,0.43625325,24578,zero_cost_representation,0.00000000,0.36767950,0.36767950,0.482261,representation_only,keep as a feature for a model; it does not survive execution costs
imbalance_1pct_persistence_5,bottom_20,paper_short,16153,0.31279524,20963,zero_cost_representation,0.00000000,0.28808829,0.28808829,0.485951,representation_only,keep as a feature for a model; it does not survive execution costs
taker_pressure_delta_5,bottom_20,paper_short,16153,0.57739569,15920,zero_cost_representation,0.00000000,0.28610603,0.28610603,0.477952,representation_only,keep as a feature for a model; it does not survive execution costs
premium_delta_5,bottom_20,paper_short,16153,0.28836645,23253,zero_cost_representation,0.00000000,0.26266191,0.26266191,0.475853,representation_only,keep as a feature for a model; it does not survive execution costs
imbalance_5pct_persistence_5,top_20,paper_long,16152,0.06950609,10018,zero_cost_representation,0.00000000,0.24395945,0.24395945,0.488022,representation_only,keep as a feature for a model; it does not survive execution costs
basis_delta_5,top_20,paper_long,16152,0.04067620,22031,maker_or_internalized_limit,0.50000000,0.41586685,-0.08413315,0.473651,reject_after_cost,reject this rolling state under the current execution cost
shallow_deep_imbalance_gap,bottom_20,paper_short,16153,0.11227254,19180,maker_or_internalized_limit,0.50000000,0.40137119,-0.09862881,0.498436,reject_after_cost,reject this rolling state under the current execution cost
imbalance_1pct_persistence_5,top_20,paper_short,16152,0.02252344,12138,zero_cost_representation,0.00000000,-0.11476374,-0.11476374,0.476520,reject_after_cost,reject this rolling state under the current execution cost
imbalance_5pct_persistence_5,bottom_20,paper_short,16153,0.43625325,24578,maker_or_internalized_limit,0.50000000,0.36767950,-0.13232050,0.482261,reject_after_cost,reject this rolling state under the current execution cost
ask_liquidity_change_5,bottom_20,paper_short,16153,0.35089814,21107,zero_cost_representation,0.00000000,-0.16883193,-0.16883193,0.464538,reject_after_cost,reject this rolling state under the current execution cost
premium_delta_5,top_20,paper_short,16152,0.09804191,23395,zero_cost_representation,0.00000000,-0.18871573,-0.18871573,0.476982,reject_after_cost,reject this rolling state under the current execution cost
imbalance_1pct_persistence_5,bottom_20,paper_short,16153,0.31279524,20963,maker_or_internalized_limit,0.50000000,0.28808829,-0.21191171,0.485951,reject_after_cost,reject this rolling state under the current execution cost
taker_pressure_delta_5,bottom_20,paper_short,16153,0.57739569,15920,maker_or_internalized_limit,0.50000000,0.28610603,-0.21389397,0.477952,reject_after_cost,reject this rolling state under the current execution cost
premium_delta_5,bottom_20,paper_short,16153,0.28836645,23253,maker_or_internalized_limit,0.50000000,0.26266191,-0.23733809,0.475853,reject_after_cost,reject this rolling state under the current execution cost
imbalance_1pct_delta_5,top_20,paper_short,16152,0.30886137,21700,zero_cost_representation,0.00000000,-0.25055565,-0.25055565,0.463088,reject_after_cost,reject this rolling state under the current execution cost
imbalance_5pct_persistence_5,top_20,paper_long,16152,0.06950609,10018,maker_or_internalized_limit,0.50000000,0.24395945,-0.25604055,0.488022,reject_after_cost,reject this rolling state under the current execution cost
taker_pressure_delta_5,top_20,paper_short,16152,0.04650042,15952,zero_cost_representation,0.00000000,-0.28345444,-0.28345444,0.470411,reject_after_cost,reject this rolling state under the current execution cost
bid_liquidity_change_5,top_20,paper_short,16152,0.02693240,21145,zero_cost_representation,0.00000000,-0.31933426,-0.31933426,0.463561,reject_after_cost,reject this rolling state under the current execution cost
bid_liquidity_change_5,bottom_20,paper_long,16153,0.14706040,21099,zero_cost_representation,0.00000000,-0.36230458,-0.36230458,0.465899,reject_after_cost,reject this rolling state under the current execution cost
oi_value_change_15,top_20,paper_short,16152,0.18503408,20224,zero_cost_representation,0.00000000,-0.42133364,-0.42133364,0.482595,reject_after_cost,reject this rolling state under the current execution cost
imbalance_5pct_delta_5,top_20,paper_short,16152,0.28471863,21691,zero_cost_representation,0.00000000,-0.47171875,-0.47171875,0.462081,reject_after_cost,reject this rolling state under the current execution cost
shallow_deep_imbalance_gap,top_20,paper_short,16152,0.16149593,18115,zero_cost_representation,0.00000000,-0.53315188,-0.53315188,0.451615,reject_after_cost,reject this rolling state under the current execution cost
imbalance_1pct_delta_5,bottom_20,paper_long,16153,0.06364048,21902,zero_cost_representation,0.00000000,-0.60631311,-0.60631311,0.458132,reject_after_cost,reject this rolling state under the current execution cost
imbalance_1pct_persistence_5,top_20,paper_short,16152,0.02252344,12138,maker_or_internalized_limit,0.50000000,-0.11476374,-0.61476374,0.476520,reject_after_cost,reject this rolling state under the current execution cost
imbalance_5pct_delta_5,bottom_20,paper_long,16153,0.09534187,21203,zero_cost_representation,0.00000000,-0.62467075,-0.62467075,0.455549,reject_after_cost,reject this rolling state under the current execution cost
ask_liquidity_change_5,bottom_20,paper_short,16153,0.35089814,21107,maker_or_internalized_limit,0.50000000,-0.16883193,-0.66883193,0.464538,reject_after_cost,reject this rolling state under the current execution cost
premium_delta_5,top_20,paper_short,16152,0.09804191,23395,maker_or_internalized_limit,0.50000000,-0.18871573,-0.68871573,0.476982,reject_after_cost,reject this rolling state under the current execution cost
basis_delta_5,bottom_20,paper_long,16153,0.01868873,22031,zero_cost_representation,0.00000000,-0.69754711,-0.69754711,0.465254,reject_after_cost,reject this rolling state under the current execution cost
imbalance_1pct_delta_5,top_20,paper_short,16152,0.30886137,21700,maker_or_internalized_limit,0.50000000,-0.25055565,-0.75055565,0.463088,reject_after_cost,reject this rolling state under the current execution cost
taker_pressure_delta_5,top_20,paper_short,16152,0.04650042,15952,maker_or_internalized_limit,0.50000000,-0.28345444,-0.78345444,0.470411,reject_after_cost,reject this rolling state under the current execution cost
bid_liquidity_change_5,top_20,paper_short,16152,0.02693240,21145,maker_or_internalized_limit,0.50000000,-0.31933426,-0.81933426,0.463561,reject_after_cost,reject this rolling state under the current execution cost
bid_liquidity_change_5,bottom_20,paper_long,16153,0.14706040,21099,maker_or_internalized_limit,0.50000000,-0.36230458,-0.86230458,0.465899,reject_after_cost,reject this rolling state under the current execution cost
oi_value_change_15,top_20,paper_short,16152,0.18503408,20224,maker_or_internalized_limit,0.50000000,-0.42133364,-0.92133364,0.482595,reject_after_cost,reject this rolling state under the current execution cost
