ticket_id,asset,opportunity,decision,execution_mode,action,score,directional_return_bps,current_net_bps,estimated_mode_net_bps,spread_bps,visible_depth_usage,suggested_size_usd,source_file,reason,next_step
lane-near-near-microstructure-flow-paper-probe,NEAR,near_microstructure_flow_paper_probe,paper_long,maker_or_low_fee_small,compare_taker_vs_low_fee,185.48089285,158.65630670,148.69921766,155.61526218,1.83208904,0.00332020,100.00,current_symbol_lane_paper_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat NEAR with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-near-near-microstructure-flow-probe,NEAR,near_microstructure_flow_probe,paper_long,maker_or_low_fee_small,compare_taker_vs_low_fee,185.48089285,158.65630670,148.69921766,155.61526218,1.83208904,0.00332020,100,current_symbol_lane_paper_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat NEAR with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
paper-03-inj-volume-dislocation,INJ,inj_volume_price_dislocation,paper_long,context_required,refresh_execution_context,181.84288194,161.67534722,153.67534722,161.67534722,0.00000000,0.00000000,250,current_paper_ticket_fill_risk_check.csv,"paper edge cannot be evaluated because spread, funding, or visible depth is missing","refresh INJ spread, funding, and depth before any execution-mode comparison"
lane-near-near-microstructure-flow-paper-probe,NEAR,near_microstructure_flow_paper_probe,paper_long,taker_small,repeat_taker_probe,180.56484833,158.65630670,148.69921766,148.69921766,1.83208904,0.00332020,100.00,current_symbol_lane_paper_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat NEAR with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-near-near-microstructure-flow-probe,NEAR,near_microstructure_flow_probe,paper_long,taker_small,repeat_taker_probe,180.56484833,158.65630670,148.69921766,148.69921766,1.83208904,0.00332020,100,current_symbol_lane_paper_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat NEAR with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-lane-near-near-microstructure-flow-paper-probe,NEAR,near_microstructure_flow_paper_probe,paper_long,maker_or_low_fee_small,compare_taker_vs_low_fee,168.35001745,143.08278361,133.12569457,140.04173909,1.83208904,0.00332020,100.00,current_symbol_lane_promoted_repeat_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat NEAR with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-lane-near-near-microstructure-flow-paper-probe,NEAR,near_microstructure_flow_paper_probe,paper_long,taker_small,repeat_taker_probe,163.43397293,143.08278361,133.12569457,133.12569457,1.83208904,0.00332020,100.00,current_symbol_lane_promoted_repeat_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat NEAR with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-lane-near-near-microstructure-flow-probe,NEAR,near_microstructure_flow_probe,paper_long,maker_or_low_fee_small,compare_taker_vs_low_fee,143.52593425,120.51543525,110.55834621,117.47439073,1.83208904,0.00332020,100,current_symbol_lane_promoted_repeat_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat NEAR with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-lane-near-near-microstructure-flow-probe,NEAR,near_microstructure_flow_probe,paper_long,taker_small,repeat_taker_probe,138.60988973,120.51543525,110.55834621,110.55834621,1.83208904,0.00332020,100,current_symbol_lane_promoted_repeat_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat NEAR with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-sol-sol-volume-price-dislocation,SOL,sol_volume_price_dislocation,paper_long,maker_or_low_fee_small,compare_taker_vs_low_fee,102.03065808,81.72147738,73.78300730,79.85851034,0.15100608,0.00063860,250,current_symbol_lane_paper_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat SOL with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-sol-solana-stablecoin-migration,SOL,solana_stablecoin_migration,paper_long,maker_or_low_fee_small,compare_taker_vs_low_fee,102.03065808,81.72147738,73.78300730,79.85851034,0.15100608,0.00025544,100,current_symbol_lane_paper_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat SOL with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-sol-sol-attention-price-context,SOL,sol_attention_price_context,paper_long,maker_or_low_fee_small,compare_taker_vs_low_fee,102.03065808,81.72147738,73.78300730,79.85851034,0.15100608,0.00025544,100,current_symbol_lane_paper_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat SOL with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-sol-sol-volume-price-dislocation,SOL,sol_volume_price_dislocation,paper_long,taker_small,repeat_taker_probe,97.95515504,81.72147738,73.78300730,73.78300730,0.15100608,0.00063860,250,current_symbol_lane_paper_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat SOL with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-sol-solana-stablecoin-migration,SOL,solana_stablecoin_migration,paper_long,taker_small,repeat_taker_probe,97.95515504,81.72147738,73.78300730,73.78300730,0.15100608,0.00025544,100,current_symbol_lane_paper_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat SOL with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-sol-sol-attention-price-context,SOL,sol_attention_price_context,paper_long,taker_small,repeat_taker_probe,97.95515504,81.72147738,73.78300730,73.78300730,0.15100608,0.00025544,100,current_symbol_lane_paper_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat SOL with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
paper-01-sui-repeat-execution,SUI,sui_hl_on_chain_flow_repeat_execution_gate,paper_long,maker_or_low_fee_small,compare_taker_vs_low_fee,84.47798077,66.60692552,57.15265091,63.81728821,1.32927461,0.01240597,1000,current_paper_ticket_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat SUI with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
paper-02-sui-repeat-execution,SUI,sui_okx_on_chain_flow_repeat_execution_gate,paper_long,maker_or_low_fee_small,compare_taker_vs_low_fee,83.70107267,65.55183946,56.48139274,63.14588872,1.32899196,0.00988595,1000,current_paper_ticket_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat SUI with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
paper-01-sui-repeat-execution,SUI,sui_hl_on_chain_flow_repeat_execution_gate,paper_long,taker_small,repeat_taker_probe,79.81334346,66.60692552,57.15265091,57.15265091,1.32927461,0.01240597,1000,current_paper_ticket_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat SUI with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
paper-02-sui-repeat-execution,SUI,sui_okx_on_chain_flow_repeat_execution_gate,paper_long,taker_small,repeat_taker_probe,79.03657669,65.55183946,56.48139274,56.48139274,1.32899196,0.00988595,1000,current_paper_ticket_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat SUI with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-lane-sol-sol-volume-price-dislocation,SOL,sol_volume_price_dislocation,paper_long,maker_or_low_fee_small,compare_taker_vs_low_fee,73.58208457,55.85913783,47.92066775,53.99617079,0.15100608,0.00063860,250,current_symbol_lane_promoted_repeat_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat SOL with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-paper-09-sol-volume-dislocation,SOL,sol_volume_price_dislocation,paper_long,maker_or_low_fee_small,compare_taker_vs_low_fee,71.39977710,53.87522195,45.93675187,52.01225491,0.15100608,0.00063860,250,current_promoted_ticket_repeat_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat SOL with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-lane-sol-sol-volume-price-dislocation,SOL,sol_volume_price_dislocation,paper_long,taker_small,repeat_taker_probe,69.50658153,55.85913783,47.92066775,47.92066775,0.15100608,0.00063860,250,current_symbol_lane_promoted_repeat_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat SOL with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-paper-09-sol-volume-dislocation,SOL,sol_volume_price_dislocation,paper_long,taker_small,repeat_taker_probe,67.32427406,53.87522195,45.93675187,45.93675187,0.15100608,0.00063860,250,current_promoted_ticket_repeat_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat SOL with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-paper-02-sui-repeat-execution,SUI,sui_okx_on_chain_flow_repeat_execution_gate,paper_long,maker_or_low_fee_small,compare_taker_vs_low_fee,50.07702936,35.33333333,25.87905872,32.54369603,1.32927461,0.01240597,1000,current_promoted_ticket_repeat_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat SUI with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-paper-26-sui-liquidation-intensity,SUI,sui_okx_liquidation_intensity_paper_gate,paper_long,maker_or_low_fee_small,compare_taker_vs_low_fee,50.07702936,35.33333333,25.87905872,32.54369603,1.32927461,0.00124060,100.00,current_promoted_ticket_repeat_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat SUI with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-paper-02-sui-repeat-execution,SUI,sui_okx_on_chain_flow_repeat_execution_gate,paper_long,taker_small,repeat_taker_probe,45.41239205,35.33333333,25.87905872,25.87905872,1.32927461,0.01240597,1000,current_promoted_ticket_repeat_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat SUI with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-paper-26-sui-liquidation-intensity,SUI,sui_okx_liquidation_intensity_paper_gate,paper_long,taker_small,repeat_taker_probe,45.41239205,35.33333333,25.87905872,25.87905872,1.32927461,0.00124060,100.00,current_promoted_ticket_repeat_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat SUI with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-paper-01-sui-repeat-execution,SUI,sui_hl_on_chain_flow_repeat_execution_gate,paper_long,maker_or_low_fee_small,compare_taker_vs_low_fee,41.25299526,27.31148415,17.85720954,24.52184684,1.32927461,0.01240597,1000,current_promoted_ticket_repeat_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat SUI with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-paper-19-sui-microstructure-flow,SUI,sui_microstructure_flow_paper_probe,paper_long,maker_or_low_fee_small,compare_taker_vs_low_fee,41.25299526,27.31148415,17.85720954,24.52184684,1.32927461,0.00124060,100.00,current_promoted_ticket_repeat_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat SUI with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-paper-01-sui-repeat-execution,SUI,sui_hl_on_chain_flow_repeat_execution_gate,paper_long,taker_small,repeat_taker_probe,36.58835795,27.31148415,17.85720954,17.85720954,1.32927461,0.01240597,1000,current_promoted_ticket_repeat_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat SUI with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-paper-19-sui-microstructure-flow,SUI,sui_microstructure_flow_paper_probe,paper_long,taker_small,repeat_taker_probe,36.58835795,27.31148415,17.85720954,17.85720954,1.32927461,0.00124060,100.00,current_promoted_ticket_repeat_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat SUI with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-hype-hype-protocol-fee-growth,HYPE,hype_protocol_fee_growth,paper_short,maker_or_low_fee_small,compare_taker_vs_low_fee,34.39479994,20.61520980,11.92634811,18.33327896,0.81386169,0.00221894,100,current_symbol_lane_paper_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat HYPE with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-hype-hype-protocol-fee-actionability,HYPE,hype_protocol_fee_actionability,paper_short,maker_or_low_fee_small,compare_taker_vs_low_fee,34.39479994,20.61520980,11.92634811,18.33327896,0.81386169,0.00221894,100,current_symbol_lane_paper_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat HYPE with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-hype-hype-unlock-actionability,HYPE,hype_unlock_actionability,paper_short,maker_or_low_fee_small,compare_taker_vs_low_fee,34.39479994,20.61520980,11.92634811,18.33327896,0.81386169,0.00221894,100,current_symbol_lane_paper_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat HYPE with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
