flow_date,label_start_date,flow_btc,rolling_5d_flow_btc,direction_hint,action,raw_return_1d,raw_return_3d,raw_return_5d,directional_return_1d,directional_return_3d,directional_return_5d,label_status
2024-01-12,2024-01-13,23629.00000000,23629.00000000,1,btc_etf_accumulation_label,-0.02594150,0.00668901,-0.03555258,-0.02594150,0.00668901,-0.03555258,labeled_5d
2024-01-17,2024-01-18,1019.00000000,24648.00000000,1,btc_etf_accumulation_label,0.00820606,0.00621686,-0.03468036,0.00820606,0.00621686,-0.03468036,labeled_5d
2024-01-18,2024-01-19,16744.00000000,41392.00000000,1,btc_etf_accumulation_label,0.00071048,-0.05029019,-0.03800807,0.00071048,-0.05029019,-0.03800807,labeled_5d
2024-01-19,2024-01-20,13148.00000000,54540.00000000,1,btc_etf_accumulation_label,-0.00268158,-0.04321713,-0.04169885,-0.00268158,-0.04321713,-0.04169885,labeled_5d
2024-01-23,2024-01-24,2653.00000000,57193.00000000,1,btc_etf_accumulation_label,-0.00312884,0.05048816,0.08006747,-0.00312884,0.05048816,0.08006747,labeled_5d
2024-01-24,2024-01-25,-486.00000000,33078.00000000,1,btc_etf_inflow_context_label,0.04638165,0.05175793,0.07421164,0.04638165,0.05175793,0.07421164,labeled_5d
2024-01-25,2024-01-26,-4262.00000000,27797.00000000,1,btc_etf_inflow_context_label,0.00707547,0.03543237,0.01803791,0.00707547,0.03543237,0.01803791,labeled_5d
2024-01-26,2024-01-27,-944.00000000,10109.00000000,1,btc_etf_inflow_context_label,-0.00192389,0.01938379,0.02304868,-0.00192389,0.01938379,0.02304868,labeled_5d
2024-01-29,2024-01-30,2383.00000000,-656.00000000,1,btc_etf_outflow_context_label,-0.00833677,0.00614423,-0.00810843,-0.00833677,0.00614423,-0.00810843,labeled_5d
2024-01-30,2024-01-31,7897.00000000,4588.00000000,1,btc_etf_accumulation_label,0.01203228,0.01014791,0.00311087,0.01203228,0.01014791,0.00311087,labeled_5d
2024-01-31,2024-02-01,12935.00000000,18009.00000000,1,btc_etf_accumulation_label,0.00253990,-0.01166171,0.00015091,0.00253990,-0.01166171,0.00015091,labeled_5d
2024-02-01,2024-02-02,6804.00000000,29075.00000000,1,btc_etf_accumulation_label,-0.00439072,-0.01132648,0.02649715,-0.00439072,-0.01132648,0.02649715,labeled_5d
2024-02-02,2024-02-03,8340.00000000,38359.00000000,1,btc_etf_accumulation_label,-0.00981801,0.00201664,0.05295587,-0.00981801,0.00201664,0.05295587,labeled_5d
2024-02-05,2024-02-06,3941.00000000,39917.00000000,1,btc_etf_accumulation_label,0.02894907,0.09371134,0.12127226,0.02894907,0.09371134,0.12127226,labeled_5d
2024-02-06,2024-02-07,1003.00000000,33023.00000000,1,btc_etf_accumulation_label,0.02127184,0.07684846,0.12672866,0.02127184,0.07684846,0.12672866,labeled_5d
2024-02-07,2024-02-08,4285.00000000,24373.00000000,1,btc_etf_accumulation_label,0.04080046,0.06702806,0.09779960,0.04080046,0.06702806,0.09779960,labeled_5d
2024-02-08,2024-02-09,10728.00000000,28297.00000000,1,btc_etf_accumulation_label,0.01308470,0.06001133,0.09990428,0.01308470,0.06001133,0.09990428,labeled_5d
2024-02-09,2024-02-10,19704.00000000,39661.00000000,1,btc_etf_accumulation_label,0.01195828,0.04114169,0.08727578,0.01195828,0.04114169,0.08727578,labeled_5d
2024-02-12,2024-02-13,16883.00000000,52603.00000000,1,btc_etf_accumulation_label,0.04279586,0.04934361,0.04989295,0.04279586,0.04934361,0.04989295,labeled_5d
