group_key,observations,mean_flow_btc,mean_rolling_5d_flow_btc,mean_start_funding_rate,mean_forward_5d_funding_rate,mean_funding_support_5d,mean_directional_5d,mean_directional_5d_with_funding,hit_rate_5d,hit_rate_5d_with_funding,action
large_5d_outflow__funding_aligned,45,-5241.55555556,-24371.84444444,0.000135558444,0.000571296222,0.000571296222,0.03107124,0.03164254,0.68888889,0.68888889,funding_regime_candidate
large_5d_outflow,51,-5236.17647059,-25190.64705882,0.000104564902,0.000446890980,0.000446890980,0.03057730,0.03102419,0.70588235,0.68627451,funding_regime_candidate
large_5d_outflow__funding_against,6,-5195.83333333,-31331.66666667,-0.000127886667,-0.000486148333,-0.000486148333,0.02687275,0.02638660,0.83333333,0.66666667,weak_or_insufficient
btc_etf_distribution_label__funding_aligned,76,-5184.61842105,-16139.31578947,0.000151331053,0.000709956053,0.000709956053,0.01685245,0.01756240,0.57894737,0.59210526,funding_regime_watch
btc_etf_distribution_label,86,-5394.96511628,-16608.08139535,0.000123536395,0.000585942442,0.000585942442,0.01513873,0.01572468,0.56976744,0.58139535,funding_regime_watch
btc_etf_inflow_context_label__funding_against,108,-1122.89814815,17147.92592593,0.000257798519,0.001242188241,-0.001242188241,0.01684801,0.01560582,0.58333333,0.57407407,weak_or_insufficient
btc_etf_inflow_context_label,139,-1393.24460432,15883.07194245,0.000206517410,0.000981011439,-0.000871944388,0.01637483,0.01550289,0.61870504,0.61151079,weak_or_insufficient
btc_etf_inflow_context_label__funding_aligned,31,-2335.09677419,11476.48387097,0.000027860645,0.000071105161,0.000417937419,0.01472634,0.01514428,0.74193548,0.74193548,funding_regime_candidate
large_5d_inflow__funding_against,196,7283.48979592,36844.45408163,0.000336989082,0.001654000510,-0.001654000510,0.01637724,0.01472324,0.56122449,0.53061224,weak_or_insufficient
large_5d_inflow,226,7099.85398230,36532.69469027,0.000282211239,0.001387414513,-0.001387414513,0.01522096,0.01383354,0.57964602,0.55309735,weak_or_insufficient
btc_etf_outflow_context_label__funding_aligned,64,570.17187500,-9394.32812500,0.000147485781,0.000711581563,0.000712033750,0.01090077,0.01161280,0.56250000,0.56250000,funding_regime_watch
btc_etf_accumulation_label__funding_against,209,8388.20095694,30334.51196172,0.000290599856,0.001480275072,-0.001480275072,0.01160635,0.01012608,0.56937799,0.54545455,weak_or_insufficient
btc_etf_accumulation_label,241,8280.51867220,29708.39419087,0.000241499710,0.001239052282,-0.001239052282,0.01089986,0.00966081,0.58091286,0.56016598,weak_or_insufficient
mixed_5d_flow__funding_aligned,128,-1004.60937500,-4612.39843750,0.000120624844,0.000592627656,0.000679000156,0.00787414,0.00855314,0.56250000,0.57031250,funding_regime_watch
large_5d_inflow__funding_aligned,30,5900.10000000,34495.86666667,-0.000075670667,-0.000354280667,0.000354280667,0.00766654,0.00802083,0.70000000,0.70000000,funding_regime_watch
btc_etf_accumulation_label__funding_aligned,32,7577.21875000,25619.06250000,-0.000079185625,-0.000336434063,0.000336434063,0.00628562,0.00662205,0.65625000,0.65625000,funding_regime_watch
btc_etf_outflow_context_label,86,1154.87209302,-8585.24418605,0.000126436744,0.000620511163,0.000363600000,0.00560175,0.00596535,0.46511628,0.45348837,funding_regime_watch
mixed_5d_flow,275,362.81454545,833.37454545,0.000142881782,0.000735927564,-0.000172316291,0.00613554,0.00596322,0.53818182,0.54181818,weak_or_insufficient
mixed_5d_flow__funding_against,147,1553.49659864,5575.27210884,0.000162261973,0.000860705714,-0.000913598639,0.00462165,0.00370805,0.51700680,0.51700680,weak_or_insufficient
btc_etf_distribution_label__funding_against,10,-6993.60000000,-20170.70000000,-0.000087703000,-0.000356561000,-0.000356561000,0.00211450,0.00175794,0.50000000,0.50000000,weak_or_insufficient
btc_etf_outflow_context_label__funding_against,22,2855.81818182,-6231.54545455,0.000065203182,0.000355579091,-0.000650025455,-0.00981356,-0.01046359,0.18181818,0.13636364,weak_or_insufficient
