group_key,observations,mean_flow_btc,mean_rolling_5d_flow_btc,mean_directional_1d,mean_directional_3d,mean_directional_5d,hit_rate_5d,action
large_5d_outflow,53,-5491.98113208,-25389.52830189,0.00500591,0.02192655,0.03437137,0.71698113,regime_candidate
btc_etf_distribution_label,89,-5566.01123596,-16890.39325843,-0.00270938,0.00857785,0.01862256,0.58426966,regime_candidate
btc_etf_inflow_context_label,139,-1393.24460432,15883.07194245,0.00414234,0.01047907,0.01637483,0.61870504,regime_candidate
large_5d_inflow,226,7099.85398230,36532.69469027,0.00357731,0.00609319,0.01522096,0.57964602,regime_candidate
small_daily_flow,351,116.29629630,8027.75213675,0.00368023,0.01061866,0.01413911,0.59544160,regime_candidate
large_daily_outflow,48,-9175.10416667,-13288.79166667,-0.00477534,-0.00004195,0.01404040,0.52083333,regime_watch
btc_etf_accumulation_label,241,8280.51867220,29708.39419087,0.00148820,0.00413716,0.01089986,0.58091286,regime_candidate
large_daily_inflow,156,11573.54487179,31705.22435897,0.00148476,0.00255431,0.00900873,0.53846154,regime_watch
mixed_5d_flow,276,334.76811594,779.52898551,0.00079848,0.00574072,0.00645112,0.53985507,regime_watch
btc_etf_outflow_context_label,86,1154.87209302,-8585.24418605,0.00698675,0.01054109,0.00560175,0.46511628,regime_watch
