asset,action,monitor_observations,monitor_mean_score,continuation_return_15m,spread_bps,bid_depth_5bps,ask_depth_5bps,near_touch_depth_5bps,actionability_score,note
XAU,short_liquidation_squeeze_watch,3,0.11336835,0.00016099,0.23078432,1602933.08420000,1214830.15380000,1214830.15380000,4.11658815,first checks support follow-up
MU,long_liquidation_cascade_watch,3,0.26199090,,0.10743504,15882.78870000,96700.62830000,15882.78870000,0.18099545,waiting for matching forward label
ETH,short_liquidation_squeeze_watch,3,0.02755346,,0.05952399,947889.01462000,1928078.04651000,947889.01462000,0.06377673,waiting for matching forward label
BEAT,long_liquidation_cascade_watch,3,0.06998681,,0.23331506,1242.51200000,6731.41400000,1242.51200000,0.04120596,waiting for matching forward label
WLD,mixed_liquidation_flow_watch,3,0.01778494,,2.16661250,20294.90860000,5550.00300000,5550.00300000,0.03664249,waiting for matching forward label
PEPE,long_liquidation_cascade_watch,3,0.00005989,0.00177809,,,,,0.03562169,first checks support follow-up
HOME,short_liquidation_squeeze_watch,3,0.04764173,,3.17510716,698.87100000,1335.86200000,698.87100000,0.02731522,waiting for matching forward label
BSB,short_liquidation_squeeze_watch,3,0.01527014,,3.06138068,1926.37600000,2205.67800000,1926.37600000,0.01726695,waiting for matching forward label
ALLO,mixed_liquidation_flow_watch,3,0.02234686,,0.23205894,1201.87950000,2651.07770000,1201.87950000,0.01718283,waiting for matching forward label
BTC,short_liquidation_squeeze_watch,3,0.02457851,-0.00248626,0.01582312,358952.15807000,920551.01054000,358952.15807000,0.00245785,continuation label weak
OPN,mixed_liquidation_flow_watch,3,0.00445348,,,,,,0.00222674,waiting for matching forward label
ZEC,short_liquidation_squeeze_watch,3,0.01539813,-0.00802546,0.23782061,29647.72950000,74452.38680000,29647.72950000,0.00153981,continuation label weak
SUI,mixed_liquidation_flow_watch,3,0.00284125,,,,,,0.00142063,waiting for matching forward label
CL,long_liquidation_cascade_watch,3,0.01059244,-0.00065090,,,,,0.00105924,continuation label weak
LAB,long_liquidation_cascade_watch,3,0.00542134,-0.00654155,,,,,0.00054213,continuation label weak
