timestamp,asset,action,direction,raw_return_15m,raw_return_1h,continuation_return_15m,continuation_return_1h
2026-06-08T14:52:53.574000+00:00,MRVL,short_liquidation_squeeze_watch,1,-0.00100503,,-0.00100503,
2026-06-08T15:02:50.698000+00:00,BCH,short_liquidation_squeeze_watch,1,,,,
2026-06-08T14:59:34.650000+00:00,SNDK,short_liquidation_squeeze_watch,1,-0.00238450,,-0.00238450,
2026-06-08T15:03:02.525000+00:00,ETH,short_liquidation_squeeze_watch,1,,,,
2026-06-08T15:00:09.921000+00:00,BSB,short_liquidation_squeeze_watch,1,,,,
2026-06-08T15:02:48.990000+00:00,WLD,long_liquidation_cascade_watch,-1,,,,
2026-06-08T15:03:02.902000+00:00,BTC,short_liquidation_squeeze_watch,1,,,,
2026-06-08T15:02:48.900000+00:00,ZEC,short_liquidation_squeeze_watch,1,,,,
2026-06-08T15:02:40.542000+00:00,BNB,short_liquidation_squeeze_watch,1,,,,
2026-06-08T14:52:10.486000+00:00,MU,long_liquidation_cascade_watch,-1,-0.00269653,,0.00269653,
2026-06-08T14:58:01.592000+00:00,XRP,short_liquidation_squeeze_watch,1,0.00085397,,0.00085397,
2026-06-08T14:11:18.936000+00:00,XAU,long_liquidation_cascade_watch,-1,0.00055526,0.00349351,-0.00055526,-0.00349351
2026-06-08T15:03:02.526000+00:00,DOGE,short_liquidation_squeeze_watch,1,,,,
2026-06-08T14:53:23.411000+00:00,ALLO,mixed_liquidation_flow_watch,0,0.00670870,,,
2026-06-08T14:05:53.089000+00:00,XAG,long_liquidation_cascade_watch,-1,0.00279823,0.00780560,-0.00279823,-0.00780560
2026-06-08T14:52:53.575000+00:00,TON,short_liquidation_squeeze_watch,1,0.00464037,,0.00464037,
2026-06-08T14:38:42.601000+00:00,HYPE,long_liquidation_cascade_watch,-1,0.00123820,,-0.00123820,
2026-06-08T15:01:12.199000+00:00,SOL,short_liquidation_squeeze_watch,1,,,,
2026-06-08T14:39:49.632000+00:00,CL,short_liquidation_squeeze_watch,1,0.00120746,,0.00120746,
2026-06-08T14:46:14.599000+00:00,ONDO,short_liquidation_squeeze_watch,1,0.00054422,,0.00054422,
2026-06-08T14:50:22.110000+00:00,NEAR,short_liquidation_squeeze_watch,1,0.00415321,,0.00415321,
2026-06-08T14:42:54.092000+00:00,HOME,long_liquidation_cascade_watch,-1,0.00978155,,-0.00978155,
2026-06-08T14:42:21.357000+00:00,FIL,long_liquidation_cascade_watch,-1,0.00269958,,-0.00269958,
2026-06-08T15:02:58.669000+00:00,ADA,short_liquidation_squeeze_watch,1,,,,
2026-06-08T14:51:40.627000+00:00,BEAT,mixed_liquidation_flow_watch,0,-0.00148287,,,
2026-06-08T14:50:22.818000+00:00,PIPPIN,mixed_liquidation_flow_watch,0,-0.00099256,,,
