asset,action,label_status,trade_direction,candidate_size_usd,label_bps_15m,spread_bps,depth_10bps_notional,visible_depth_usage,conservative_cost_bps,conservative_net_bps,gate_action,reason,next_step
ALLO,short_liquidation_squeeze_watch,continuation_15m_supported_pending_1h,long,100.00,398.71670000,0.23904287,8556.20080000,0.01168743,10.35591717,388.36078283,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for ALLO 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
ALLO,short_liquidation_squeeze_watch,continuation_15m_supported_pending_1h,long,250.00,398.71670000,0.23904287,8556.20080000,0.02921858,10.53122863,388.18547137,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for ALLO 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
ALLO,short_liquidation_squeeze_watch,continuation_15m_supported_pending_1h,long,500.00,398.71670000,0.23904287,8556.20080000,0.05843715,10.82341438,387.89328562,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for ALLO 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
ALLO,short_liquidation_squeeze_watch,continuation_15m_supported_pending_1h,long,1000.00,398.71670000,0.23904287,8556.20080000,0.11687430,11.40778590,387.30891410,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for ALLO 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
FIL,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,100.00,39.63540000,1.31760986,54515.56917000,0.00183434,11.33595324,28.29944676,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for FIL 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
FIL,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,250.00,39.63540000,1.31760986,54515.56917000,0.00458585,11.36346831,28.27193169,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for FIL 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
FIL,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,500.00,39.63540000,1.31760986,54515.56917000,0.00917169,11.40932677,28.22607323,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for FIL 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
FIL,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,1000.00,39.63540000,1.31760986,54515.56917000,0.01834338,11.50104369,28.13435631,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for FIL 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
BNB,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,100.00,37.11830000,1.68053105,388416.31000000,0.00025746,11.68310560,25.43519440,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for BNB 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
BNB,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,250.00,37.11830000,1.68053105,388416.31000000,0.00064364,11.68696744,25.43133256,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for BNB 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
