asset,action,observations,coverage_15m,hit_rate_15m,mean_continuation_return_15m,coverage_1h,hit_rate_1h,mean_continuation_return_1h
ONDO,short_liquidation_squeeze_watch,3,3,1.00000000,0.00745199,3,1.00000000,0.00200631
JTO,long_liquidation_cascade_watch,3,3,1.00000000,0.00512082,3,1.00000000,0.00112018
LTC,long_liquidation_cascade_watch,3,3,1.00000000,0.00259863,3,1.00000000,0.00826837
HYPE,long_liquidation_cascade_watch,3,3,1.00000000,0.00237570,3,1.00000000,0.00848464
LAB,short_liquidation_squeeze_watch,3,3,1.00000000,0.00231107,3,1.00000000,0.01764117
DOGE,long_liquidation_cascade_watch,3,3,1.00000000,0.00188768,3,0.00000000,-0.00094384
H,short_liquidation_squeeze_watch,3,3,1.00000000,0.00024011,3,1.00000000,0.07349745
BEAT,short_liquidation_squeeze_watch,3,3,0.00000000,-0.00145228,3,1.00000000,0.03838174
XLM,long_liquidation_cascade_watch,3,3,0.00000000,-0.00147565,3,1.00000000,0.00787014
NEAR,short_liquidation_squeeze_watch,3,3,0.00000000,-0.00736739,3,1.00000000,0.02799607
EDEN,long_liquidation_cascade_watch,3,3,0.00000000,-0.00876357,3,1.00000000,0.03257763
ALLO,long_liquidation_cascade_watch,3,3,0.00000000,-0.01507404,3,0.00000000,-0.02818912
WLD,short_liquidation_squeeze_watch,3,3,0.00000000,-0.02644761,0,,
BSB,mixed_liquidation_flow_watch,3,0,,,0,,
BTC,mixed_liquidation_flow_watch,3,0,,,0,,
ETH,mixed_liquidation_flow_watch,3,0,,,0,,
HOME,mixed_liquidation_flow_watch,3,0,,,0,,
OPN,mixed_liquidation_flow_watch,3,0,,,0,,
ZEC,mixed_liquidation_flow_watch,3,0,,,0,,
