sample_index,timestamp,asset,action,observations,latest_liquidation_at,total_liquidation_notional,liquidation_to_volume,forced_buy_sell_imbalance,cascade_score
0,2026-06-07T15:46:16.827173+00:00,BEAT,short_liquidation_squeeze_watch,110,2026-06-07T15:43:11.119000+00:00,174480.32600000,0.00059284,1.00000000,0.12762789
0,2026-06-07T15:46:16.827173+00:00,WLD,short_liquidation_squeeze_watch,292,2026-06-07T15:46:04.148000+00:00,512887.14530000,0.00103081,0.66487976,0.12189035
0,2026-06-07T15:46:16.827173+00:00,BSB,mixed_liquidation_flow_watch,684,2026-06-07T15:45:43.900000+00:00,597731.23700000,0.00257737,0.37372506,0.10959879
0,2026-06-07T15:46:16.827173+00:00,JTO,long_liquidation_cascade_watch,63,2026-06-07T15:44:30.934000+00:00,41203.47910000,0.00070941,-0.76918669,0.09454688
0,2026-06-07T15:46:16.827173+00:00,ZEC,mixed_liquidation_flow_watch,196,2026-06-07T15:45:59.149000+00:00,403705.89660000,0.00038031,0.46213413,0.05052348
0,2026-06-07T15:46:16.827173+00:00,LTC,long_liquidation_cascade_watch,1,2026-06-07T15:12:58.783000+00:00,4186.97500000,0.00009377,-1.00000000,0.03507260
0,2026-06-07T15:46:16.827173+00:00,XLM,long_liquidation_cascade_watch,1,2026-06-07T15:00:59.715000+00:00,3312.66000000,0.00004339,-1.00000000,0.02318682
0,2026-06-07T15:46:16.827173+00:00,H,short_liquidation_squeeze_watch,9,2026-06-07T15:44:22.067000+00:00,4006.93680000,0.00003491,1.00000000,0.02128729
0,2026-06-07T15:46:16.827173+00:00,HOME,mixed_liquidation_flow_watch,44,2026-06-07T15:44:07.932000+00:00,17002.68700000,0.00030483,-0.24466692,0.01807163
0,2026-06-07T15:46:16.827173+00:00,ONDO,short_liquidation_squeeze_watch,2,2026-06-07T15:26:20.101000+00:00,1162.18800000,0.00002973,1.00000000,0.01671479
0,2026-06-07T15:46:16.827173+00:00,DOGE,long_liquidation_cascade_watch,3,2026-06-07T15:39:43.511000+00:00,5940.57720000,0.00001790,-1.00000000,0.01596592
0,2026-06-07T15:46:16.827173+00:00,NEAR,short_liquidation_squeeze_watch,8,2026-06-07T15:38:46.231000+00:00,1986.89500000,0.00001706,0.73614006,0.01002864
