asset,action,observations,mean_cascade_score,min_cascade_score,mean_total_liquidation_notional,mean_liquidation_to_volume,mean_forced_buy_sell_imbalance,latest_liquidation_at
MU,long_liquidation_cascade_watch,3,0.26199090,0.26187781,201390.78070000,0.00243983,-1.00000000,2026-06-08T00:00:06.001000+00:00
XAU,short_liquidation_squeeze_watch,3,0.11336835,0.11336195,51243.34700000,0.00057944,1.00000000,2026-06-07T23:55:27.333000+00:00
BEAT,long_liquidation_cascade_watch,3,0.06998681,0.06993754,238457.74100000,0.00051868,-0.57146979,2026-06-08T00:02:05.039000+00:00
HOME,short_liquidation_squeeze_watch,3,0.04764173,0.04731529,8839.73200000,0.00014574,1.00000000,2026-06-08T00:00:19.844000+00:00
ETH,short_liquidation_squeeze_watch,3,0.02755346,0.02755108,232837.19493000,0.00002636,1.00000000,2026-06-08T00:00:13.744000+00:00
BTC,short_liquidation_squeeze_watch,3,0.02457851,0.02457722,197164.46722000,0.00002155,1.00000000,2026-06-07T23:49:10.744000+00:00
ALLO,mixed_liquidation_flow_watch,3,0.02234686,0.02229571,30703.23180000,0.00011850,0.45749090,2026-06-08T00:04:12.373000+00:00
WLD,mixed_liquidation_flow_watch,3,0.01778494,0.01777654,33973.26750000,0.00006522,0.48603617,2026-06-08T00:01:29.109000+00:00
ZEC,short_liquidation_squeeze_watch,3,0.01539813,0.01539035,30427.24463333,0.00002599,0.67367086,2026-06-08T00:05:54.478000+00:00
BSB,short_liquidation_squeeze_watch,3,0.01527014,0.01526199,17782.43100000,0.00005014,0.50742944,2026-06-08T00:05:11.337000+00:00
CL,long_liquidation_cascade_watch,3,0.01059244,0.01059139,781.57500000,0.00001341,-1.00000000,2026-06-07T23:31:27.687000+00:00
LAB,long_liquidation_cascade_watch,3,0.00542134,0.00541954,822.64300000,0.00000346,-1.00000000,2026-06-07T23:54:07.837000+00:00
OPN,mixed_liquidation_flow_watch,3,0.00445348,0.00445155,1082.87700000,0.00002195,-0.31326827,2026-06-08T00:00:28.812000+00:00
SUI,mixed_liquidation_flow_watch,3,0.00284125,0.00284119,479.26240000,0.00000503,0.47236921,2026-06-07T23:49:00.749000+00:00
PEPE,long_liquidation_cascade_watch,3,0.00005989,0.00005988,2.77200000,0.00000002,-1.00000000,2026-06-07T23:18:59.830000+00:00
