asset,action,candidate_size_usd,gross_continuation_bps,fee_bps_per_fill,round_trip_fee_bps,spread_cost_bps,visible_depth_impact_bps,conservative_cost_bps,conservative_net_bps,near_touch_depth_5bps,visible_depth_usage,gate_action,reason
XAU,short_liquidation_squeeze_watch,100.00,1.60990000,5.00000000,10.00000000,0.23055552,0.00094104,10.23149656,-8.62159656,1062652.64570000,0.00009410,blocked_by_cost,"fee, spread, and impact proxy consume the short-window edge"
XAU,short_liquidation_squeeze_watch,250.00,1.60990000,5.00000000,10.00000000,0.23055552,0.00235260,10.23290812,-8.62300812,1062652.64570000,0.00023526,blocked_by_cost,"fee, spread, and impact proxy consume the short-window edge"
XAU,short_liquidation_squeeze_watch,500.00,1.60990000,5.00000000,10.00000000,0.23055552,0.00470521,10.23526073,-8.62536073,1062652.64570000,0.00047052,blocked_by_cost,"fee, spread, and impact proxy consume the short-window edge"
XAU,short_liquidation_squeeze_watch,1000.00,1.60990000,5.00000000,10.00000000,0.23055552,0.00941041,10.23996593,-8.63006593,1062652.64570000,0.00094104,blocked_by_cost,"fee, spread, and impact proxy consume the short-window edge"
XAU,short_liquidation_squeeze_watch,2500.00,1.60990000,5.00000000,10.00000000,0.23055552,0.02352603,10.25408155,-8.64418155,1062652.64570000,0.00235260,blocked_by_cost,"fee, spread, and impact proxy consume the short-window edge"
XAU,short_liquidation_squeeze_watch,5000.00,1.60990000,5.00000000,10.00000000,0.23055552,0.04705206,10.27760758,-8.66770758,1062652.64570000,0.00470521,blocked_by_cost,"fee, spread, and impact proxy consume the short-window edge"
BTC,short_liquidation_squeeze_watch,100.00,-24.86260000,5.00000000,10.00000000,0.01563799,0.00183472,10.01747271,-34.88007271,545042.85523000,0.00018347,blocked_by_label,monitor label is not positive
BTC,short_liquidation_squeeze_watch,250.00,-24.86260000,5.00000000,10.00000000,0.01563799,0.00458680,10.02022479,-34.88282479,545042.85523000,0.00045868,blocked_by_label,monitor label is not positive
BTC,short_liquidation_squeeze_watch,500.00,-24.86260000,5.00000000,10.00000000,0.01563799,0.00917359,10.02481158,-34.88741158,545042.85523000,0.00091736,blocked_by_label,monitor label is not positive
BTC,short_liquidation_squeeze_watch,1000.00,-24.86260000,5.00000000,10.00000000,0.01563799,0.01834718,10.03398517,-34.89658517,545042.85523000,0.00183472,blocked_by_label,monitor label is not positive
BTC,short_liquidation_squeeze_watch,2500.00,-24.86260000,5.00000000,10.00000000,0.01563799,0.04586795,10.06150594,-34.92410594,545042.85523000,0.00458680,blocked_by_label,monitor label is not positive
BTC,short_liquidation_squeeze_watch,5000.00,-24.86260000,5.00000000,10.00000000,0.01563799,0.09173591,10.10737390,-34.96997390,545042.85523000,0.00917359,blocked_by_label,monitor label is not positive
ZEC,short_liquidation_squeeze_watch,100.00,-80.25460000,5.00000000,10.00000000,0.22601679,0.07412668,10.30014347,-90.55474347,13490.41940000,0.00741267,blocked_by_label,monitor label is not positive
ZEC,short_liquidation_squeeze_watch,250.00,-80.25460000,5.00000000,10.00000000,0.22601679,0.18531670,10.41133349,-90.66593349,13490.41940000,0.01853167,blocked_by_label,monitor label is not positive
ZEC,short_liquidation_squeeze_watch,500.00,-80.25460000,5.00000000,10.00000000,0.22601679,0.37063340,10.59665019,-90.85125019,13490.41940000,0.03706334,blocked_by_label,monitor label is not positive
