symbol,name,coin_id,market_cap_rank,current_price,market_cap,total_volume,volume_to_market_cap,price_change_1h,price_change_24h,price_change_7d,price_change_30d,status,side,score,evidence,next_step
HOME,HOME,home,253,0.029152370000,111866369.00000000,165801723.00000000,1.48214092,-2.48870509,-5.81078152,-43.79090044,92.24773175,capitulation_reversal_watch,watch_reversal_trigger,55.35000000,rank=253; price_1h=-2.49; price_24h=-5.81; price_7d=-43.79; price_30d=92.25; volume_to_mcap=1.4821,"wait for HOME reversal trigger, then label capitulation rebound"
CHZ,Chiliz,chiliz,138,0.025871130000,270059095.00000000,76152948.00000000,0.28198624,-1.11595507,3.35016930,-28.84912255,-42.82157249,volume_reversal_candidate,long_reversal,53.36934353,rank=138; price_1h=-1.12; price_24h=3.35; price_7d=-28.85; price_30d=-42.82; volume_to_mcap=0.2820,"paper-label CHZ volume-backed reversal over 1h, 4h, 12h, and 24h"
BCH,Bitcoin Cash,bitcoin-cash,26,206.750000000000,4149235267.00000000,626424196.00000000,0.15097341,-1.29616197,-10.08824812,-28.80894780,-54.05963251,capitulation_reversal_watch,watch_reversal_trigger,51.56735238,rank=26; price_1h=-1.30; price_24h=-10.09; price_7d=-28.81; price_30d=-54.06; volume_to_mcap=0.1510,"wait for BCH reversal trigger, then label capitulation rebound"
WLD,Worldcoin,worldcoin-wld,48,0.496090000000,1671028587.00000000,625077061.00000000,0.37406725,0.73417185,3.08062302,15.55805776,83.39215170,chase_risk,wait_or_fade_watch,51.44803792,rank=48; price_1h=0.73; price_24h=3.08; price_7d=15.56; price_30d=83.39; volume_to_mcap=0.3741,avoid chasing WLD; label pullback or fade setup first
IP,Story,story-2,258,0.306577000000,109695145.00000000,32221914.00000000,0.29374057,-0.44286098,-4.82464523,-30.67915762,-47.92474112,capitulation_reversal_watch,watch_reversal_trigger,50.40359159,rank=258; price_1h=-0.44; price_24h=-4.82; price_7d=-30.68; price_30d=-47.92; volume_to_mcap=0.2937,"wait for IP reversal trigger, then label capitulation rebound"
XPL,Plasma,plasma,182,0.068664000000,181264780.00000000,53534701.00000000,0.29533978,-1.96838014,-1.75716165,-25.72822317,-35.30608440,capitulation_reversal_watch,watch_reversal_trigger,49.34861022,rank=182; price_1h=-1.97; price_24h=-1.76; price_7d=-25.73; price_30d=-35.31; volume_to_mcap=0.2953,"wait for XPL reversal trigger, then label capitulation rebound"
SEI,Sei,sei-network,129,0.048496950000,327244408.00000000,49775683.00000000,0.15210553,-1.70761012,-2.36573139,-31.08270069,-31.18716438,capitulation_reversal_watch,watch_reversal_trigger,48.75903229,rank=129; price_1h=-1.71; price_24h=-2.37; price_7d=-31.08; price_30d=-31.19; volume_to_mcap=0.1521,"wait for SEI reversal trigger, then label capitulation rebound"
VELVET,Velvet,velvet,217,0.330988000000,138768572.00000000,31054266.00000000,0.22378458,3.83255554,30.01554886,256.39815660,266.82486243,chase_risk,wait_or_fade_watch,47.57707454,rank=217; price_1h=3.83; price_24h=30.02; price_7d=256.40; price_30d=266.82; volume_to_mcap=0.2238,avoid chasing VELVET; label pullback or fade setup first
APT,Aptos,aptos,96,0.663544000000,545944977.00000000,62439075.00000000,0.11436881,-1.12469902,-1.12290795,-29.24210777,-40.32406279,capitulation_reversal_watch,watch_reversal_trigger,46.30423611,rank=96; price_1h=-1.12; price_24h=-1.12; price_7d=-29.24; price_30d=-40.32; volume_to_mcap=0.1144,"wait for APT reversal trigger, then label capitulation rebound"
VIRTUAL,Virtuals Protocol,virtual-protocol,121,0.573648000000,377803739.00000000,90595945.00000000,0.23979632,-1.40218484,-1.72089710,-22.39081599,-38.54162040,capitulation_reversal_watch,watch_reversal_trigger,45.72859499,rank=121; price_1h=-1.40; price_24h=-1.72; price_7d=-22.39; price_30d=-38.54; volume_to_mcap=0.2398,"wait for VIRTUAL reversal trigger, then label capitulation rebound"
