ticket_id,opened_at,checked_at,elapsed_minutes,checkpoint_status,opportunity,decision,symbol,venue,entry_mark,current_mark,current_source,raw_return_bps,directional_return_bps,outcome,missing_evidence,next_step
market-breadth-hype-long-reversal,2026-06-08T23:55:52+00:00,2026-06-09T00:48:37+00:00,52.75,ready,volume_price_dislocation:HYPE,paper_long,HYPE,hyperliquid,63.439000000000,62.290000000000,hl_execution_context,-181.11887010,-181.11887010,paper_mark_loss,,do not promote HYPE without another fresh positive dislocation label
market-breadth-inj-long-reversal,2026-06-08T23:55:52+00:00,2026-06-09T00:48:37+00:00,52.75,ready,volume_price_dislocation:INJ,paper_long,INJ,hyperliquid,5.631500000000,5.464500000000,hl_execution_context,-296.54621326,-296.54621326,paper_mark_loss,,do not promote INJ without another fresh positive dislocation label
market-breadth-eigen-long-reversal,2026-06-08T23:55:52+00:00,2026-06-09T00:48:37+00:00,52.75,ready,volume_price_dislocation:EIGEN,paper_long,EIGEN,hyperliquid,0.180100000000,0.181600000000,hyperliquid_snapshot,83.28706274,83.28706274,paper_mark_win,,refresh EIGEN fill/funding/depth and test whether the setup repeats
market-breadth-pump-long-reversal,2026-06-08T23:55:52+00:00,2026-06-09T00:48:37+00:00,52.75,ready,volume_price_dislocation:PUMP,paper_long,PUMP,hyperliquid,0.001622000000,0.001560000000,hyperliquid_snapshot,-382.24414303,-382.24414303,paper_mark_loss,,do not promote PUMP without another fresh positive dislocation label
market-breadth-xpl-long-reversal,2026-06-08T23:55:52+00:00,2026-06-09T00:48:37+00:00,52.75,ready,volume_price_dislocation:XPL,paper_long,XPL,hyperliquid,0.069911000000,0.068140000000,hyperliquid_snapshot,-253.32208093,-253.32208093,paper_mark_loss,,do not promote XPL without another fresh positive dislocation label
market-breadth-sol-long-reversal,2026-06-08T23:55:52+00:00,2026-06-09T00:48:37+00:00,52.75,ready,volume_price_dislocation:SOL,paper_long,SOL,hyperliquid,66.705000000000,65.463000000000,hl_execution_context,-186.19293906,-186.19293906,paper_mark_loss,,do not promote SOL without another fresh positive dislocation label
market-breadth-link-long-reversal,2026-06-08T23:55:52+00:00,2026-06-09T00:48:37+00:00,52.75,ready,volume_price_dislocation:LINK,paper_long,LINK,hyperliquid,7.986000000000,7.829000000000,hyperliquid_snapshot,-196.59403957,-196.59403957,paper_mark_loss,,do not promote LINK without another fresh positive dislocation label
market-breadth-eth-long-reversal,2026-06-09T00:31:20+00:00,2026-06-09T00:48:37+00:00,17.29,ready,volume_price_dislocation:ETH,paper_long,ETH,hyperliquid,1686.700000000000,1663.500000000000,hl_execution_context,-137.54668880,-137.54668880,paper_mark_loss,,do not promote ETH without another fresh positive dislocation label
market-breadth-virtual-long-reversal,2026-06-09T00:31:20+00:00,2026-06-09T00:48:37+00:00,17.29,ready,volume_price_dislocation:VIRTUAL,paper_long,VIRTUAL,hyperliquid,0.582110000000,0.570180000000,hyperliquid_snapshot,-204.94408273,-204.94408273,paper_mark_loss,,do not promote VIRTUAL without another fresh positive dislocation label
market-breadth-render-long-reversal,2026-06-09T00:31:20+00:00,2026-06-09T00:48:37+00:00,17.29,ready,volume_price_dislocation:RENDER,paper_long,RENDER,hyperliquid,1.639000000000,1.598100000000,hyperliquid_snapshot,-249.54240390,-249.54240390,paper_mark_loss,,do not promote RENDER without another fresh positive dislocation label
market-breadth-trump-long-reversal,2026-06-09T00:31:20+00:00,2026-06-09T00:48:37+00:00,17.29,ready,volume_price_dislocation:TRUMP,paper_long,TRUMP,hyperliquid,1.681500000000,1.646600000000,hyperliquid_snapshot,-207.55278026,-207.55278026,paper_mark_loss,,do not promote TRUMP without another fresh positive dislocation label
market-breadth-arb-long-reversal,2026-06-09T00:32:51+00:00,2026-06-09T00:48:37+00:00,15.77,ready,volume_price_dislocation:ARB,paper_long,ARB,hyperliquid,0.080790000000,0.080420000000,hl_execution_context,-45.79774725,-45.79774725,paper_mark_loss,,do not promote ARB without another fresh positive dislocation label
