ticket_id,opened_at,rank,opportunity,probe_type,status,setup,decision,symbol,name,venue,candidate_size_usd,observation_horizon,checkpoints,entry_mark,entry_source,conservative_net_4h_bps,required_record,next_step
market-breadth-hype-long-reversal,2026-06-08T23:55:52+00:00,1,volume_price_dislocation:HYPE,market_breadth_dislocation_repeat,labeled_24h,long_reversal,paper_long,HYPE,Hyperliquid,hyperliquid,250,"15m,1h,4h","15m,1h,4h",63.439000000000,hyperliquid,488.24625459,"repeat mark outcome, realized fill/slippage assumption, funding, depth, stop behavior, and whether the cross-asset dislocation repeats","watch HYPE market-breadth paper probe and record 15m, 1h, and 4h outcomes"
market-breadth-inj-long-reversal,2026-06-08T23:55:52+00:00,2,volume_price_dislocation:INJ,market_breadth_dislocation_repeat,labeled_24h,long_reversal,paper_long,INJ,Injective,hyperliquid,250,"15m,1h,4h","15m,1h,4h",5.631500000000,hyperliquid,442.27774874,"repeat mark outcome, realized fill/slippage assumption, funding, depth, stop behavior, and whether the cross-asset dislocation repeats","watch INJ market-breadth paper probe and record 15m, 1h, and 4h outcomes"
market-breadth-eigen-long-reversal,2026-06-08T23:55:52+00:00,3,volume_price_dislocation:EIGEN,market_breadth_dislocation_repeat,labeled_24h,long_reversal,paper_long,EIGEN,EigenCloud (prev. EigenLayer),hyperliquid,250,"15m,1h,4h","15m,1h,4h",0.180100000000,hyperliquid,379.90027022,"repeat mark outcome, realized fill/slippage assumption, funding, depth, stop behavior, and whether the cross-asset dislocation repeats","watch EIGEN market-breadth paper probe and record 15m, 1h, and 4h outcomes"
market-breadth-pump-long-reversal,2026-06-08T23:55:52+00:00,4,volume_price_dislocation:PUMP,market_breadth_dislocation_repeat,labeled_24h,long_reversal,paper_long,PUMP,Pump.fun,hyperliquid,250,"15m,1h,4h","15m,1h,4h",0.001622000000,hyperliquid,189.14997180,"repeat mark outcome, realized fill/slippage assumption, funding, depth, stop behavior, and whether the cross-asset dislocation repeats","watch PUMP market-breadth paper probe and record 15m, 1h, and 4h outcomes"
market-breadth-xpl-long-reversal,2026-06-08T23:55:52+00:00,6,volume_price_dislocation:XPL,market_breadth_dislocation_repeat,labeled_24h,long_reversal,paper_long,XPL,Plasma,hyperliquid,250,"15m,1h,4h","15m,1h,4h",0.069911000000,hyperliquid,93.88610812,"repeat mark outcome, realized fill/slippage assumption, funding, depth, stop behavior, and whether the cross-asset dislocation repeats","watch XPL market-breadth paper probe and record 15m, 1h, and 4h outcomes"
market-breadth-sol-long-reversal,2026-06-08T23:55:52+00:00,7,volume_price_dislocation:SOL,market_breadth_dislocation_repeat,labeled_24h,long_reversal,paper_long,SOL,Solana,hyperliquid,250,"15m,1h,4h","15m,1h,4h",66.705000000000,hyperliquid,56.58145182,"repeat mark outcome, realized fill/slippage assumption, funding, depth, stop behavior, and whether the cross-asset dislocation repeats","watch SOL market-breadth paper probe and record 15m, 1h, and 4h outcomes"
market-breadth-link-long-reversal,2026-06-08T23:55:52+00:00,8,volume_price_dislocation:LINK,market_breadth_dislocation_repeat,labeled_24h,long_reversal,paper_long,LINK,Chainlink,hyperliquid,250,"15m,1h,4h","15m,1h,4h",7.986000000000,hyperliquid,48.32689455,"repeat mark outcome, realized fill/slippage assumption, funding, depth, stop behavior, and whether the cross-asset dislocation repeats","watch LINK market-breadth paper probe and record 15m, 1h, and 4h outcomes"
market-breadth-eth-long-reversal,2026-06-09T00:31:20+00:00,9,volume_price_dislocation:ETH,market_breadth_dislocation_repeat,labeled_24h,long_reversal,paper_long,ETH,Ethereum,hyperliquid,250,"15m,1h,4h","15m,1h,4h",1686.700000000000,hyperliquid,38.42613529,"repeat mark outcome, realized fill/slippage assumption, funding, depth, stop behavior, and whether the cross-asset dislocation repeats","watch ETH market-breadth paper probe and record 15m, 1h, and 4h outcomes"
market-breadth-virtual-long-reversal,2026-06-09T00:31:20+00:00,10,volume_price_dislocation:VIRTUAL,market_breadth_dislocation_repeat,labeled_24h,long_reversal,paper_long,VIRTUAL,Virtuals Protocol,hyperliquid,250,"15m,1h,4h","15m,1h,4h",0.582110000000,hyperliquid,30.59371778,"repeat mark outcome, realized fill/slippage assumption, funding, depth, stop behavior, and whether the cross-asset dislocation repeats","watch VIRTUAL market-breadth paper probe and record 15m, 1h, and 4h outcomes"
market-breadth-render-long-reversal,2026-06-09T00:31:20+00:00,11,volume_price_dislocation:RENDER,market_breadth_dislocation_repeat,labeled_24h,long_reversal,paper_long,RENDER,Render,hyperliquid,250,"15m,1h,4h","15m,1h,4h",1.639000000000,hyperliquid,22.86221077,"repeat mark outcome, realized fill/slippage assumption, funding, depth, stop behavior, and whether the cross-asset dislocation repeats","watch RENDER market-breadth paper probe and record 15m, 1h, and 4h outcomes"
