observed_at,symbol,name,coin_id,status,side,direction,market_cap_rank,current_price,volume_to_market_cap,price_change_24h,price_change_7d,price_change_30d,score,observation_status,next_step
2026-06-07T22:55:00+00:00,AAVE,Aave,aave,volume_reversal_candidate,long_reversal,1,71,64.150000000000,0.20926535,6.37385514,-21.36694793,-33.29612131,51.74672420,ready_for_label,"paper-label AAVE volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,ADA,Cardano,cardano,volume_reversal_candidate,long_reversal,1,18,0.165445000000,0.09238585,5.87621612,-29.49674198,-39.02186795,50.51936740,ready_for_label,"paper-label ADA volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,ALGO,Algorand,algorand,volume_reversal_candidate,long_reversal,1,80,0.095309000000,0.04130092,3.39633636,-24.95885479,-28.32939229,41.83324635,ready_for_label,"paper-label ALGO volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,APT,Aptos,aptos,volume_reversal_candidate,long_reversal,1,94,0.675707000000,0.11319479,3.67062389,-28.13335938,-40.66286587,45.76231110,ready_for_label,"paper-label APT volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,ARB,Arbitrum,arbitrum,volume_reversal_candidate,long_reversal,1,101,0.083053000000,0.14557143,4.99775364,-18.16535614,-42.10226919,41.84739584,ready_for_label,"paper-label ARB volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,BAT,Basic Attention,basic-attention-token,volume_reversal_candidate,long_reversal,1,223,0.087192000000,0.09287846,6.26886430,-26.43786000,-21.34077132,40.69157202,ready_for_label,"paper-label BAT volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,BONK,Bonk,bonk,volume_reversal_candidate,long_reversal,1,118,0.000004440000,0.07963554,5.56175599,-19.26095508,-39.54955825,38.70084356,ready_for_label,"paper-label BONK volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,BTW,Bitway,bitway,chase_risk,wait_or_fade_watch,-1,197,0.072196000000,0.19111557,30.59444895,474.97282846,416.09918937,46.61693406,ready_for_label,avoid chasing BTW; label pullback or fade setup first
2026-06-07T22:55:00+00:00,CFG,Centrifuge,centrifuge-2,volume_reversal_candidate,long_reversal,1,240,0.203322000000,0.06616797,7.01187432,-23.56690245,-29.20074101,37.54885477,ready_for_label,"paper-label CFG volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,DOGE,Dogecoin,dogecoin,volume_reversal_candidate,long_reversal,1,10,0.085925000000,0.06072499,5.78337797,-13.75927157,-21.01281944,37.68614915,ready_for_label,"paper-label DOGE volume-backed reversal over 1h, 4h, 12h, and 24h"
