sample_index,timestamp,asset,spread_bps,bid_depth_10_bps,ask_depth_10_bps,mid_price,imbalance_10_bps,near_depth_10bps_notional
0,2026-06-08T15:14:20.668057+00:00,BTC,0.15583727,72.67163000,91.81723000,64169.500000000000,-0.11639451,4663302.16128500
0,2026-06-08T15:14:20.668057+00:00,ETH,0.58721630,5661.05690000,6682.82090000,1702.950000000000,-0.08277496,9640496.84785500
0,2026-06-08T15:14:20.668057+00:00,SOL,0.14762218,11562.45000000,7931.54000000,67.740500000000,0.18625792,537286.48537000
0,2026-06-08T15:14:20.668057+00:00,HYPE,0.61577303,2369.75000000,9994.07000000,64.959000000000,-0.61666378,153936.59025000
0,2026-06-08T15:14:20.668057+00:00,WLD,10.85876435,419690.10000000,10779.90000000,0.488085000000,0.94991567,5261.50749150
0,2026-06-08T15:14:20.668057+00:00,JTO,11.87852644,4263.00000000,3621.00000000,0.639810000000,0.08143075,2316.75201000
0,2026-06-08T15:14:20.668057+00:00,ONDO,0.81398977,19933.00000000,66433.00000000,0.368555000000,-0.53840632,7346.40681500
0,2026-06-08T15:14:20.668057+00:00,AERO,11.50450114,5821.00000000,839.00000000,0.347690000000,0.74804805,291.71191000
0,2026-06-08T15:14:20.668057+00:00,ZEC,1.35584028,255.52000000,306.51000000,442.530000000000,-0.09072469,113075.26560000
0,2026-06-08T15:14:20.668057+00:00,NEAR,5.48320768,16685.30000000,10692.90000000,2.188500000000,0.21887487,23401.41165000
0,2026-06-08T15:14:20.668057+00:00,DOGE,0.91685290,2318615.00000000,1512525.00000000,0.087255000000,0.21040474,131975.36887500
0,2026-06-08T15:14:20.668057+00:00,LTC,0.22997758,1460.67000000,2086.99000000,43.482500000000,-0.17654454,63513.58327500
0,2026-06-08T15:14:20.668057+00:00,XRP,0.84448761,619185.00000000,507377.00000000,1.184150000000,0.09924709,600810.47455000
0,2026-06-08T15:14:20.668057+00:00,SUI,3.11158937,164486.10000000,98165.20000000,0.771310000000,0.25250551,75715.80041200
0,2026-06-08T15:14:20.668057+00:00,TON,0.56658829,10062.50000000,156.00000000,1.764950000000,0.96946714,275.33220000
0,2026-06-08T15:14:20.668057+00:00,LIT,8.34269212,2457.00000000,5231.00000000,1.558250000000,-0.36082206,3828.62025000
0,2026-06-08T15:14:20.668057+00:00,VVV,0.54946564,981.32000000,477.84000000,18.199500000000,0.34504784,8696.44908000
