asset,observations,dominant_direction,direction_persistence_rate,mean_imbalance_10_bps,mean_abs_imbalance_10_bps,min_abs_imbalance_10_bps,mean_spread_bps,mean_near_depth_10bps_notional
JTO,3,-1,1.00000000,-0.89161485,0.89161485,0.86747969,7.00946058,1875.51822667
HYPE,3,-1,1.00000000,-0.67683160,0.67683160,0.65778452,0.31522208,182454.29211167
LIT,3,1,1.00000000,0.59025069,0.59025069,0.44835733,4.99985555,4655.26895000
BTC,3,1,1.00000000,0.53205612,0.53205612,0.45819625,0.15775152,3019454.53330167
WLD,3,-1,1.00000000,-0.46991480,0.46991480,0.41638216,7.44992442,17455.15773567
NEAR,3,1,1.00000000,0.42159349,0.42159349,0.09061626,2.27337991,16665.50417000
ZEC,3,-1,1.00000000,-0.32961435,0.32961435,0.09701704,1.17489835,68103.13010000
ENA,3,-1,1.00000000,-0.29860769,0.29860769,0.16625650,2.05729772,29494.23870300
LTC,3,-1,1.00000000,-0.26403255,0.26403255,0.24414522,2.37979114,47453.55162167
AERO,3,1,1.00000000,0.26086947,0.26086947,0.18484468,5.12387084,3775.55360500
XMR,3,1,1.00000000,0.23078721,0.23078721,0.07514685,1.05585806,14784.48471167
ONDO,3,-1,1.00000000,-0.22298173,0.22298173,0.03307772,3.53662142,13633.75754667
XRP,3,-1,1.00000000,-0.20802688,0.20802688,0.15944954,0.85105176,593877.04693333
SUI,3,-1,1.00000000,-0.15605282,0.15605282,0.05642117,1.22725470,70814.73139917
VVV,3,-1,0.66666667,-0.37132729,0.43671771,0.09808562,2.48955755,2085.47927667
TON,3,1,0.66666667,0.25034847,0.37725334,0.19035731,1.68669360,18116.73910000
SOL,3,1,0.66666667,0.19242752,0.30626316,0.17075346,0.14834704,322734.89026167
BNB,3,-1,0.66666667,-0.07424210,0.16895379,0.14206754,1.92109266,68200.58559833
DOGE,3,1,0.66666667,0.11913969,0.15649194,0.05602837,0.49942514,131824.47851667
ADA,3,1,0.66666667,0.03672215,0.08343719,0.06098707,2.91238951,85197.93216833
AVAX,3,1,0.66666667,0.06687927,0.07361170,0.01009864,1.66272202,52883.69315350
ETH,3,-1,0.66666667,-0.02189978,0.05929840,0.05609793,0.59341898,11568191.61269167
