asset,candidate_size_usd,spread_bps,imbalance_10_bps,gross_directional_bps_15m,gross_directional_bps_1h,taker_fee_bps_per_fill,conservative_cost_bps,net_15m_bps,net_1h_bps,near_depth_10bps_notional,visible_depth_usage,gate_action,reason
ETH,100.00,0.60163042,0.02309974,,,5.00000000,10.60163042,,,13829890.98466500,0.00000723,wait_for_label,no 15m imbalance label yet
ETH,250.00,0.60163042,0.02309974,,,5.00000000,10.60163042,,,13829890.98466500,0.00001808,wait_for_label,no 15m imbalance label yet
ETH,500.00,0.60163042,0.02309974,,,5.00000000,10.60163042,,,13829890.98466500,0.00003615,wait_for_label,no 15m imbalance label yet
BTC,100.00,0.15988105,0.68749885,,,5.00000000,10.15988105,,,1903045.43818500,0.00005255,wait_for_label,no 15m imbalance label yet
ETH,1000.00,0.60163042,0.02309974,,,5.00000000,10.60163042,,,13829890.98466500,0.00007231,wait_for_label,no 15m imbalance label yet
BTC,250.00,0.15988105,0.68749885,,,5.00000000,10.15988105,,,1903045.43818500,0.00013137,wait_for_label,no 15m imbalance label yet
ETH,2500.00,0.60163042,0.02309974,,,5.00000000,10.60163042,,,13829890.98466500,0.00018077,wait_for_label,no 15m imbalance label yet
SOL,100.00,0.15292741,-0.39598057,,,5.00000000,10.15292741,,,401375.38976500,0.00024914,wait_for_label,no 15m imbalance label yet
BTC,500.00,0.15988105,0.68749885,,,5.00000000,10.15988105,,,1903045.43818500,0.00026274,wait_for_label,no 15m imbalance label yet
ETH,5000.00,0.60163042,0.02309974,,,5.00000000,10.60163042,,,13829890.98466500,0.00036154,wait_for_label,no 15m imbalance label yet
BTC,1000.00,0.15988105,0.68749885,,,5.00000000,10.15988105,,,1903045.43818500,0.00052547,wait_for_label,no 15m imbalance label yet
SOL,250.00,0.15292741,-0.39598057,,,5.00000000,10.15292741,,,401375.38976500,0.00062286,wait_for_label,no 15m imbalance label yet
HYPE,100.00,0.16060258,0.17030810,,,5.00000000,10.16060258,,,108897.37826000,0.00091830,wait_for_label,no 15m imbalance label yet
SOL,500.00,0.15292741,-0.39598057,,,5.00000000,10.15292741,,,401375.38976500,0.00124572,wait_for_label,no 15m imbalance label yet
BTC,2500.00,0.15988105,0.68749885,,,5.00000000,10.15988105,,,1903045.43818500,0.00131368,wait_for_label,no 15m imbalance label yet
HYPE,250.00,0.16060258,0.17030810,,,5.00000000,10.16060258,,,108897.37826000,0.00229574,wait_for_label,no 15m imbalance label yet
SOL,1000.00,0.15292741,-0.39598057,,,5.00000000,10.15292741,,,401375.38976500,0.00249143,wait_for_label,no 15m imbalance label yet
BTC,5000.00,0.15988105,0.68749885,,,5.00000000,10.15988105,,,1903045.43818500,0.00262737,wait_for_label,no 15m imbalance label yet
HYPE,500.00,0.16060258,0.17030810,,,5.00000000,10.16060258,,,108897.37826000,0.00459148,wait_for_label,no 15m imbalance label yet
SOL,2500.00,0.15292741,-0.39598057,,,5.00000000,10.15292741,,,401375.38976500,0.00622858,wait_for_label,no 15m imbalance label yet
HYPE,1000.00,0.16060258,0.17030810,,,5.00000000,10.16060258,,,108897.37826000,0.00918296,wait_for_label,no 15m imbalance label yet
SOL,5000.00,0.15292741,-0.39598057,,,5.00000000,10.15292741,,,401375.38976500,0.01245717,wait_for_label,no 15m imbalance label yet
HYPE,2500.00,0.16060258,0.17030810,,,5.00000000,10.16060258,,,108897.37826000,0.02295739,wait_for_label,no 15m imbalance label yet
HYPE,5000.00,0.16060258,0.17030810,,,5.00000000,10.16060258,,,108897.37826000,0.04591479,wait_for_label,no 15m imbalance label yet
